ئافرىقا	Afrique
تۇمشۇق شەھىرى	Tumushuke
بۈيۈك ئارال	Büyükada
خوتەن ۋىلايىتى	Préfecture de Hotan
قۇمۇل ۋىلايىتى	Préfecture de Hami
سانجى خۇيزۇ ئاپتونوم ئوبلاستى	Préfecture autonome hui de Changji
كۈيتۇن شەھىرى	Kuitun
سانجى شەھىرى	Changji
چاپچال شىبە ئاپتونوم يېزىسى	Xian autonome xibe de Qapqal
فارس ۋىلايىتى	Fars
بۇرگاز ئارىلى	Burgazada
بۇرچىن ناھىيىسى	Xian de Burqin
بۇرۇلتوقاي ناھىيىسى	Xian de Fuhai
بۈيۈك بىرلىك پارتىيىسى	Parti de la grande unité
يېڭىسار ناھىيىسى	Xian de Yengisar
ۋۇسۇ شەھىرى	Wusu
دۆربىلجىن ناھىيىسى	Xian d'Emin
پوسكام ناھىيىسى	Xian de Poskam
گۇچۇڭ ناھىيىسى	Xian de Qitai
قورغاس ناھىيىسى	Xian de Huocheng
يەنجى خۇيزۇ ئاپتونوم ناھىيىسى	Xian autonome hui de Yanqi
لوپنۇر ناھىيىسى	Xian de Yuli
كوكتوقاي ناھىيىسى	Xian de Fuyun
قوبۇقسار موڭغۇل ئاپتونوم ناھىيىسى	Xian autonome mongol de Hoboksar
قەشقەر كونا شەھەر ناھىيىسى	Xian de Shufu
ساۋەن ناھىيىسى	Xian de Shawan
قاغىلىق ناھىيىسى	Xian de Kargilik
خېجىڭ ناھىيىسى	Xian de Hejing
چاغانتوقاي ناھىيىسى	Xian de Yumin
پىچان ناھىيىسى	Xian de Piqan
كۇچار ناھىيىسى	Kucha
مايتاغ رايونى	District de Maytagh
چاقىلىق ناھىيىسى	Xian de Ruoqiang
بۈگۈر ناھىيىسى	Xian de Luntai
قەشقەر يېڭىشەھەر ناھىيىسى	Xian de Shule
شايار ناھىيىسى	Xian de Shayar
مارالبېشى ناھىيىسى	Xian de Maralbexi
ماناس ناھىيىسى	Xian de Manas
ئونسۇ ناھىيىسى	Xian de Wensu
چىڭگىل ناھىيىسى	Xian de Qinggil
پەيزاۋات ناھىيىسى	Xian de Peyziwat
مورى قازاق ئاپتونوم ناھىيىسى	Xian autonome kazakh de Mori
تولى ناھىيىسى	Xian de Toli
خوشۇت ناھىيىسى	Xian de Hoxud
يېڭىشەھەر رايونى	District de Xinshi (Ürümqi)
تۇدۇڭخابا رايونى	District de Toutunhe
تەڭرىتاغ رايونى	District de Tianshan
داۋانچىڭ رايونى	District de Dabancheng
گۇما ناھىيىسى	Xian de Pishan
سايباغ رايونى	District de Saybagh
ئاشقازان	Estomac
ئېلىك	Capreolus
شىبە مىللىتى	Xibe
كىنو مىللىتى	Jino
كروران قەدىمكى شەهىرى	Loulan
ئورۇنچون مىللىتى	Oroqen
ئەنقەرە ئۇنىۋېرسىتېتى	Université d'Ankara
مۇسئەب ئىبن ئۆمەير	Mousab ibn Oumayr
پېشاۋار	Peshawar
دۇڭسەن رايونى	District de Dongshan (Ürümqi)
دۇتار	Dotâr
تاڭ سۇلالىسىگە دائىر مۇھىم خاتىرىلەر	Tang Huiyao
مۇئاز ئىبنى جەبەل	Muadh ibn Jabal
قاراشەھەر بازىرى	Karachahr
سۈينامە	Livre des Sui
قارا ھۈلەگۈ	Kara Hülegü
ئۇچتۇرپان ناھىيىسى	Xian d'Uqturpan
چىرا ناھىيىسى	Xian de Chira
كەلپىن ناھىيىسى	Xian de Kalpin
قاراقاش ناھىيىسى	Xian de Karakash
جىڭ ناھىيىسى	Xian de Jinghe
نىيە ناھىيىسى	Xian de Minfeng
غۇلجا ناھىيىسى	Xian de Yining
شۇيموگۇ رايونى	District de Shuimogou
كېرىيە ناھىيىسى	Xian de Keriya
تۇخۇم نەيچىسى	Trompe utérine
شىنجاڭ ئىشلەپچىقىرىش - قۇرۇلۇش بىڭتۇەنى	Corps de production et de construction du Xinjiang
قەشقەر ھېيتگاھ مەسچىتى	Mosquée Id Kah
شياڭگاڭ پەن ـ تېخنىكا ئۇنىۋېرسىتېتى	Université des sciences et technologies de Hong Kong
دۇۋا	Douwa
باراق	Baraq (Djaghataïde)
ﻣﯧﯔ ﺟىيەنﺠﯘ	Meng Jianzhu
جېمىنەي ناھىيىسى	Xian de Jeminay
توققۇزتارا ناھىيىسى	Xian de Gongliu
قاراماي رايونى	District de Karamay
نىلقا ناھىيىسى	Xian de Nilka
تېكەس ناھىيىسى	Xian de Tekes
توقسۇ ناھىيىسى	Xian de Toksu
ئېسفەھان ۋىلايىتى	Province d'Ispahan
تۈر:تۈركىيە	Catégorie:Turquie
تۈر:ئۆسۈملۈك	Catégorie:Plante
تۈر:فىزىكا	Catégorie:Physique
تۈر:تەبىئىي پەن	Catégorie:Sciences naturelles
تۈر:Geografia	Catégorie:Géographie
لەغمەن	La mian
خۇيزۇ	Hui
سائادەت پارتىيىسى	Parti de la félicité
ساكاريا ئۇنىۋېرسىتېتى	Université de Sakarya
ماخۇاتېڭ	Ma Huateng
سالانق تەشمەسى	Tunnel de Salang
سىۋرى ئارىلى	Sivriada
ياسسى ئارىلى	Yassıada
تۈر:خرىستىئان دىنى	Catégorie:Christianisme
بارلاس قەبىلىسى	Barlas
قەدىمكى ئۇيغۇر يېزىقى	Alphabet ouïghour
ئەنقەرە ۋىلايىتى	Ankara (province)
ئەرەب ھەرپلىرى ئاساسىدىكى ئۇيغۇر يېزىقى	Écriture ouïghoure arabisée
قاراباغ	Karabagh
ئىراق ۋە شام ئىسلام دۆلىتى	État islamique (organisation)
پوزىترونىك مىڭە	Cerveau positronique
بۇزان	Buzan (Djaghataïde)
پۇشتۇ مىللىتى	Pachtounes
يەسۈ مۆڭكە	Yissu Mangu
مەشرەپ	Meshrep
ئەخمەتجان ﻗﺎﺳﯩﻤﻰ	Exmetjan Qasim
گېئورگى بۇچنېر ئەدەبىيات مۇكاپاتى	Prix Georg-Büchner
مۇباراك شاھ	Mubarak Shah
كۆنچەك	Kundjuk
ئابدۇرېھىم ئۆتكۈر	Abdurehim Ötkür
تالىقۇ	Taliku
كېسەل	Mollet
بىنەپشە رەڭ	Pourpre
پراۋوسلاۋىيە دىنى	Christianisme orthodoxe
ئوفپرا	Office français de protection des réfugiés et apatrides
تەمبۈر	Tambûr
Ördek	Canard
قېلىپ:Tl	Modèle:M
قېلىپ:Userbox	Modèle:BUtilisateur
Wikipedia:Administrators	Wikipédia:Administrateur
تۈر:جۇڭخۇا مىللەتلىرى	Catégorie:Groupe ethnique de Chine
مىسىر	Égypte
قېلىپ:Bot	Modèle:Bot
كانادا	Canada
Wikipedia:ھەققىدە	Wikipédia:À propos
قېلىپ:Flagicon	Modèle:Drapeau
قېلىپ:Documentation	Modèle:Documentation
Sung Jae-gi	Sung Jae-ki
قېلىپ:Softredirect	Modèle:Redirection douce
قېلىپ:Delete	Modèle:Suppression Immédiate
تۈر:تىل	Catégorie:Langue
Wikipedia:General disclaimer	Wikipédia:Avertissements généraux
قېلىپ:Navbox	Modèle:Méta palette de navigation
ئورقۇن-يېنسەي يېزىقى	Alphabet de l'Orkhon
خالتىلىق چاشقان	Kangourou
قېلىپ:!	Modèle:!
قېلىپ:Tnavbar	Modèle:Tnavbar
قېلىپ:Babel	Modèle:Boîte Babel
قېلىپ:Commons	Modèle:Commons
قېلىپ:Reflist	Modèle:Références
قېلىپ:Stub	Modèle:Ébauche
قېلىپ:User az	Modèle:Utilisateur az
قېلىپ:User de	Modèle:Utilisateur de
قېلىپ:User de-1	Modèle:Utilisateur de-1
قېلىپ:User es	Modèle:Utilisateur es
قېلىپ:User de-3	Modèle:Utilisateur de-3
قېلىپ:User en-3	Modèle:Utilisateur en-3
قېلىپ:User en-1	Modèle:Utilisateur en-1
قېلىپ:User en-2	Modèle:Utilisateur en-2
قېلىپ:User en-4	Modèle:Utilisateur en-4
قېلىپ:User en	Modèle:Utilisateur en
قېلىپ:User de-2	Modèle:Utilisateur de-2
قېلىپ:User es-1	Modèle:Utilisateur es-1
قېلىپ:User fr-1	Modèle:Utilisateur fr-1
قېلىپ:User ja-4	Modèle:Utilisateur ja-4
قېلىپ:User sk	Modèle:Utilisateur sk
قېلىپ:User tr-2	Modèle:Utilisateur tr-2
قېلىپ:User tr	Modèle:Utilisateur tr
قېلىپ:User ja	Modèle:Utilisateur ja
قېلىپ:User ja-1	Modèle:Utilisateur ja-1
قېلىپ:User fr	Modèle:Utilisateur fr
قېلىپ:Mod	Modèle:Mod
قېلىپ:Welcome	Modèle:Bienvenue nouveau
تۈر:كىشلىك ئالاقە	Catégorie:Communication humaine
تۈر:User fr-1	Catégorie:Utilisateur fr-1
قېلىپ:Country showdata	Modèle:Country showdata
قېلىپ:ئافرىقا	Modèle:Palette Pays d'Afrique
قېلىپ:Country data NEP	Modèle:Country data Népal
قېلىپ:Documentation/docname	Modèle:Documentation/docname
تۈر:User en-4	Catégorie:Utilisateur en-4
تۈر:User en	Catégorie:Utilisateur en
تۈر:User zh	Catégorie:Utilisateur zh
تۈر:User zh-N	Catégorie:Utilisateur zh-M
تۈر:User en-2	Catégorie:Utilisateur en-2
قېلىپ:User zh	Modèle:Utilisateur zh
قېلىپ:Protected title	Modèle:Titre protégé
قېلىپ:Legend	Modèle:Légende
قېلىپ:Country data	Modèle:Country data
قېلىپ:Pp-template	Modèle:Protection
قېلىپ:User ru	Modèle:Utilisateur ru
تۈر:دۆلەت	Catégorie:État
قېلىپ:IPA	Modèle:Prononciation API
قېلىپ:ئىنجىل	Modèle:Palette Livres du Nouveau Testament
قېلىپ:ئوكيانىيە	Modèle:Palette Pays d'Océanie
Wikipedia:Nospam	Wikipédia:Pages protégées à la création
قېلىپ:Unreferenced	Catégorie:Article manquant de référence
قېلىپ:جۇڭخۇا خەلق جۇمھۇرىيىتى	Modèle:Palette Subdivisions de la Chine
قېلىپ:Provinces of Uzbekistan	Modèle:Palette Subdivisions de l'Ouzbékistan
تۈر:User ja-N	Catégorie:Utilisateur ja-M
تۈر:سانائەت	Catégorie:Secteur industriel
قېلىپ:رۇسىيە	Modèle:Palette Subdivisions Russie
قېلىپ:Infobox person	Modèle:Infobox Biographie
قېلىپ:ياۋروپا	Modèle:Palette Pays d'Europe
تۈر:User az	Catégorie:Utilisateur az
تۈر:User sk	Catégorie:Utilisateur sk
تۈر:User fr	Catégorie:Utilisateur fr
تۈر:User ja	Catégorie:Utilisateur ja
تۈر:User mn	Catégorie:Utilisateur mn
تۈر:User az-3	Catégorie:Utilisateur az-3
تۈر:User fr-3	Catégorie:Utilisateur fr-3
تۈر:User ja-3	Catégorie:Utilisateur ja-3
تۈر:User tr-3	Catégorie:Utilisateur tr-3
تۈر:User tr-1	Catégorie:Utilisateur tr-1
تۈر:User fr-4	Catégorie:Utilisateur fr-4
تۈر:User fr-2	Catégorie:Utilisateur fr-2
تۈر:User ja-2	Catégorie:Utilisateur ja-2
تۈر:User kk-2	Catégorie:Utilisateur kk-2
تۈر:User tr-2	Catégorie:Utilisateur tr-2
تۈر:User ko-N	Catégorie:Utilisateur ko-M
تۈر:User fr-N	Catégorie:Utilisateur fr-M
تۈر:User ru-N	Catégorie:Utilisateur ru-M
تۈر:User fr-5	Catégorie:Utilisateur fr-5
تۈر:User az-1	Catégorie:Utilisateur az-1
تۈر:User az-2	Catégorie:Utilisateur az-2
تۈر:User az-4	Catégorie:Utilisateur az-4
تۈر:User az-N	Catégorie:Utilisateur az-M
تۈر:User sk-N	Catégorie:Utilisateur sk-M
تۈر:User de	Catégorie:Utilisateur de
تۈر:User de-2	Catégorie:Utilisateur de-2
تۈر:User de-3	Catégorie:Utilisateur de-3
تۈر:User de-4	Catégorie:Utilisateur de-4
تۈر:User de-N	Catégorie:Utilisateur de-M
شىراز	Chiraz
تۈر:User en-3	Catégorie:Utilisateur en-3
تۈر:User en-N	Catégorie:Utilisateur en-M
تۈر:User es	Catégorie:Utilisateur es
تۈر:User es-1	Catégorie:Utilisateur es-1
تۈر:User es-N	Catégorie:Utilisateur es-M
تۈر:User ja-1	Catégorie:Utilisateur ja-1
تۈر:User kk	Catégorie:Utilisateur kk
تۈر:User kk-3	Catégorie:Utilisateur kk-3
تۈر:User kk-4	Catégorie:Utilisateur kk-4
تۈر:User kk-N	Catégorie:Utilisateur kk-M
تۈر:User ko	Catégorie:Utilisateur ko
تۈر:User ko-3	Catégorie:Utilisateur ko-3
تۈر:User ky	Catégorie:Utilisateur ky
تۈر:User ky-2	Catégorie:Utilisateur ky-2
تۈر:User ru-1	Catégorie:Utilisateur ru-1
تۈر:User mn-1	Catégorie:Utilisateur mn-1
تۈر:User zh-min-nan	Catégorie:Utilisateur zh-min-nan
تۈر:User zh-min-nan-3	Catégorie:Utilisateur zh-min-nan-3
قېلىپ:User ru-2	Modèle:Utilisateur ru-2
تۈر:User ru	Catégorie:Utilisateur ru
تۈر:User tk	Catégorie:Utilisateur tk
تۈر:User tk-2	Catégorie:Utilisateur tk-2
تۈر:User tr	Catégorie:Utilisateur tr
تۈر:User tr-4	Catégorie:Utilisateur tr-4
تۈر:User tr-N	Catégorie:Utilisateur tr-M
تۈر:User ug	Catégorie:Utilisateur ug
تۈر:User ug-2	Catégorie:Utilisateur ug-2
تۈر:User uz	Catégorie:Utilisateur uz
تۈر:User uz-3	Catégorie:Utilisateur uz-3
ۋىكىپېدىيە:ھۆججەت ئىشلىتىش پىرىنسىپى	Wikipédia:Règles d'utilisation des images
قېلىپ:Infobox City Japan	Modèle:Infobox Ville du Japon
تۈر:ۋىتامىنلار	Catégorie:Vitamine
قېلىپ:User ru-1	Modèle:Utilisateur ru-1
قېلىپ:User tr-1	Modèle:Utilisateur tr-1
قېلىپ:User tr-3	Modèle:Utilisateur tr-3
قېلىپ:User zh-1	Modèle:Utilisateur zh-1
قېلىپ:User zh-2	Modèle:Utilisateur zh-2
قېلىپ:User zh-3	Modèle:Utilisateur zh-3
قېلىپ:User zh-4	Modèle:Utilisateur zh-4
تۈر:User zh-1	Catégorie:Utilisateur zh-1
تۈر:User zh-4	Catégorie:Utilisateur zh-4
تۈر:User zh-3	Catégorie:Utilisateur zh-3
تۈر:User zh-2	Catégorie:Utilisateur zh-2
تۈر:خىمىيىۋى ئېلېمېنت	Catégorie:Élément chimique
تۈر:لېكسىكولوگىيە	Catégorie:Lexicologie
تۈر:ئۆزبېكىستان	Catégorie:Ouzbékistan
تۈر:ئاتوم يادرو فىزىكىسى	Catégorie:Physique nucléaire
ئەينەك تالا	Plastique à renfort de verre
سەۋزە	Carotte
تۈر:جۇڭخۇا خەلق جۇمھۇرىيىتى	Catégorie:République populaire de Chine
تۈر:ئېتمولوگىيە	Catégorie:Étymologie
قېلىپ:Flag	Modèle:Pays
قېلىپ:جۇڭگودىكى مىللەتلەر	Modèle:Palette Ethnies de Chine
قېلىپ:User mn-1	Modèle:Utilisateur mn-1
تۈر:بىيولوگ	Catégorie:Biologiste
تراگۇلۇس بۇغىسى	Tragulidae
تۈر:خاس ئات ئىلمى	Catégorie:Onomastique
تۈر:Uyghur tili	Catégorie:Langue ouïghoure
تۈر:User en-1	Catégorie:Utilisateur en-1
تۈر:User de-1	Catégorie:Utilisateur de-1
قېلىپ:ئانتروپوتومىيە	Modèle:Palette Corps humain
قېلىپ:User zh-min-nan-3	Modèle:Utilisateur zh-min-nan-3
قېلىپ:شىنجاڭ	Modèle:Palette Xinjiang
سېسىق قوزان	Civette
بۇقا تۆمۇرخان	Togatemur
تاش	Roche (homonymie)
خوتەن شەھىرى	Hotan
ئالاھىدە:RecentChanges	Spécial:Modifications récentes
تۈر:User ja-4	Catégorie:Utilisateur ja-4
خارۇكو ئوبوكاتا	Haruko Obokata
غاز	Oie
