આફ્રિકા	Afrique
બજરંગ દળ	Bajrang Dal
શહાદા (મહારાષ્ટ્ર)	Shahada, Maharashtra
યુવરાજસિંઘ	Yuvraj Singh
ગૅરી કિર્સ્ટન	Gary Kirsten
રબારી	Rabari
ભારતીય ધ્વજો	Liste des drapeaux de l'Inde
લિપીડ પ્રોફાઇલ	Exploration d'une anomalie lipidique
શબર	Shabara
ફૈજાબાદ પ્રાંત	Division de Faizabad
ભારતીય ચૂંટણી પંચ	Commission électorale indienne
ચિત્રકૂટ પ્રાંત	Division de Chitrakoot
જગદ્ગુરુ રામભદ્રાચાર્ય વિકલાંગ વિશ્વવિદ્યાલય	Université Jagadguru Rambhadracharya pour les handicapés
નેપાલ સ્કાઉટ	Scouts du Népal
વિજયસ્તંભ, ચિત્તોડગઢ	Vijay Stambha
દરિયાઈ રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Parc national marin du Golfe de Kutch
શ્રી રામ ચરિત માનસ	Ramcharitmanas
ઇચ્છારામ દેસાઇ	Ichharam Desai
સુમતિનાથ	Sumatinath
વાંસદા	Bansda
પલવલ જિલ્લો	District de Palwal
કટોકટી કાળ (ભારત)	État d'urgence (Inde)
કચોરી	Kachori
કનૌજી ભાષા	Kannauji
કર્ણ	Karna
કૂચબિહાર જિલ્લો	Cooch Behar
કૈલાસનાથ મંદિર, કાંચીપુરમ	Le Kailasanatha de Kanchipuram
ગાર્ગી	Gargi
ગુજરાત ઇન્ટરનેશનલ ફાઇનાન્સ ટેક-સિટિ	Gujarat International Finance Tec-City
ગ્રામ પંચાયત	Gram panchayat
ચન્દૌલી જિલ્લો	District de Chandauli
જામ રણજી	Ranji
જામા મસ્જિદ, અમદાવાદ	Jami Masjid (Ahmedabad)
જૈમિનિ	Jaimini
તલ	Sésame
ભારત સરકાર	Gouvernement indien
ભારતીય જીવનવીમા નિગમ	Life Insurance Corporation of India
મહમદ બેગડો	Mahmud Begada
માંડ્યા જિલ્લો	District de Mandya
મુજફ્ફરનગર	Muzaffarnagar
લાલગઢ મહેલ	Lalgarh Palace
સંવત્સરી	Samvatsari
સરળ અંગ્રેજી	Simplifications de l'anglais
સામાયિક (જૈન ધર્મ)	Samayika
આનંદી ગોપાલ જોષી	Anandi Gopal Joshi
બાદિયાન	Badianier de Chine
બટેટાવડાં	Batata vada
શ્રેણી:સ્ટબ	Catégorie:Wikipédia:ébauche
શ્રેણી:સંસ્કૃતિ	Catégorie:Culture
સેપ્ટ યુનિવર્સિટી	Centre for Environmental Planning and Technology
કણ્ણૂર જિલ્લો	District de Kannur
કુલ્લૂ જિલ્લો	District de Kullu
સોલન જિલ્લો	District de Solan
શિમોગા જિલ્લો	District de Shimoga
જામનગર જિલ્લો	District de Jamnagar
પંચશીલ નગર જિલ્લો	District de Sambhal
દાંતા	Danta
ડેવિડ બુન	David Boon
શૃંગ	Ekasringa
દશાંશ સંખ્યા પ્રણાલી	Système de numération indo-arabe
પીપળો	Figuier des pagodes
વિધાન સભા	Vidhan Sabha
ગિરિજા દેવી	Girija Devi
પ્રાણ (અભિનેતા)	Pran
સલીમ સુલેમાન	Salim-Sulaiman
વિશાલ-શેખર	Vishal-Shekhar
ઢાંચો:સૌરમંડળ	Modèle:Palette Système solaire
કાવો (કાશ્મીરી ચ્હા)	Kahwah
ખંડેરાવ માર્કેટ	Khanderao Market
આજનું અવતરણ	Quote Of The Day
વિવેકાનંદ રોક મેમોરિયલ	Mémorial du rocher de Vivekananda
વિરેન્દ્ર સેહવાગ	Virender Sehwag
અજિતનાથ	Ajitnath
લક્ષ્મી વિલાસ મહેલ	Palais de Laxmi Vilas
કૈલાશ સત્યાર્થી	Kailash Satyarthi
ત્રિશૂલ	Trishula
ભારતીય સામાન્ય ચૂંટણી, ૨૦૧૪	Élections législatives indiennes de 2014
આશા પારેખ	Asha Parekh
ઢાંચો:Location map India Gujarat	Modèle:Géolocalisation/Gujarat
ઢાંચો:Location map India Jammu and Kashmir	Modèle:Géolocalisation/Jammu-et-Cachemire
વિજયનગર	Vizianagaram
ઇજનેરી મહાવિદ્યાલય, પુણે	Collège d'ingénierie de Pune
કેવળ જ્ઞાન	Kevala Jnana
ભીમ	Bhima
ચાઇનીઝ માર્શલ આર્ટ્સ	Arts martiaux chinois
ઉત્તરાખંડી ફુત્કી	Pouillot couronné
સલગમ	Navet
ઢાંચો:ઉક્તિ	Modèle:Citation
કેરી	Manguier
સર્જિયો માત્તારેલા	Sergio Mattarella
ઢાંચો:Location map Scotland	Modèle:Géolocalisation/Écosse
વિકિપીડિયા:પ્રબંધક	Wikipédia:Administrateur
શ્રેણી:વ્યક્તિત્વ	Catégorie:Personnalité
શ્રેણી:Pages with malformed coordinate tags	Catégorie:Page avec des balises de coordonnées mal formées
શ્રેણી:કલા	Catégorie:Art
ઇજિપ્ત	Égypte
વિકિપીડિયા:શ્રેણી	Wikipédia:Conventions sur les catégories
રવીન્દ્ર પ્રભાત	Ravindra Prabhat
વિકિપીડિયા:વિકિપરિયોજના	Projet:Accueil
ઢાંચો:Bot	Modèle:Bot
વિકિપીડિયા:વિકિપીડિયા શું નથી	Wikipédia:Ce que Wikipédia n'est pas
કેનેડા	Canada
વિકિપીડિયા:પ્રકાશનાધિકાર	Wikipédia:Droit d'auteur
વાલી	Vali (Ramayana)
એક્યુપ્રેસર	Anma
વિકિપીડિયા:પ્રબંધકોનું સૂચનપટ	Wikipédia:Bulletin des administrateurs
શ્રેણી:યુરોપ	Catégorie:Europe
વિકિપીડિયા:વર્તમાન ઘટનાઓ	Portail:Actualité
ઢાંચો:Documentation	Modèle:Documentation
શ્રેણી:રદ કરવા માટેના પાના	Catégorie:Wikipédia:Suppression
શ્રેણી:સભ્યોની ભાષાઓ	Catégorie:Wikipédiens par langue
વિકિપીડિયા:પાયાના પાંચ સિદ્ધાંત	Wikipédia:Principes fondateurs
વિકિપીડિયા:નિષ્પક્ષ દૃષ્ટિકોણ	Wikipédia:Neutralité de point de vue
વિકિપીડિયા:પ્રારંભિક સંશોધન નહીં	Wikipédia:Travaux inédits
વિકિપીડિયા:નોંધનીયતા	Wikipédia:Notoriété
વિકિપીડિયા:બાહ્ય કડીઓ	Wikipédia:Liens externes
વિકિપીડિયા:સહીઓ	Aide:Signature
વિકિપીડિયા:નોંધનીયતા (વ્યક્તિ કે લોકો)	Wikipédia:Notoriété des personnes
વિકિપીડિયા:જીવંત વ્યક્તિઓનું જીવન ચરિત્ર	Wikipédia:Biographie de personne vivante
વિકિપીડિયા:સભ્યનામ નીતિ	Wikipédia:Nom d'utilisateur
મદદ:Footnotes	Aide:Note
એડ્લેબ્સ ઈમેજીકા થીમ પાર્ક	Adlabs Imagica
આલિયા ભટ્ટ	Alia Bhatt
કણ્ણૂર	Cannanore
અરિહંત	Arihanta
ઢાંચો:Softredirect	Modèle:Redirection douce
ઢાંચો:Delete	Modèle:Suppression Immédiate
ન્યાયશાસ્ત્ર	Jurisprudence
શ્રેણી:ભાષાઓ	Catégorie:Langue
શ્રેણી:વિકિપીડિયા	Catégorie:Wikipédia
વિકિપીડિયા:General disclaimer	Wikipédia:Avertissements généraux
શ્રેણી:તૂટી ફાઈલ કડીઓને સાથે પાના	Catégorie:Page avec des liens de fichiers brisés
વિકિપીડિયા:ટેમ્પ્લેટ સૂચનાઓ	Aide:Liste de modèles
ઢાંચો:Navbox	Modèle:Méta palette de navigation
કાંગારુ	Kangourou
ઢાંચો:Track listing	Modèle:Pistes
ઢાંચો:Nutshell	Modèle:En résumé
ઢાંચો:!	Modèle:!
ઢાંચો:Tnavbar	Modèle:Tnavbar
ઢાંચો:Code	Modèle:Code
ઢાંચો:0	Modèle:0
ઢાંચો:Small	Modèle:Petit
ઢાંચો:Clear	Modèle:Clr
ઢાંચો:Col-break	Modèle:Col-break
ઢાંચો:Col-begin	Modèle:Col-début
ઢાંચો:Col-end	Modèle:Col-fin
ઢાંચો:Trim	Modèle:Trim
ઢાંચો:Nowrap	Modèle:Nobr
ઢાંચો:Tooltip	Modèle:Abréviation
ઢાંચો:Anchor	Modèle:Ancre
વિકિપીડિયા:દરેક ભાષાના વિકિપીડિયામાં હોય એવા પ્રારંભિક લેખોની યાદી	Wikipédia:Articles vitaux
શ્રેણી:આફ્રિકા	Catégorie:Afrique
શ્રેણી:જુલાઇ	Catégorie:Juillet
શ્રેણી:જૂન	Catégorie:Juin
ઢાંચો:વિકિસ્રોત	Modèle:Wikisource
ઢાંચો:Babel	Modèle:Boîte Babel
ઢાંચો:Commons	Modèle:Commons
ઢાંચો:Reflist	Modèle:Références
વિકિપીડિયા:સંદર્ભ	Wikipédia:Citez vos sources
ઢાંચો:સ્ટબ	Modèle:Ébauche
ઢાંચો:See also	Modèle:Article connexe
ઢાંચો:User de	Modèle:Utilisateur de
ઢાંચો:User de-1	Modèle:Utilisateur de-1
ઢાંચો:User en-3	Modèle:Utilisateur en-3
ઢાંચો:User en-2	Modèle:Utilisateur en-2
ઢાંચો:User en-4	Modèle:Utilisateur en-4
ઢાંચો:User en	Modèle:Utilisateur en
ઢાંચો:User de-2	Modèle:Utilisateur de-2
રગડા પેટીસ	Ragda patties
ઢાંચો:User hi-1	Modèle:Utilisateur hi-1
ઢાંચો:User tr	Modèle:Utilisateur tr
ઢાંચો:User fr	Modèle:Utilisateur fr
ઢાંચો:Pl icon	Modèle:Pl
શ્રેણી:ફેબ્રુઆરી	Catégorie:Février
ઢાંચો:Country data Tajikistan	Modèle:Country data Tadjikistan
શ્રેણી:એશિયા	Catégorie:Asie
શ્રેણી:ચીલી	Catégorie:Chili
ઢાંચો:Country data Kuwait	Modèle:Country data Koweït
ઢાંચો:Mod	Modèle:Mod
શ્રેણી:૧૯૧૦	Catégorie:1910
ઢાંચો:SIL	Modèle:Lien ISO 639-3
ઢાંચો:સ્વાગત	Modèle:Bienvenue nouveau
ઢાંચો:Wikipediasister	Modèle:Projets Wikimedia
ઢાંચો:Country data Belgium	Modèle:Country data Belgique
ઢાંચો:Country data Slovakia	Modèle:Country data Slovaquie
ઢાંચો:Country data Panama	Modèle:Country data Panama
ઢાંચો:Country flagnavy	Modèle:Marine de guerre/callback
ઢાંચો:Country data Ecuador	Modèle:Country data Équateur
ઢાંચો:Country data Ethiopia	Modèle:Country data Éthiopie
ઢાંચો:Country data Tunisia	Modèle:Country data Tunisie
ઢાંચો:Country data Czech Republic	Modèle:Country data République tchèque
ઢાંચો:Country data થાઈલેન્ડ	Modèle:Country data Thaïlande
ઢાંચો:Country data Indonesia	Modèle:Country data Indonésie
ઢાંચો:Country data Cambodia	Modèle:Country data Cambodge
ઢાંચો:Country data Madagascar	Modèle:Country data Madagascar
ઢાંચો:Country data Albania	Modèle:Country data Albanie
ઢાંચો:Country data Peru	Modèle:Country data Pérou
ઢાંચો:દેશ માહિતી પૅરાગ્વે	Modèle:Country data Paraguay
ઢાંચો:Country data British Empire	Modèle:Country data Empire britannique
ઢાંચો:Country data Macau	Modèle:Country data Macao
ઢાંચો:Country data Kenya	Modèle:Country data Kenya
ઢાંચો:Country data Uzbekistan	Modèle:Country data Ouzbékistan
ઢાંચો:દેશ માહિતી બોલીવિયા	Modèle:Country data Bolivie
ઢાંચો:Country data Liechtenstein	Modèle:Country data Liechtenstein
ઢાંચો:Country data Togo	Modèle:Country data Togo
ઢાંચો:માસ	Modèle:Palette Éphéméride
ઢાંચો:Country data Mali	Modèle:Country data Mali
ઢાંચો:Country data Latvia	Modèle:Country data Lettonie
ઢાંચો:Football kit	Modèle:Football kit
ઢાંચો:Country data Malta	Modèle:Country data Malte
ઢાંચો:Country data Monaco	Modèle:Country data Monaco
ઢાંચો:Country data Denmark	Modèle:Country data Danemark
ઢાંચો:Country data Iceland	Modèle:Country data Islande
ઢાંચો:Country data Poland	Modèle:Country data Pologne
ઢાંચો:Country data Bulgaria	Modèle:Country data Bulgarie
ઢાંચો:Country data Guyana	Modèle:Country data Guyana
ઢાંચો:Country data Norway	Modèle:Country data Norvège
ઢાંચો:Country data South Africa	Modèle:Country data Afrique du Sud
ઢાંચો:Country data Georgia	Modèle:Country data Géorgie
ઢાંચો:Country data Uruguay	Modèle:Country data Uruguay
ઢાંચો:Image label	Modèle:Image label
ઢાંચો:અધિકૃત જાળસ્થળ	Modèle:Site officiel
ઢાંચો:Country data Brunei	Modèle:Country data Brunei
ઢાંચો:Country data Sri Lanka	Modèle:Country data Sri Lanka
ઢાંચો:Country data Mexico	Modèle:Country data Mexique
ઢાંચો:Country data Greece	Modèle:Country data Grèce
ઢાંચો:Country data Luxembourg	Modèle:Country data Luxembourg
ઢાંચો:Country data Saudi Arabia	Modèle:Country data Arabie saoudite
ઢાંચો:માહિતીચોકઠું કેન્દ્રીય બેંક	Modèle:Infobox Banque centrale
ઢાંચો:Country data Croatia	Modèle:Country data Croatie
ઢાંચો:Country data Iraq	Modèle:Country data Irak
ઢાંચો:Infobox television	Modèle:Infobox Émission de télévision
ઢાંચો:Apple	Modèle:Palette Apple
ઢાંચો:Frankfurt Stock Exchange	Modèle:FWB
ઢાંચો:ભૌગોલિક સ્થાન	Modèle:Localisation ville
ઢાંચો:માહિતીચોકઠું સંગીત કલાકાર	Modèle:Infobox Musique (artiste)
ઢાંચો:Country data U.S. Virgin Islands	Modèle:Country data Îles Vierges des États-Unis
ઢાંચો:Country data Morocco	Modèle:Country data Maroc
ઢાંચો:Country data Serbia	Modèle:Country data Serbie
ઢાંચો:Collapsible list	Modèle:Collapsible list
ઢાંચો:Country data Australia	Modèle:Country data Australie
ઢાંચો:Es icon	Modèle:Es
ઢાંચો:Country data France	Modèle:Country data France
ઢાંચો:Ambox	Modèle:Méta bandeau d'avertissement
ઢાંચો:Wikipedia category	Modèle:Catégorie Wikipédia
ઢાંચો:Lead too short	Modèle:Résumé introductif trop court
ઢાંચો:Dubious	Modèle:Douteux
ઢાંચો:Navigation templates	Modèle:Palette Modèles navigationnels
ઢાંચો:Infobox school	Modèle:Infobox École
ઢાંચો:User hi-3	Modèle:Utilisateur hi-3
ઢાંચો:માહિતીચોકઠું દેશ	Modèle:Infobox Pays
ઢાંચો:Infobox Software	Modèle:Infobox Logiciel
ઢાંચો:Country data Laos	Modèle:Country data Laos
ઢાંચો:Infobox airline	Modèle:Infobox Compagnie aérienne
ઢાંચો:Country data Austria	Modèle:Country data Autriche
ઢાંચો:Str left	Modèle:Str left
ઢાંચો:Country data Nepal	Modèle:Country data Népal
ઢાંચો:Str sub long	Modèle:Str sub long
ઢાંચો:Documentation/docname	Modèle:Documentation/docname
ઢાંચો:Country data Finland	Modèle:Country data Finlande
ઢાંચો:Audio	Modèle:Prononciation
ઢાંચો:Flat list	Modèle:Liste éléments
ઢાંચો:Country data Egypt	Modèle:Country data Égypte
ઢાંચો:Country data Lithuania	Modèle:Country data Lituanie
ઢાંચો:Country data Japan	Modèle:Country data Japon
ઢાંચો:Country data Netherlands	Modèle:Country data Pays-Bas
ઢાંચો:Navbox with columns	Modèle:Méta palette de navigation avec colonnes
ઢાંચો:S-start	Modèle:S-start
ઢાંચો:Nom	Modèle:Nom
ઢાંચો:Cite paper	Modèle:Article
ઢાંચો:Country data Azerbaijan	Modèle:Country data Azerbaïdjan
ઢાંચો:માહિતીચોકઠું કંપની	Modèle:Infobox Société
ઢાંચો:Country data Czechoslovakia	Modèle:Country data Tchécoslovaquie
ઢાંચો:Cite news	Modèle:Cite news
ઢાંચો:Family tree	Modèle:Arbre généalogique
ઢાંચો:Country data Vietnam	Modèle:Country data Viêt Nam
ઢાંચો:S-aft	Modèle:S-aft
ઢાંચો:ઉમદા લેખ	Modèle:Article de qualité
ઢાંચો:Country data Libya	Modèle:Country data Libye
ઢાંચો:Country data Russia	Modèle:Country data Russie
ઢાંચો:માહિતીચોકઠું રાજવી	Modèle:Infobox Panchen Lama
શ્રેણી:પેરિસ	Catégorie:Paris
શ્રેણી:User en-4	Catégorie:Utilisateur en-4
શ્રેણી:User en	Catégorie:Utilisateur en
શ્રેણી:User en-2	Catégorie:Utilisateur en-2
ઢાંચો:માહિતીચોકઠું મંદિર	Modèle:Infobox Temple hindouiste
ઢાંચો:User zh	Modèle:Utilisateur zh
ઢાંચો:Template other	Modèle:Template other
ઢાંચો:Legend	Modèle:Légende
ઢાંચો:Cite web	Modèle:Lien web
ઢાંચો:Infobox bridge	Modèle:Infobox Pont
ઢાંચો:Country data Italy	Modèle:Country data Italie
ઢાંચો:Country data	Modèle:Country data
ઢાંચો:વિજયી	Modèle:Lauréat
ઢાંચો:GeoTemplate	Modèle:GeoTemplate
ઢાંચો:Navbar-collapsible	Modèle:Tnavbar-collapsible
ઢાંચો:Coor URL	Modèle:Coord/URL
ઢાંચો:Pp-template	Modèle:Protection
ઢાંચો:Wiktionary	Modèle:Wiktionnaire
ઢાંચો:Country data Sweden	Modèle:Country data Suède
ઢાંચો:Chem	Modèle:Formule chimique
ઢાંચો:Language icon	Modèle:Indication de langue
શ્રેણી:User hi	Catégorie:Utilisateur hi
શ્રેણી:હિન્દી ચલચિત્ર	Catégorie:Film indien
ઢાંચો:પુરાતન દુનિયાની સાત અજાયબીઓ	Modèle:Palette Sept Merveilles du monde
ઢાંચો:ITIS	Modèle:ITIS
ઢાંચો:Other uses	Modèle:Voir homonymes
પીઠનો દુખાવો	Mal de dos
ઢાંચો:Country data Soviet Union	Modèle:Country data Union soviétique
ઢાંચો:Country data India	Modèle:Country data Inde
ઢાંચો:Language with name	Modèle:Langue avec nom
ઢાંચો:Country data Algeria	Modèle:Country data Algérie
ઢાંચો:માહિતીચોકઠું નૃવંશ સમુદાય	Modèle:Infobox Groupe ethnique
ઢાંચો:MONTHNAME	Modèle:MONTHNAME
ઢાંચો:Category redirect	Modèle:Catégorie redirigée
વિકિપીડિયા:Text of the GNU Free Documentation License	Wikipédia:Licence de documentation libre GNU
ઢાંચો:Country data Venezuela	Modèle:Country data Venezuela
ઢાંચો:Infobox protected area	Modèle:Infobox Aire protégée
ઢાંચો:Border	Modèle:Bordure
ઢાંચો:Country data Portugal	Modèle:Country data Portugal
ઢાંચો:Country data Ireland	Modèle:Country data Irlande
ઢાંચો:Translation/Ref	Modèle:Traduction/Référence
ઢાંચો:Top icon	Modèle:Icône de titre
શ્રેણી:Country data templates	Catégorie:Modèle Country data
ઢાંચો:Navbox with collapsible groups	Modèle:Méta palette de navigation sous-liste
ઢાંચો:Country data China	Modèle:Country data Chine
ઢાંચો:Country data Benin	Modèle:Country data Bénin
ઢાંચો:Country data ENG	Modèle:Country data Angleterre
ઢાંચો:Family tree/end	Modèle:Arbre généalogique/fin
ઢાંચો:Country data Republic of Ireland	Modèle:Country data République d'Irlande
ઢાંચો:Country data Turkey	Modèle:Country data Turquie
ઢાંચો:Country data Cyprus	Modèle:Country data Chypre
ઢાંચો:Country data Switzerland	Modèle:Country data Suisse
વિકિપીડિયા:મારે સભ્ય શા માટે થવું જોઇએ?	Aide:Compte utilisateur
ઢાંચો:Country data Philippines	Modèle:Country data Philippines
ઢાંચો:Country data Nigeria	Modèle:Country data Nigeria
ઢાંચો:Country data Belarus	Modèle:Country data Biélorussie
ઢાંચો:ParmPart	Modèle:ParmPart
ઢાંચો:Country data Malaysia	Modèle:Country data Malaisie
ઢાંચો:Country data Armenia	Modèle:Country data Arménie
ઢાંચો:Country data Zimbabwe	Modèle:Country data Zimbabwe
ઢાંચો:Country data Timor-Leste	Modèle:Country data Timor oriental
ઢાંચો:Country data South Vietnam	Modèle:Country data Viêt Nam du Sud
ઢાંચો:Country data Kazakhstan	Modèle:Country data Kazakhstan
ઢાંચો:Country data Chile	Modèle:Country data Chili
ઢાંચો:Country data Slovenia	Modèle:Country data Slovénie
ઢાંચો:Country data Lebanon	Modèle:Country data Liban
ઢાંચો:માહિતીચોકઠું પુસ્તક	Modèle:Infobox Livre
ઢાંચો:Country data Bhutan	Modèle:Country data Bhoutan
ઢાંચો:Tlc	Modèle:Tlc
ઢાંચો:Country data Ceylon	Modèle:Country data Ceylan
ઢાંચો:Talkback	Modèle:Réponse
ઢાંચો:Infobox planet	Modèle:Infobox Planète
શ્રેણી:જાન્યુઆરી	Catégorie:Janvier
ઢાંચો:આવર્ત કોષ્ટક	Modèle:Tableau périodique (navigation)
ઢાંચો:Lang-fa	Modèle:Lang-fa
ઢાંચો:User nl	Modèle:Utilisateur nl
ઢાંચો:માહિતીચોકઠું વેબસાઇટ	Modèle:Infobox Site web
ઢાંચો:Image label end	Modèle:Image label fin
ઢાંચો:Infobox Indian Jurisdiction	Modèle:Infobox District indien
ઢાંચો:Uncategorized	Modèle:À catégoriser
ઢાંચો:Talk header	Modèle:En-tête de page de discussion
ઢાંચો:Quote box	Modèle:Encadré texte
ઢાંચો:માહિતીચોકઠું વિશ્વ ધરોહર સ્થળ	Modèle:Infobox Patrimoine mondial
ઢાંચો:અંક પદ્ધતિ	Modèle:Palette Numération
ઢાંચો:Infobox astronaut	Modèle:Infobox Spationaute
ઢાંચો:Str len	Modèle:Str len
ઢાંચો:Purge	Modèle:Purger le cache
ઢાંચો:Infobox sport	Modèle:Infobox Sport
ઢાંચો:Lang-de	Modèle:Lang-de
ઢાંચો:Country data Austria-Hungary	Modèle:Country data Autriche-Hongrie
ઢાંચો:Location map USA	Modèle:Géolocalisation/États-Unis (Mainland)
ઢાંચો:Lang-el	Modèle:Lang-el
ઢાંચો:વિષ્ણુ અવતારો	Modèle:Palette Avatars Vishnou
ઢાંચો:NASDAQ	Modèle:Nasdaq
ઢાંચો:Clarify	Modèle:Pas clair
ઢાંચો:Loremipsum	Modèle:Lorem ipsum
શ્રેણી:ગુજરાતના જિલ્લાઓ	Catégorie:District du Gujarat
શ્રેણી:વિયેતનામમાં એરપોર્ટ	Catégorie:Aéroport au Viêt Nam
ઢાંચો:Emergency-bot-shutoff	Modèle:Arrêt d'urgence pour bot
ઢાંચો:Image label small	Modèle:Image label small
ઢાંચો:Nihongo	Modèle:Japonais
ઢાંચો:Infobox military unit	Modèle:Infobox Unité militaire
ઢાંચો:S-ttl	Modèle:S-ttl
ઢાંચો:Infobox stadium	Modèle:Infobox Stade
ઢાંચો:IPAEng	Modèle:API-en
ઢાંચો:Infobox tennis player	Modèle:Infobox Joueur de tennis
ઢાંચો:S-bef	Modèle:S-bef
ઢાંચો:Cite conference	Modèle:Lien conférence
ઢાંચો:Infobox political post	Modèle:Infobox Poste politique
શ્રેણી:ભારતના રાષ્ટ્રપતિ	Catégorie:Président de l'Inde
ઢાંચો:S-par	Modèle:S-par
ઢાંચો:Infobox UK place	Modèle:Infobox Ville du Royaume-Uni
ઢાંચો:Fake heading	Modèle:Fake heading
ઢાંચો:અઠવાડિયાના વારનાં નામો	Modèle:Palette Jours de la semaine
ઉપનિષદ	Upanishad
ઢાંચો:Infobox game	Modèle:Infobox Jeu
ઢાંચો:Country data West Germany	Modèle:Country data Allemagne de l'Ouest
ઢાંચો:Lang-ru	Modèle:Lang-ru
ઢાંચો:Country data East Germany	Modèle:Country data Allemagne de l'Est
ઢાંચો:@	Modèle:@
ઢાંચો:Polytonic	Modèle:Grec ancien
ઢાંચો:Country data Kingdom of the Netherlands	Modèle:Country data Royaume des Pays-Bas
ઢાંચો:Family tree/start	Modèle:Arbre généalogique/début
ઢાંચો:URL	Modèle:URL
ઢાંચો:સંદિગ્ધ શીર્ષક	Modèle:Homonymie
ઢાંચો:User gu-2	Modèle:Utilisateur gu-2
ઢાંચો:No	Modèle:Pas fait.
ઢાંચો:Doi	Modèle:Doi
ઢાંચો:Country data Azores	Modèle:Country data Açores
ઢાંચો:Infobox film	Modèle:Infobox Cinéma (film)
ઢાંચો:ભારતના રાષ્ટ્રપતિ	Modèle:Palette Liste des dirigeants de l'Inde
ઢાંચો:User sandbox	Modèle:Utilisateur brouillon
ઢાંચો:Infobox philosopher	Modèle:Infobox Philosophe
ઢાંચો:High-risk	Modèle:Inclusion
ઢાંચો:Infobox organisation	Modèle:Infobox Organisation
ઢાંચો:CategoryTOC	Modèle:Boîte des catégories
ઢાંચો:Infobox treaty	Modèle:Infobox Traité
ઢાંચો:Str rightc	Modèle:Str rightc
ઢાંચો:Infobox military installation	Modèle:Infobox Structure militaire
ઢાંચો:Infobox museum	Modèle:Infobox Musée
ઢાંચો:Lang-fr	Modèle:En français
ઢાંચો:FRA	Modèle:France
ઢાંચો:Pending	Modèle:En attente
ઢાંચો:માહિતીચોકઠું વ્યક્તિ	Modèle:Infobox Biographie
ઢાંચો:Geological range	Modèle:Présence fossile
ઢાંચો:Country data Kingdom of Ireland	Modèle:Country data Royaume d'Irlande
ઢાંચો:Country data Lordship of Ireland	Modèle:Country data Seigneurie d'Irlande
ઢાંચો:Country data Israel	Modèle:Country data Israël
ઢાંચો:Country data Ukraine	Modèle:Country data Ukraine
ઢાંચો:Country data Colombia	Modèle:Country data Colombie
ઢાંચો:Country data Pakistan	Modèle:Country data Pakistan
ઢાંચો:Country data Ghana	Modèle:Country data Ghana
ઢાંચો:Country data South Korea	Modèle:Country data Corée du Sud
શ્રેણી:કેરળ	Catégorie:Kerala
ઢાંચો:Convert	Modèle:Conversion
ઢાંચો:Country data Sint Eustatius	Modèle:Country data Saint-Eustache
ઢાંચો:Copy edit	Modèle:Orthographe
ઢાંચો:Coord	Modèle:Coord
ઢાંચો:Country data Idaho	Modèle:Country data Idaho
ઢાંચો:Dmoz	Modèle:Dmoz
કથ્થાઇ પેટ થડચડ	Sittelle à ventre marron
ઢાંચો:Country data Bohemia	Modèle:Country data Bohême
ઢાંચો:Country data Bahrain	Modèle:Country data Bahreïn
ઢાંચો:યુરોપ	Modèle:Palette Pays d'Europe
શ્રેણી:User fr	Catégorie:Utilisateur fr
શ્રેણી:User gu	Catégorie:Utilisateur gu
શ્રેણી:User hi-3	Catégorie:Utilisateur hi-3
શ્રેણી:सदस्य hi-2	Catégorie:Utilisateur hi-2
શ્રેણી:User fr-N	Catégorie:Utilisateur fr-M
શ્રેણી:User hi-N	Catégorie:Utilisateur hi-M
ઢાંચો:Cite video	Modèle:Lien vidéo
ઢાંચો:Catmore	Modèle:Article principal
ઢાંચો:Beta	Modèle:Beta
શ્રેણી:User de	Catégorie:Utilisateur de
શ્રેણી:User en-3	Catégorie:Utilisateur en-3
શ્રેણી:User en-N	Catégorie:Utilisateur en-M
ઢાંચો:Chembox Elements	Modèle:Fchm
શ્રેણી:User gu-1	Catégorie:Utilisateur gu-1
શ્રેણી:User gu-2	Catégorie:Utilisateur gu-2
શ્રેણી:User gu-3	Catégorie:Utilisateur gu-3
શ્રેણી:User gu-N	Catégorie:Utilisateur gu-M
ઢાંચો:N/a	Modèle:N/A
પોરબંદર	Porbandar
ઢાંચો:Edit filter warning	Modèle:Avertissement filtre
ઢાંચો:Country data Germany	Modèle:Country data Allemagne
ઢાંચો:Country data United Kingdom	Modèle:Country data Royaume-Uni
ઢાંચો:Location map Greater London	Modèle:Géolocalisation/Grand Londres
ઢાંચો:Country data Estonian SSR	Modèle:Country data République socialiste soviétique d'Estonie
ઢાંચો:માહિતીચોકઠું રોગ	Modèle:Infobox Maladie
ઢાંચો:Country data Scotland	Modèle:Country data Écosse
ઢાંચો:Country data Estonia	Modèle:Country data Estonie
ઢાંચો:Country data Montenegro	Modèle:Country data Monténégro
ઢાંચો:Weather box	Modèle:Climat
ઢાંચો:Confuse	Modèle:Confusion
શ્રેણી:નવેમ્બર	Catégorie:Novembre
પાણી (અણુ)	Molécule d'eau
ઢાંચો:User ta	Modèle:Utilisateur ta
શ્રેણી:માર્ચ	Catégorie:Mars
શ્રેણી:સપ્ટેમ્બર	Catégorie:Septembre
શ્રેણી:ઓક્ટોબર	Catégorie:Octobre
શ્રેણી:ડિસેમ્બર	Catégorie:Décembre
શ્રેણી:ઓગસ્ટ	Catégorie:Août
