अफ्रीका	Afrique
ढाँचा:Information	Modèle:Information
ढाँचा:Country data Côte d'Ivoire	Modèle:Country data Côte d'Ivoire
ढाँचा:Italy Squad 2002 World Cup	Modèle:Palette Italie coupe du monde 2002
ढाँचा:Country data Australasia	Modèle:Country data Australasie
ढाँचा:CDD	Modèle:DCD
ढाँचा:BRA	Modèle:Brésil
श्रेणी:नोभेम्बर	Catégorie:Novembre
श्रेणी:User ru-1	Catégorie:Utilisateur ru-1
ढाँचा:TOC limit	Modèle:Sommaire
लखनपुर	Lakhanpur (Jhapa)
ढाँचा:Expand list	Modèle:Liste incomplète
लाली दार्चुला	Lali (Darchula)
ढाँचा:African Union	Modèle:Palette Union africaine
ढाँचा:·wrap	Modèle:·wrap
ढाँचा:User sv-1	Modèle:Utilisateur sv-1
ढाँचा:Country data Belgian Congo	Modèle:Country data Congo belge
श्रेणी:कवि	Catégorie:Poète
ढाँचा:Country data Trust Territory of the Pacific Islands	Modèle:Country data Territoire sous tutelle des îles du Pacifique
श्रेणी:मार्च	Catégorie:Mars
श्रेणी:सेप्टेम्बर	Catégorie:Septembre
श्रेणी:अक्टोबर	Catégorie:Octobre
ढाँचा:CURRENTSECOND	Modèle:CURRENTSECOND
ढाँचा:Redirect2	Modèle:Redirect2
ढाँचा:Coffee	Modèle:Palette Café
श्रेणी:डिसेम्बर	Catégorie:Décembre
श्रेणी:मे	Catégorie:Mai
श्रेणी:क्रिकेट	Catégorie:Cricket
ढाँचा:No2	Modèle:Non2
ढाँचा:Infobox swimmer	Modèle:Infobox Nageur
ढाँचा:Rp	Modèle:Rp
शहीद दिवस	Martyr
ढाँचा:Infobox canal	Modèle:Infobox Canal
साधारण चिकित्सक	Médecine générale
ढाँचा:Country data Zimbabwe Rhodesia	Modèle:Country data Zimbabwe-Rhodésie
ढाँचा:Other persons	Modèle:Nom de famille
ढाँचा:Abs	Modèle:Abs
ढाँचा:IPA-all	Modèle:API-
ढाँचा:Languages	Modèle:Palette Utilisateur Langues
ढाँचा:Rh	Modèle:Rh
ढाँचा:Lang-ko	Modèle:Lang-ko
ढाँचा:Lang-it	Modèle:Lang-it
ढाँचा:LUX	Modèle:Luxembourg
ढाँचा:Red	Modèle:Rouge
लेलानी लीयन	Leilani Leeane
श्रेणी:सौर्यमण्डल	Catégorie:Système solaire
ढाँचा:Coord/dms2dec	Modèle:Coord/dms2dec
ढाँचा:Country data Brazil	Modèle:Country data Brésil
ढाँचा:Yes2	Modèle:Oui2
ढाँचा:Yes-No	Modèle:Yes-Not
ढाँचा:सरकारका प्रकार	Modèle:Palette Formes de gouvernement
ढाँचा:Country data Northern Ireland	Modèle:Country data Irlande du Nord
ढाँचा:Original research	Modèle:Travail inédit
श्रेणी:अन्तराष्ट्रिय संस्था	Catégorie:Organisation internationale
ढाँचा:AWB	Modèle:AWB
ढाँचा:Country data Dahomey	Modèle:Country data Dahomey
लेत, नेपाल	Lete
ढाँचा:Lang-ne	Modèle:Lang-ne
ढाँचा:Sfn	Modèle:Sfn
ढाँचा:Title without disambig	Modèle:Titre sans précision
ढाँचा:Country data Swaziland	Modèle:Country data Swaziland
श्रेणी:नविकरणीय उर्जा	Catégorie:Énergie renouvelable
लिकू	Likhu (Dolpa)
ढाँचा:Country data Somaliland	Modèle:Country data Somaliland
ढाँचा:Start date and age	Modèle:Existe depuis
ढाँचा:Fa icon	Modèle:Fa
ढाँचा:Sl icon	Modèle:Sl
ढाँचा:User sw-1	Modèle:Utilisateur sw-1
ढाँचा:User ka-1	Modèle:Utilisateur ka-1
ढाँचा:भूटानका जिल्लाहरू	Modèle:Palette Dzongkhag
ढाँचा:Ku icon	Modèle:Ku
ढाँचा:MCO	Modèle:Monaco
ढाँचा:Country data Hungary	Modèle:Country data Hongrie
द जुडस विन्डो	La Flèche peinte
ढाँचा:Lists of countries by continent	Modèle:Palette Liste des Etats souverains et territoires dépendants par continent
श्रेणी:1225	Catégorie:1225
ढाँचा:Template reference list	Modèle:Références du modèle
सिद्धेश्वर	Siddheswor (Achham)
तोली, अछाम	Toli (Achham)
पातलकोट	Patalkot (Népal)
पाइल	Payal (Népal)
रानिवन, अछाम	Raniban (Achham)
नाडा	Nada (Népal)
नंदेगडा	Nandegada
सेरा	Sera (Népal)
ढाँचा:(((	Modèle:(((
ढाँचा:)))	Modèle:)))
ढाँचा:Mdash	Modèle:Mdash
ढाँचा:Dentition	Modèle:FormuleDentaire
ढाँचा:Infobox cyclist	Modèle:Infobox Cycliste
ढाँचा:Spain Squad 2010 FIFA World Cup	Modèle:Palette Espagne coupe du monde 2010
ढाँचा:Advert	Modèle:Promotionnel
ढाँचा:Infobox government agency	Modèle:Infobox Agence gouvernementale
ढाँचा:FC Barcelona squad	Modèle:Palette Effectif actuel du FC Barcelone
विकिपीडिया:AutoWikiBrowser/Typos	Wikipédia:AutoWikiBrowser/Typos
ढाँचा:User ko-1	Modèle:Utilisateur ko-1
ढाँचा:User cs	Modèle:Utilisateur cs
ढाँचा:Country data New Zealand	Modèle:Country data Nouvelle-Zélande
ढाँचा:User ru-2	Modèle:Utilisateur ru-2
ढाँचा:User es-3	Modèle:Utilisateur es-3
ढाँचा:User ja-3	Modèle:Utilisateur ja-3
ढाँचा:Lv icon	Modèle:Lv
ढाँचा:User ko-3	Modèle:Utilisateur ko-3
ढाँचा:Infobox rocket	Modèle:Infobox Fusée
ढाँचा:0expr	Modèle:0expr
श्रेणी:User ru	Catégorie:Utilisateur ru
श्रेणी:User ru-2	Catégorie:Utilisateur ru-2
श्रेणी:User ru-3	Catégorie:Utilisateur ru-3
श्रेणी:User ru-4	Catégorie:Utilisateur ru-4
ढाँचा:S-reg	Modèle:S-reg
ढाँचा:Apollo program	Modèle:Palette Programme Apollo
श्रेणी:User tr	Catégorie:Utilisateur tr
ढाँचा:Lang-eu	Modèle:Lang-eu
श्रेणी:User tr-N	Catégorie:Utilisateur tr-M
ढाँचा:En	Modèle:En
ढाँचा:Nay	Modèle:Pas fait
ढाँचा:British Royal Family	Modèle:Palette Famille royale britannique
ढाँचा:Spaces	Modèle:Spaces
ढाँचा:Country data Faroe Islands	Modèle:Country data Îles Féroé
ढाँचा:Lang	Modèle:Langue
ढाँचा:Country data United States	Modèle:Country data États-Unis
ढाँचा:Country data Russian SFSR	Modèle:Country data RSFS de Russie
श्रेणी:दिल्ली	Catégorie:Delhi
ढाँचा:Lang-ky	Modèle:Lang-ky
ढाँचा:Template example row	Modèle:Ligne d'exemple de modèle
ढाँचा:Da icon	Modèle:Da
ढाँचा:Spain Squad 2008 UEFA Euro	Modèle:Palette Espagne euro 2008
ढाँचा:Infobox food	Modèle:Infobox Mets
ढाँचा:Country data Serbia and Montenegro	Modèle:Country data Serbie-et-Monténégro
ढाँचा:User ro-1	Modèle:Utilisateur ro-1
ढाँचा:IRL	Modèle:Irlande
ढाँचा:User th	Modèle:Utilisateur th
ढाँचा:Country data Turkmenistan	Modèle:Country data Turkménistan
ढाँचा:Country data North Korea	Modèle:Country data Corée du Nord
कालिका, बर्दिया	Kalika (Bardiya)
सपही	Sapahi (Bara)
तलिउम	Talium
रामपुर्वा	Rampurwa
मोतिपुर, बर्दिया	Motipur (Bardiya)
पिपराढिगोठ	Pipradhi Goth
महम्मदपुर, बर्दिया	Mahamadpur (Bardiya)
तेत्तरिया	Tetariya (Bara)
पिपराविर्ता	Piparabirta
राजापुर	Rajapur (Népal)
मनाऊ	Manau (Népal)
रघुनाथपुर, बारा	Raghunathpur (Bara)
ढाँचा:Country data अफगनिस्तान	Modèle:Country data Afghanistan
ढाँचा:Country data बाङ्ग्लादेश	Modèle:Country data Bangladesh
महेशपुर, बारा	Maheshpur (Bara)
ढाँचा:Country data Saar	Modèle:Country data Protectorat de Sarre
ढाँचा:Location map India Andhra Pradesh	Modèle:Géolocalisation/Andhra Pradesh
ढाँचा:ALB	Modèle:Albanie
ढाँचा:ARG	Modèle:Argentine
ढाँचा:ARM	Modèle:Arménie
ढाँचा:AUD	Modèle:Palette Monnaie australienne
ढाँचा:Period color	Modèle:Couleur stratigraphique
ढाँचा:अछाम जिल्लाका गाविसहरू	Modèle:Palette District d'Achham
ढाँचा:Administrative divisions links	Modèle:Modèles liés Divisions administratives
ढाँचा:Americas topic	Modèle:Méta palette de navigation Amériques
ढाँचा:एनिमर्फ्स	Modèle:Palette Animorphs
ढाँचा:Ann	Modèle:Ann anime
ढाँचा:Army/core	Modèle:Armée de terre/callback
ढाँचा:Asia topic	Modèle:Méta palette de navigation Asie
ढाँचा:Auto link	Modèle:AutoLien
ढाँचा:Award2	Modèle:Récompense
ढाँचा:BDI	Modèle:Burundi
ढाँचा:BGR	Modèle:Bulgarie
ढाँचा:BLR	Modèle:Biélorussie
ढाँचा:Baseballstats	Modèle:Baseball-reference
ढाँचा:Botany	Modèle:Palette Botanique
श्रेणी:नेपालका प्रधानमन्त्रीहरू	Catégorie:Premier ministre du Népal
ढाँचा:Brazil space program	Modèle:Palette Programme spatial brésilien
मग्मा	Magma (Népal)
ढाँचा:Bug	Modèle:Bug
महेशपुर, झापा	Maheshpur (Jhapa)
ढाँचा:User sv-3	Modèle:Utilisateur sv-3
मैनाकडेरी	Mainakaderi
मैना सहश्रबाहु	Mainasahasrabahu
मैनाघाट	Mainaghat
ढाँचा:CIV	Modèle:Côte d'Ivoire
ढाँचा:CJKV	Modèle:CJKV
ढाँचा:Chinese space program	Modèle:Palette Programme spatial chinois
ढाँचा:CYP	Modèle:Chypre
मनरी	Manari (Népal)
मराङ	Marang (Népal)
ढाँचा:Country data Democratic Republic of the Congo	Modèle:Country data République démocratique du Congo
मेरी बार्रा	Mary Barra
मसिना	Masina (Rolpa)
पंचन	Panchan
ढाँचा:Lang-hi	Modèle:Lang-hi
मटेला, सुर्खेत	Matela (Surkhet)
मे ब्रिट मोजर	May-Britt Moser
ढाँचा:Country data Aragon	Modèle:Country data Aragon
ढाँचा:Chembox header	Modèle:Chembox header
ढाँचा:Coord/dec2dms/dm	Modèle:Coord/dec2dms/dm
ढाँचा:Football squad end	Modèle:Fs end
श्रेणी:सेनेगलमा राजनैतिक दलहरू	Catégorie:Parti politique sénégalais
श्रेणी:सुरिनाममा राजनैतिक दलहरू	Catégorie:Parti politique surinamien
श्रेणी:ग्वाटेमालाका राजनैतिक दलहरू	Catégorie:Parti politique guatémaltèque
ढाँचा:QAT	Modèle:Qatar
ढाँचा:RUS	Modèle:Russie
ढाँचा:WTA	Modèle:Profil WTA
ढाँचा:Green	Modèle:Vert
ढाँचा:TGO	Modèle:Togo
ढाँचा:Sport honours	Modèle:Sport honours
ढाँचा:पाँच महासागरहरू	Modèle:Palette Océans
ढाँचा:AUT	Modèle:Autriche
ढाँचा:ICD9	Modèle:ICD9
ढाँचा:HistOfScience	Modèle:Palette Histoire des sciences
ढाँचा:MONTH	Modèle:MONTHISO
ढाँचा:CHL	Modèle:Chili
ढाँचा:Who	Modèle:Qui
मिजुरेडाँडा	Mijuredada
ढाँचा:Campaign	Modèle:Campagne
श्रेणी:नाटककार	Catégorie:Dramaturge
ढाँचा:Campaignbox Gulf War	Modèle:Guerre du Golfe (1990-1991)
ढाँचा:Capsicum Cultivars	Modèle:Palette Cultivars de Capsicum
ढाँचा:No footnotes	Modèle:Sources à lier
ढाँचा:Toolbar	Modèle:Barre d'outils
ढाँचा:Shenzhou program	Modèle:Palette Programme Shenzhou
ढाँचा:CHN	Modèle:Chine
श्रेणी:अक्टुबर क्रान्ति	Catégorie:Révolution russe
श्रेणी:नेपालमा खेलकुद	Catégorie:Sport au Népal
ढाँचा:Cite album-notes	Modèle:Livret album
ढाँचा:Cite arXiv	Modèle:Lien arXiv
ढाँचा:Airport destination list	Modèle:Airport-dest-list
श्रेणी:Bhutan stubs	Catégorie:Wikipédia:ébauche Bhoutan
मुना	Muna (Népal)
श्रेणी:वर्ष २०१०	Catégorie:2010
श्रेणी:उत्तराखण्डका जिल्लाहरू	Catégorie:District de l'Uttarakhand
ढाँचा:Cricketarchive	Modèle:Cricketarchive
श्रेणी:मुद्रा	Catégorie:Monnaie
ढाँचा:Infobox Language/family-color	Projet:Charte graphique/Tableau des langues
ढाँचा:ISSN	Modèle:ISSN
ढाँचा:Ose	Modèle:OSE
ढाँचा:User ca-3	Modèle:Utilisateur ca-3
ढाँचा:User cs-3	Modèle:Utilisateur cs-3
नराकोट	Narakot
ढाँचा:User et-3	Modèle:Utilisateur et-3
न्यारच्याङ	Narchyang
ढाँचा:User ga-2	Modèle:Utilisateur ga-2
नर्घो	Nardho
ढाँचा:Gray	Modèle:Gris
नर्कु	Narku
ढाँचा:User la-2	Modèle:Utilisateur la-2
ढाँचा:User li-1	Modèle:Utilisateur li-1
ढाँचा:User mk-1	Modèle:Utilisateur mk-1
ढाँचा:User nn-2	Modèle:Utilisateur nn-2
ढाँचा:User no-1	Modèle:Utilisateur no-1
ढाँचा:JULIANDAY.JULIAN	Modèle:JULIANDAY.JULIAN
ढाँचा:User pt	Modèle:Utilisateur pt
ढाँचा:User ro-2	Modèle:Utilisateur ro-2
ढाँचा:User ru-1	Modèle:Utilisateur ru-1
ढाँचा:User sk-1	Modèle:Utilisateur sk-1
ढाँचा:User sk-2	Modèle:Utilisateur sk-2
ढाँचा:User sr-1	Modèle:Utilisateur sr-1
ढाँचा:User sxu-1	Modèle:Utilisateur sxu-1
ढाँचा:User tr-3	Modèle:Utilisateur tr-3
ढाँचा:User uk-4	Modèle:Utilisateur uk-4
ढाँचा:User vo-1	Modèle:Utilisateur vo-1
ढाँचा:User zh-1	Modèle:Utilisateur zh-1
ढाँचा:User zh-2	Modèle:Utilisateur zh-2
हुती	Huti
उकु	Uku (Népal)
गुलिजार	Guljar
सेरी दार्चुला	Seri (Darchula)
ग्वानी	Gwani
ढाँचा:Infobox CPU	Modèle:Infobox Microprocesseur
श्रेणी:रुसको इतिहास	Catégorie:Histoire de la Russie
नौथर	Nauthar
ढाँचा:Country data Belize	Modèle:Country data Belize
श्रेणी:नेपालको भूगोल	Catégorie:Géographie du Népal
ढाँचा:Europe topic	Modèle:Méta palette de navigation Europe
संविधानसभा निर्वाचन २०७०	Élection de l'Assemblée constituante népalaise de 2013
ढाँचा:Country data Kosovo	Modèle:Country data Kosovo
नेटा, सुर्खेत	Neta (Surkhet)
ढाँचा:Country data New Caledonia	Modèle:Country data Nouvelle-Calédonie
ढाँचा:Country data Marshall Islands	Modèle:Country data Îles Marshall
ढाँचा:Country data Mauritania	Modèle:Country data Mauritanie
ढाँचा:Country data Samoa	Modèle:Country data Samoa
ढाँचा:Country data Palau	Modèle:Country data Palaos
ढाँचा:Country data Gabon	Modèle:Country data Gabon
ढाँचा:Country data Abkhazia	Modèle:Country data Abkhazie
ढाँचा:Country data Djibouti	Modèle:Country data Djibouti
ढाँचा:Country data South Ossetia	Modèle:Country data Ossétie du Sud
ढाँचा:Country data Norfolk Island	Modèle:Country data Île Norfolk
पातो	Pato (Népal)
ढाँचा:Country data Guam	Modèle:Country data Guam
पटेर्वा	Paterwa (Saptari)
ढाँचा:Country data Solomon Islands	Modèle:Country data Salomon
ढाँचा:Country data Wallis and Futuna	Modèle:Country data Wallis-et-Futuna
ढाँचा:Country data Pitcairn Islands	Modèle:Country data Îles Pitcairn
ढाँचा:Country data Northern Mariana Islands	Modèle:Country data Îles Mariannes du Nord
ढाँचा:Country data American Samoa	Modèle:Country data Samoa américaines
रामपुरा मल्हनियाँ	Rampuramalhaniya
सितापुर(सप्तरी)	Sitapur (Saptari)
टिकुलिया(सप्तरी)	Tikuliya
ढाँचा:Country data Aruba	Modèle:Country data Aruba
ढाँचा:Country data Cook Islands	Modèle:Country data Îles Cook
ढाँचा:Country data Sudan	Modèle:Country data Soudan
ढाँचा:Country data Chad	Modèle:Country data Tchad
श्रेणी:भूटान	Catégorie:Bhoutan
श्रेणी:व्यवस्थापन	Catégorie:Management
ढाँचा:Country data French Polynesia	Modèle:Country data Polynésie française
ढाँचा:Country data Antigua and Barbuda	Modèle:Country data Antigua-et-Barbuda
ढाँचा:Country data Gambia	Modèle:Country data Gambie
ढाँचा:Country data Tonga	Modèle:Country data Tonga
ढाँचा:Country data Federated States of Micronesia	Modèle:Country data Micronésie
ढाँचा:Country data Namibia	Modèle:Country data Namibie
ढाँचा:Country data Nova Scotia	Modèle:Country data Nouvelle-Écosse
ढाँचा:Tnavbar-header	Modèle:Tnavbar-header
श्रेणी:रुसी राजनीतिज्ञहरू	Catégorie:Personnalité politique russe
ढाँचा:Country data North Vietnam	Modèle:Country data Viêt Nam du Nord
श्रेणी:नेपाली राजनीतिज्ञहरू	Catégorie:Personnalité politique népalaise
श्रेणी:जर्मन राजनीतिज्ञहरू	Catégorie:Personnalité politique allemande
ढाँचा:Ndash	Modèle:Ndash
श्रेणी:साम्यवादी दलहरू	Catégorie:Parti communiste
श्रेणी:जीवावशेषहरू	Catégorie:Fossile
श्रेणी:विमानस्थलहरू	Catégorie:Aéroport
श्रेणी:तत्व	Catégorie:Élément chimique
ढाँचा:Two other uses	Modèle:2autres
ढाँचा:Country data Lithuanian SSR	Modèle:Country data RSS de Lituanie
ढाँचा:Country data Latvian SSR	Modèle:Country data RSS de Lettonie
ढाँचा:Cycling archives	Modèle:Siteducyclisme
श्रेणी:अष्ट्रेलियाका प्रधानमन्त्रीहरु	Catégorie:Premier ministre d'Australie
ढाँचा:Infobox operational plan	Modèle:Infobox Opération militaire
श्रेणी:Anatomy stubs	Catégorie:Wikipédia:ébauche anatomie
ढाँचा:Ga icon	Modèle:Ga
श्रेणी:युरोपका मुद्राहरू	Catégorie:Monnaie d'Europe
ढाँचा:Country data Burkina Faso	Modèle:Country data Burkina Faso
ढाँचा:Country data Central African Republic	Modèle:Country data République centrafricaine
ढाँचा:Country data Ras al-Khaimah	Modèle:Country data Ras el-Khaïmah
ढाँचा:Country data Abu Dhabi	Modèle:Country data Abou Dabi (émirat)
ढाँचा:Lang-hy	Modèle:Lang-hy
श्रेणी:स्वेडिश राजनीतिज्ञहरू	Catégorie:Personnalité politique suédoise
श्रेणी:नेपाल	Catégorie:Népal
श्रेणी:आइयुसिएनको रातो सूची अनुसार कम चासोका प्रजातिहरू	Catégorie:Statut UICN Préoccupation mineure
श्रेणी:Multilingual support templates	Catégorie:Modèle pour les langues
ओद्राहा	Odraha
ढाँचा:User de-4	Modèle:Utilisateur de-4
पीके (चलचित्र)	PK (film)
ढाँचा:Country data Wales	Modèle:Country data Pays de Galles
पाखापानी	Pakhapani
पाखापानी, म्याग्दी	Pakhapani (Myagdi)
पाखापानी, रोल्पा	Pakhapani (Rolpa)
ढाँचा:MONTHABBREV	Modèle:MONTHABBREV
ढाँचा:Country data Papua New Guinea	Modèle:Country data Papouasie-Nouvelle-Guinée
रिमी	Rimi (Népal)
सर्मी	Sarmi
पाठामारी	Pathamari
पाँचगाछी	Panchgachhi
सिकैंचा	Sikaicha
श्रेणी:युरोपको इतिहास	Catégorie:Histoire de l'Europe
पृथ्वीनगर	Prithivinagar
पाङ	Pang (Rolpa)
मे २०१४	Mai 2014
कोरोबारी	Korobari
शान्तिनगर	Shantinagar (Jhapa)
ढाँचा:Country data Byelorussian SSR	Modèle:Country data RSS de Biélorussie
ढाँचा:Jewellery	Modèle:Palette Pierres et métaux de joaillerie
प्रशवनी	Prasabani
श्रेणी:रुसमा राजनैतिक दलहरू	Catégorie:Parti politique russe
श्रेणी:राजनैतिक दलहरू	Catégorie:Parti politique
श्रेणी:संयुक्त अधिराज्यमा राजनैतिक दलहरू	Catégorie:Parti politique britannique
श्रेणी:गोआ	Catégorie:Goa
श्रेणी:कर्नाटक	Catégorie:Karnataka
श्रेणी:छत्तीसगढ	Catégorie:Chhattisgarh
श्रेणी:गुजरात	Catégorie:Gujarat
श्रेणी:त्रिपुरा	Catégorie:Tripura
श्रेणी:झारखंड	Catégorie:Jharkhand
श्रेणी:तमिलनाडु	Catégorie:Tamil Nadu
श्रेणी:पंजाब	Catégorie:Pendjab (Inde)
श्रेणी:मध्य प्रदेश	Catégorie:Madhya Pradesh
श्रेणी:मिजोरम	Catégorie:Mizoram
श्रेणी:राजस्थान	Catégorie:Rajasthan
श्रेणी:सिक्किम	Catégorie:Sikkim
श्रेणी:हरियाणा	Catégorie:Haryana
श्रेणी:उत्तर प्रदेश	Catégorie:Uttar Pradesh
श्रेणी:मेघालय	Catégorie:Meghalaya
श्रेणी:पश्चिम बङ्गाल	Catégorie:Bengale-Occidental
ढाँचा:S-off	Modèle:S-off
श्रेणी:जर्मन सामाजिक-जनवादी पार्टीका सदस्यहरू	Catégorie:Personnalité du Parti social-démocrate d'Allemagne
ढाँचा:ESP	Modèle:Espagne
श्रेणी:जनावर	Catégorie:Animal
ढाँचा:Cite episode	Modèle:Citation épisode
ढाँचा:Hexadecimal	Modèle:Hexadécimal
श्रेणी:खेल अपूरो	Catégorie:Wikipédia:ébauche sport
ढाँचा:S-end	Modèle:S-end
ढाँचा:User bn	Modèle:Utilisateur bn
ढाँचा:Country data Karelia	Modèle:Country data Carélie
ढाँचा:Solar System navmap	Modèle:Palette Système solaire/navmap
शर्बत	Sharbat
माझठाना	Majhthana
तातोपानी, जुम्ला	Tatopani (Jumla)
लावन	Lawan (Népal)
ढाँचा:Country data Ethiopian Empire	Modèle:Country data Empire d'Éthiopie
ढाँचा:Lang-co	Modèle:Lang-co
श्रेणी:स्वरवर्ण	Catégorie:Voyelle
श्रेणी:व्यञ्जनवर्ण	Catégorie:Consonne
श्रेणी:दक्षिण एशिया	Catégorie:Monde indien
श्रेणी:रोग	Catégorie:Maladie
श्रेणी:धातुहरू	Catégorie:Métal
श्रेणी:नृत्य	Catégorie:Danse
ढाँचा:Infobox storage medium	Modèle:Infobox Média
पदमचाल	Rhubarbe
ढाँचा:Infobox language	Modèle:Infobox Langue
ढाँचा:Marx/Engels	Modèle:Palette Marx et Engels
ढाँचा:Mariner program	Modèle:Palette Programme Mariner
ढाँचा:User tl	Modèle:Utilisateur tl
मूला	Radis blanc
ढाँचा:Country data Hawaii	Modèle:Country data Hawaï
ढाँचा:Country data Weimar Republic	Modèle:Country data République de Weimar
श्रेणी:खेलाडीहरू	Catégorie:Sportif
श्रेणी:नागालैंड	Catégorie:Nagaland
श्रेणी:जम्मु कश्मीर	Catégorie:Jammu-et-Cachemire
श्रेणी:मणिपुर	Catégorie:Manipur
श्रेणी:महाराष्ट्र	Catégorie:Maharashtra
श्रेणी:अरुणाचल प्रदेश	Catégorie:Arunachal Pradesh
श्रेणी:हिमाचल प्रदेश	Catégorie:Himachal Pradesh
श्रेणी:आन्ध्र प्रदेश	Catégorie:Andhra Pradesh
श्रेणी:आसाम	Catégorie:Assam
ताकम	Takam (Népal)
राम्चे, रसुवा	Ramche (Rasuwa)
सिङ्गा	Singa (Népal)
रुरु	Ruru (Népal)
सिर्सेनी	Sirseni
नेटा	Neta (Gulmi)
पुलू	Pulu
शान्तिपुर, गुल्मी	Shantipur (Gulmi)
मुदी	Mudi (Népal)
राम्चे, म्याग्दी	Ramche (Myagdi)
शिखा	Shikha (Népal)
कागबेनी	Kagbeni
भुर्तुङ	Bhurtung
ढाँचा:User af-2	Modèle:Utilisateur af-2
गाजर	Carotte
ढाँचा:Infobox Israel municipality	Modèle:Infobox Ville d'Israël
ढाँचा:Lists by country	Modèle:Palette Listes de pays
रजहर	Rajahar
रजेना	Rajena
सरमथली, रसुवा	Saramthali (Rasuwa)
श्रेणी:नेपालका तालहरू	Catégorie:Lac du Népal
रामनगर	Ramnagar (Nawalparasi)
रामनगर(सप्तरी)	Ramnagar (Saptari)
रम्घा, लमजुङ	Ramgha
राङ्कोट	Rangkot
राङ्सी	Rangsi (Rolpa)
राङ्सी, रुकुम	Rangsi (Rukum)
रानीबाँस	Ranibas (Surkhet)
राँक	Rank (Népal)
रतु	Ratu (Népal)
ढाँचा:WPBannerMeta	Modèle:Wikiprojet
ढाँचा:Cross	Modèle:Croix3
मद्दत:Wiki markup	Aide:Syntaxe
श्रेणी:मुटुको संरचनाशास्त्र	Catégorie:Anatomie cardiaque
Module:URL	Module:URL
श्रेणी:भेनेजुएलामा राजनैतिक दलहरू	Catégorie:Parti politique vénézuélien
ढाँचा:Japanese space program	Modèle:Palette Programme spatial japonais
ढाँचा:International Space Station	Modèle:Palette ISS
ढाँचा:Mir modules	Modèle:Palette Éléments de la station spatiale Mir
ढाँचा:TKS spacecraft	Modèle:Palette Vaisseaux spatiaux TKS
Portal:वाणिज्य	Portail:Économie
श्रेणी:मिजोरमका जिल्लाहरू	Catégorie:District du Mizoram
ढाँचा:Soyuz	Modèle:Palette Missions Soyouz
ढाँचा:Explorer program	Modèle:Palette Programme Explorer
ढाँचा:Space Shuttles	Modèle:Palette Navette spatiale
ढाँचा:Project Mercury	Modèle:Palette Programme Mercury
ढाँचा:Space tourism	Modèle:Palette Tourisme spatial
ढाँचा:Space suits	Modèle:Palette Combinaisons spatiales
ढाँचा:Country data Alabama	Modèle:Country data Alabama
ढाँचा:Country data Alaska	Modèle:Country data Alaska
ढाँचा:European launch systems	Modèle:Palette Lanceurs Ariane
ढाँचा:Country data Alberta	Modèle:Country data Alberta
ढाँचा:Country data Alderney	Modèle:Country data Aurigny
ढाँचा:Orbits	Modèle:Palette Orbites
ढाँचा:Country data Allied-occupied Germany	Modèle:Country data Allemagne occupée
ढाँचा:Height	Modèle:Taille
ढाँचा:Country data Kingdom of Italy	Modèle:Country data Royaume d'Italie
ढाँचा:People who have walked on the Moon	Modèle:Palette Hommes ayant marché sur la Lune
ढाँचा:NASA space program	Modèle:Palette Programme spatial américain
रुकुमकोट	Rukumkot
श्रेणी:बैंकहरू	Catégorie:Banque
सहारे	Sahare (Surkhet)
सखि	Sakhi (Népal)
सकोट	Sakot
विकिपे-टान	Wikipédia:Wikipe-tan
सम्राट उपाध्याय	Samrat Upadhyay
सनई	Sanai (Népal)
विकिपीडिया:Template doc page pattern	Aide:Documentation de modèle
साटाखानी	Satakhani
सत्य नडेला	Satya Nadella
सोताङ	Sotang
श्रेणी:भारतको प्रान्त	Catégorie:État ou territoire de l'Inde
ढाँचा:CompactTOC8	Modèle:Compacttoc
सेरम	Seram (Népal)
उवा	Uwa (Népal)
ओत	Wot (Népal)
सिउरी	Siuri (Népal)
श्रेणी:जर्मनीका राजनैतिक दलहरू	Catégorie:Parti politique allemand
ढाँचा:Country data Chechnya	Modèle:Country data Tchétchénie
ढाँचा:Template sandbox notice	Modèle:Sous-page de bac à sable
ढाँचा:Hydrogen compounds	Modèle:Palette Composés de l'hydrogène
ढाँचा:US patent	Modèle:US patent
ढाँचा:Location map United Kingdom Wiltshire	Modèle:Géolocalisation/Wiltshire
ढाँचा:Uw-test2	Modèle:Test 2
ढाँचा:S-vac	Modèle:S-vac
ढाँचा:Uw-vandalism3	Modèle:Test 2/Documentation
ढाँचा:Lang-ur	Modèle:Lang-ur
श्रेणी:अण्डमान र निकोबार द्वीप समूह	Catégorie:Andaman et Nicobar
सिम्पानी, लमजुङ	Simpani (Lamjung)
कुस्मा, नवलपरासी	Kusma
तार्कु	Tarku
सोमनी	Somani
ढाँचा:Oceania topic	Modèle:Méta palette de navigation Océanie
नेटा, लमजुङ	Neta (Lamjung)
ढाँचा:H:title	Modèle:H:title
ढाँचा:Pp-move	Modèle:Nom protégé
ढाँचा:Country data Mexican Federal District	Modèle:Country data Mexico DF
ढाँचा:Country data Michoacán	Modèle:Country data Michoacán
ढाँचा:Country data Nuevo León	Modèle:Country data Nuevo León
श्रेणी:नेपालका विमानस्थलहरू	Catégorie:Aéroport au Népal
ढाँचा:Country data Hidalgo	Modèle:Country data Hidalgo
ढाँचा:Country data Nayarit	Modèle:Country data Nayarit
ढाँचा:Country data Oaxaca	Modèle:Country data Oaxaca
