Afraga	Afrique
7 an t-Ògmhios	7 juin
11 an t-Ògmhios	11 juin
9 an t-Ògmhios	9 juin
12 an t-Ògmhios	12 juin
6 an t-Ògmhios	6 juin
8 an t-Ògmhios	8 juin
5 an t-Ògmhios	5 juin
3 an t-Ògmhios	3 juin
2 an t-Ògmhios	2 juin
1 an t-Ògmhios	1er juin
4 an t-Ògmhios	4 juin
Ringo Starr	Ringo Starr
Napoli	Naples
22 an Dùbhlachd	22 décembre
S.S.C. Napoli	SSC Naples
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 an t-Ògmhios	16 juin
30 an t-Ògmhios	30 juin
29 an t-Ògmhios	29 juin
28 an t-Ògmhios	28 juin
26 an t-Ògmhios	26 juin
25 an t-Ògmhios	25 juin
22 an t-Ògmhios	22 juin
27 an t-Ògmhios	27 juin
24 an t-Ògmhios	24 juin
20 an t-Ògmhios	20 juin
23 an t-Ògmhios	23 juin
19 an t-Ògmhios	19 juin
18 an t-Ògmhios	18 juin
21 an t-Ògmhios	21 juin
17 an t-Ògmhios	17 juin
23 an Dùbhlachd	23 décembre
Ceusair Uilleam II	Guillaume II (empereur allemand)
Bruce Willis	Bruce Willis
Arnold Schwarzenegger	Arnold Schwarzenegger
15 an t-Iuchar	15 juillet
13 an t-Iuchar	13 juillet
12 an t-Iuchar	12 juillet
10 an t-Iuchar	10 juillet
9 an t-Iuchar	9 juillet
14 an t-Iuchar	14 juillet
8 an t-Iuchar	8 juillet
7 an t-Iuchar	7 juillet
6 an t-Iuchar	6 juillet
5 an t-Iuchar	5 juillet
2 an t-Iuchar	2 juillet
4 an t-Iuchar	4 juillet
3 an t-Iuchar	3 juillet
1 an t-Iuchar	1er juillet
11 an t-Iuchar	11 juillet
24 an Dùbhlachd	24 décembre
Bremerhaven	Bremerhaven
31 an t-Iuchar	31 juillet
30 an t-Iuchar	30 juillet
29 an t-Iuchar	29 juillet
28 an t-Iuchar	28 juillet
27 an t-Iuchar	27 juillet
25 an t-Iuchar	25 juillet
24 an t-Iuchar	24 juillet
23 an t-Iuchar	23 juillet
26 an t-Iuchar	26 juillet
22 an t-Iuchar	22 juillet
19 an t-Iuchar	19 juillet
21 an t-Iuchar	21 juillet
20 an t-Iuchar	20 juillet
17 an t-Iuchar	17 juillet
18 an t-Iuchar	18 juillet
16 an t-Iuchar	16 juillet
Ball-coise	Football
25 an Dùbhlachd	25 décembre
Augsburg	Augsbourg
Siena	Sienne
1963	1963
Lech Kaczyński	Lech Kaczyński
Urbino	Urbino
26 an Dùbhlachd	26 décembre
Uile-losgadh	Shoah
1962	1962
Gelsenkirchen	Gelsenkirchen
14 an Lùnastal	14 août
15 an Lùnastal	15 août
13 an Lùnastal	13 août
12 an Lùnastal	12 août
11 an Lùnastal	11 août
10 an Lùnastal	10 août
8 an Lùnastal	8 août
7 an Lùnastal	7 août
9 an Lùnastal	9 août
5 an Lùnastal	5 août
4 an Lùnastal	4 août
2 an Lùnastal	2 août
3 an Lùnastal	3 août
6 an Lùnastal	6 août
1 an Lùnastal	1er août
Chemnitz	Chemnitz
27 an Dùbhlachd	27 décembre
Madrid	Madrid
Bàta-tumaidh	Sous-marin
16 an Lùnastal	16 août
Halle (Saale)	Halle (Saxe-Anhalt)
29 an Lùnastal	29 août
28 an Lùnastal	28 août
30 an Lùnastal	30 août
25 an Lùnastal	25 août
26 an Lùnastal	26 août
23 an Lùnastal	23 août
27 an Lùnastal	27 août
21 an Lùnastal	21 août
20 an Lùnastal	20 août
24 an Lùnastal	24 août
18 an Lùnastal	18 août
17 an Lùnastal	17 août
22 an Lùnastal	22 août
19 an Lùnastal	19 août
31 an Lùnastal	31 août
28 an Dùbhlachd	28 décembre
Freiburg im Breisgau	Fribourg-en-Brisgau
Bogotá	Bogota
Lübeck	Lübeck
Brasília	Brasilia
15 an t-Sultain	15 septembre
14 an t-Sultain	14 septembre
13 an t-Sultain	13 septembre
12 an t-Sultain	12 septembre
8 an t-Sultain	8 septembre
11 an t-Sultain	11 septembre
7 an t-Sultain	7 septembre
10 an t-Sultain	10 septembre
5 an t-Sultain	5 septembre
4 an t-Sultain	4 septembre
9 an t-Sultain	9 septembre
2 an t-Sultain	2 septembre
6 an t-Sultain	6 septembre
1 an t-Sultain	1er septembre
3 an t-Sultain	3 septembre
Rostock	Rostock
29 an Dùbhlachd	29 décembre
Alexander Lukashenko	Alexandre Loukachenko
Lima	Lima
30 an t-Sultain	30 septembre
29 an t-Sultain	29 septembre
28 an t-Sultain	28 septembre
27 an t-Sultain	27 septembre
26 an t-Sultain	26 septembre
25 an t-Sultain	25 septembre
Santiago	Santiago
23 an t-Sultain	23 septembre
22 an t-Sultain	22 septembre
24 an t-Sultain	24 septembre
21 an t-Sultain	21 septembre
20 an t-Sultain	20 septembre
18 an t-Sultain	18 septembre
17 an t-Sultain	17 septembre
19 an t-Sultain	19 septembre
16 an t-Sultain	16 septembre
Mülheim an der Ruhr	Mülheim (Rhénanie-du-Nord-Westphalie)
Quito	Quito
30 an Dùbhlachd	30 décembre
Sucre	Sucre (Bolivie)
31 an Dùbhlachd	31 décembre
1 an Dàmhair	1er octobre
15 an Dàmhair	15 octobre
12 an Dàmhair	12 octobre
10 an Dàmhair	10 octobre
14 an Dàmhair	14 octobre
9 an Dàmhair	9 octobre
8 an Dàmhair	8 octobre
13 an Dàmhair	13 octobre
7 an Dàmhair	7 octobre
11 an Dàmhair	11 octobre
6 an Dàmhair	6 octobre
4 an Dàmhair	4 octobre
5 an Dàmhair	5 octobre
3 an Dàmhair	3 octobre
2 an Dàmhair	2 octobre
Asunción	Asuncion
31 an Dàmhair	31 octobre
30 an Dàmhair	30 octobre
29 an Dàmhair	29 octobre
28 an Dàmhair	28 octobre
26 an Dàmhair	26 octobre
25 an Dàmhair	25 octobre
24 an Dàmhair	24 octobre
27 an Dàmhair	27 octobre
22 an Dàmhair	22 octobre
23 an Dàmhair	23 octobre
20 an Dàmhair	20 octobre
21 an Dàmhair	21 octobre
19 an Dàmhair	19 octobre
17 an Dàmhair	17 octobre
16 an Dàmhair	16 octobre
18 an Dàmhair	18 octobre
Heidelberg	Heidelberg
Notre Dame de Paris	Cathédrale Notre-Dame de Paris
15 an t-Samhain	15 novembre
14 an t-Samhain	14 novembre
13 an t-Samhain	13 novembre
12 an t-Samhain	12 novembre
11 an t-Samhain	11 novembre
10 an t-Samhain	10 novembre
7 an t-Samhain	7 novembre
8 an t-Samhain	8 novembre
9 an t-Samhain	9 novembre
6 an t-Samhain	6 novembre
5 an t-Samhain	5 novembre
4 an t-Samhain	4 novembre
3 an t-Samhain	3 novembre
2 an t-Samhain	2 novembre
1 an t-Samhain	1er novembre
Paramaribo	Paramaribo
Ulm	Ulm
30 an t-Samhain	30 novembre
29 an t-Samhain	29 novembre
28 an t-Samhain	28 novembre
27 an t-Samhain	27 novembre
26 an t-Samhain	26 novembre
25 an t-Samhain	25 novembre
23 an t-Samhain	23 novembre
24 an t-Samhain	24 novembre
21 an t-Samhain	21 novembre
20 an t-Samhain	20 novembre
22 an t-Samhain	22 novembre
19 an t-Samhain	19 novembre
18 an t-Samhain	18 novembre
17 an t-Samhain	17 novembre
16 an t-Samhain	16 novembre
Caileag	Fille
Göttingen	Göttingen
Kathmandu	Katmandou
Belmopan	Belmopan
Teàrlach Mòr	Charlemagne
Pforzheim	Pforzheim
Liger-Atlantel	Loire-Atlantique
San José, Costa Rica	San José (Costa Rica)
Punc	Punk rock
Ain	Ain (département)
Aisne	Aisne (département)
Vosges (département)	Vosges (département)
San Salvador	San Salvador (Salvador)
Allier	Allier (département)
Canberra	Canberra
Jura (département)	Jura (département)
Hautes-Alpes	Hautes-Alpes
Sydney	Sydney
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alpes-Maritimes	Alpes-Maritimes
Melbourne	Melbourne
Ardèche	Ardèche (département)
Jena	Iéna
Ardennes (département)	Ardennes (département)
Peairt, Astràilia	Perth (Australie-Occidentale)
Ariège	Ariège (département)
Hildesheim	Hildesheim
Aube	Aube (département)
Teine	Feu
Astràilia an Iar	Australie-Occidentale
Aude	Aude (département)
Aveyron	Aveyron (département)
New South Wales	Nouvelle-Galles du Sud
Roinn-a-Tuath	Territoire du Nord
Tegucigalpa	Tegucigalpa
Bouches-du-Rhône	Bouches-du-Rhône
Calvados (département)	Calvados (département)
Cantal	Cantal (département)
Charente	Charente (département)
Managua	Managua
Charente-Maritime	Charente-Maritime
Cher (département)	Cher (département)
Panama (baile)	Panama (ville)
Haute-Corse	Haute-Corse
George Orwell	George Orwell
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d'Or
Aodoù-an-Arvor	Côtes-d'Armor
Dordogne	Dordogne (département)
Drôme	Drôme (département)
Essonne	Essonne (département)
Eure	Eure (département)
Eure-et-Loir	Eure-et-Loir
Penn-ar-Bed	Finistère
Nile	Nil
Voronezh	Voronej
Sumatra	Sumatra
Rabat	Rabat
Reul earballach	Comète
Algiers	Alger
Tunis	Tunis
Tripoli	Tripoli (Libye)
Djibouti (Baile)	Djibouti (ville)
Tehran	Téhéran
Addis Ababa	Addis-Abeba
Jakarta	Jakarta
Ankara	Ankara
Asmara	Asmara
N'Djamena	N'Djaména
Niamey	Niamey
Nouakchott	Nouakchott
Riyadh	Riyad
1961	1961
Bamako	Bamako
Troigh	Pied (unité)
Belgrade	Belgrade
Dakar	Dakar
Banjul	Banjul
Conakry	Conakry
Bissau	Bissau
Roinn-seòrsa:Teamplaid	Catégorie:Espace Modèle
Monrovia	Monrovia
Praia	Praia
1960	1960
Diàbha	Java (île)
Accra	Accra
Damascus	Damas
Yamoussoukro	Yamoussoukro
Guiana Fhrangach	Guyane
Ouagadougou	Ouagadougou
Freetown	Freetown
Abuja	Abuja
Lomé	Lomé
Porto-Novo	Porto-Novo
Amman	Amman
Yaoundé	Yaoundé
Sulawesi	Célèbes
Malabo	Malabo
Beirut	Beyrouth
Libreville	Libreville
Muscat	Mascate
Bangui	Bangui
Kinshasa	Kinshasa
Brazzaville	Brazzaville
Gini-Nuadh an Iar	Nouvelle-Guinée occidentale
Worms	Worms (Allemagne)
Bujumbura	Bujumbura
Nicosia	Nicosie
Kigali	Kigali
Doha	Doha
Dodoma	Dodoma
Nairobi	Nairobi
Lilongwe	Lilongwe
Neumünster	Neumünster
Lusaka	Lusaka
Manama	Manama
Maputo	Maputo
Kampala	Kampala
Luanda	Luanda
Moroni	Moroni (Comores)
Mbabane	Mbabane
Galicia	Galice
Maseru	Maseru
Antananarivo	Antananarivo
Oilthigh	Université
Gaborone	Gaborone
Harare	Harare
Detmold	Detmold
Pretoria	Pretoria
Port Louis	Port-Louis (Maurice)
São Tomé	São Tomé (ville)
Prionnsachd Asturias	Asturies
Windhoek	Windhoek
Uicipeid:Tigh-cluiche	Wikipédia:Bac à sable
Victoria (na h-Eileanan Sheiseall)	Victoria (Seychelles)
Uicipeid:Ro-ràdh	Aide:Premiers pas
Cantàbria	Cantabrie
Taigh	Maison
Baile	Bourg
Bathar-cruaidh	Matériel informatique
Neuwied	Neuwied
Ailseabra	Algèbre
Dùthaich nam Basgach	Pays basque (communauté autonome)
Nafarroa	Communauté forale de Navarre
Abhainn	Rivière
Osasco	Osasco (Brésil)
Aragón	Aragon (communauté autonome)
Euskirchen	Euskirchen
Fàsach Bheag na Gainmhich	Petit désert de sable
Glaschu	Glasgow
Greifswald	Greifswald
Na Tròiseachan	Trossachs
Reul-chuairt	Orbite
Baile Hamaltan	Hamilton (Écosse)
Port Adhair Dong Hoi	Aéroport de Đồng Hới
Fèin-eachdraidh	Autobiographie
Luzern	Lucerne
Curitiba	Curitiba
Feòrag	Écureuil roux
Pangaea	Pangée
Coille	Forêt
Zichyújfalu	Zichyújfalu
Pàpa Pius VIII	Pie VIII
Pàpa Beinidict XV	Benoît XV
Cabhlach	Marine de guerre
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Gnàth-fhacail	Livre des Proverbes
Anne Frank	Anne Frank
Confucius	Confucius
Corbin Bleu	Corbin Bleu
Roinn-seòrsa:Matamataig	Catégorie:Mathématiques
Kölsch	Kölsch (langue)
Na h-Eileanan Fàro	Îles Féroé
Mohamed Morsi	Mohamed Morsi
Ath-bheòthachadh	Renaissance
Oamaru	Oamaru
Nead	Nid
1488	1488
Euro	Euro
Am Muir Meadhan-thìreach	Mer Méditerranée
Georgia	Georgia
Crìosdaidheachd	Christianisme
1004	1004
Seattle, Washington	Seattle
Baltimore, Maryland	Baltimore
Mòr-roinn	Continent
Adelaide	Adélaïde (Australie)
Eun	Oiseau
Prìomh-bhaile	Capitale
Monzón	Monzón
Portagailis	Portugais
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
1949	1949
Almazán	Almazán
Huang Sianfan	Huang Xianfan
Quechua	Quechua
1956	1956
1200	1200
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1941	1941
1207	1207
1208	1208
1945	1945
1209	1209
1210	1210
1211	1211
1958	1958
1212	1212
1926	1926
1213	1213
1947	1947
1944	1944
1952	1952
Bill Gates	Bill Gates
Seapanais	Japonais
Leabhar-eòlais	Encyclopédie
Prìomh-Dhuilleag	Wikipédia:Accueil principal
1959	1959
1957	1957
Adolf Butenandt	Adolf Butenandt
1214	1214
1215	1215
Ball-stèidhe	Baseball
Ball-basgaid	Basket-ball
1216	1216
Criogaid	Cricket
Goilf	Golf
Rugbaidh	Rugby (sport)
1217	1217
1218	1218
1219	1219
Na h-Olympics	Jeux olympiques
1220	1220
1221	1221
1222	1222
1223	1223
Eoràisia	Eurasie
1224	1224
1225	1225
1226	1226
1227	1227
1228	1228
1229	1229
1230	1230
1231	1231
1232	1232
1233	1233
1234	1234
1235	1235
1236	1236
1237	1237
1238	1238
1239	1239
1240	1240
1241	1241
1242	1242
1243	1243
1244	1244
1245	1245
1246	1246
Beanntan na h-Andes	Cordillère des Andes
Na Beanntan Creagach	Montagnes Rocheuses
Cape Town	Le Cap
1247	1247
1248	1248
Muir Caspach	Mer Caspienne
1249	1249
1250	1250
Loch Erie	Lac Érié
1251	1251
1252	1252
1253	1253
1254	1254
1255	1255
1256	1256
1257	1257
1258	1258
1259	1259
1260	1260
1261	1261
1262	1262
1263	1263
Loch Baikal	Lac Baïkal
1264	1264
1265	1265
1266	1266
1267	1267
1268	1268
1269	1269
1270	1270
1271	1271
1272	1272
1273	1273
1274	1274
1275	1275
1276	1276
1277	1277
1278	1278
1279	1279
1280	1280
1281	1281
1282	1282
1283	1283
1284	1284
1285	1285
1286	1286
1287	1287
1288	1288
1289	1289
1290	1290
1291	1291
1292	1292
1293	1293
1294	1294
1295	1295
1296	1296
1297	1297
1298	1298
1299	1299
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michel-Ange
Rembrandt	Rembrandt
Frank Lloyd Wright	Frank Lloyd Wright
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
Hans Christian Andersen	Hans Christian Andersen
Cervantes	Miguel de Cervantes
Charles Dickens	Charles Dickens
Åland	Åland
Catalòinia	Catalogne
1306	1306
1307	1307
Co-chomann València	Communauté valencienne
Philippe Pétain	Philippe Pétain
1308	1308
1309	1309
La Rioja (An Spàinn)	La Rioja
1310	1310
1311	1311
1312	1312
1313	1313
Castilla y León	Castille-et-León
1314	1314
1315	1315
1316	1316
1317	1317
Castilla-La Mancha	Castille-La Manche
1318	1318
Na h-Eileanan Balèarach	Îles Baléares
1319	1319
1320	1320
1321	1321
1322	1322
1323	1323
Murcia (provincia)	Région de Murcie
1324	1324
1325	1325
Extremadura	Estrémadure
1326	1326
Andalusia	Andalousie
1327	1327
1328	1328
Mecca	La Mecque
Che Guevara	Che Guevara
Na h-Eileanan Canàrach	Îles Canaries
Mao Zedong	Mao Zedong
Córdoba, An Spàinn	Cordoue
Ceuta	Ceuta
Melilla	Melilla
Kabul	Kaboul
Aonadh Rugbaidh	Rugby à XV
Vukovar	Vukovar
Lhasa	Lhassa
Dàirich	Rapport sexuel
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Faighean	Vagin
Tamailis	Tamoul
Feallsanachd	Philosophie
1329	1329
Aachener Dom	Cathédrale d'Aix-la-Chapelle
Huntington Beach, Calafòrnia	Huntington Beach
Orange County, Calafòrnia	Comté d'Orange (Californie)
James Brown	James Brown
Roinn-seòrsa:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Buddy Holly	Buddy Holly
1330	1330
1331	1331
1332	1332
1333	1333
1334	1334
Rap	Rap
1335	1335
1336	1336
Dada	Dada
1337	1337
1338	1338
1339	1339
1340	1340
1341	1341
1342	1342
1343	1343
1344	1344
1345	1345
Dr. Dre	Dr. Dre
1346	1346
1347	1347
1348	1348
1349	1349
Jessica Ennis	Jessica Ennis
1350	1350
Tì	Thé
Marco Polo	Marco Polo
1351	1351
Hebe Camargo	Hebe Camargo
1400	1400
1401	1401
1352	1352
1402	1402
1353	1353
1403	1403
1354	1354
Gràineag	Erinaceinae
1404	1404
1355	1355
1405	1405
1500	1500
1406	1406
1356	1356
1501	1501
1407	1407
1357	1357
1502	1502
1408	1408
1358	1358
1503	1503
1359	1359
1409	1409
1504	1504
1360	1360
1410	1410
1505	1505
1506	1506
1411	1411
1361	1361
1507	1507
1412	1412
1362	1362
1413	1413
1508	1508
1363	1363
1509	1509
1414	1414
1510	1510
1415	1415
1364	1364
Co-mhaoineas	Communisme
1511	1511
1416	1416
1365	1365
1512	1512
1417	1417
1366	1366
Ain-Riaghailteachd	Anarchisme
1513	1513
1418	1418
1367	1367
1514	1514
1419	1419
Calpachas	Capitalisme
1368	1368
1515	1515
1420	1420
1369	1369
1516	1516
1421	1421
Libearalas	Libéralisme
1370	1370
Faisisteachas	Fascisme
Sathara an Iar	Sahara occidental
1371	1371
Dùthaich	Pays
1372	1372
1373	1373
1422	1422
1517	1517
Nàisean	Nation
1423	1423
1518	1518
1374	1374
1424	1424
1375	1375
1519	1519
1376	1376
1425	1425
1520	1520
1521	1521
1377	1377
1426	1426
1522	1522
1523	1523
1427	1427
1378	1378
1524	1524
1525	1525
1428	1428
1379	1379
1526	1526
1429	1429
1380	1380
1381	1381
1382	1382
1383	1383
1430	1430
1431	1431
Indianapolis, Indiana	Indianapolis
1384	1384
1432	1432
1385	1385
1386	1386
1433	1433
1387	1387
1434	1434
1435	1435
1388	1388
Brabhsair-lìn	Navigateur web
1436	1436
1389	1389
1437	1437
1390	1390
1438	1438
1391	1391
1439	1439
1392	1392
1440	1440
1393	1393
1394	1394
1395	1395
1441	1441
1396	1396
1397	1397
1442	1442
1527	1527
1528	1528
1398	1398
1443	1443
1444	1444
1529	1529
1399	1399
1445	1445
1530	1530
1446	1446
1531	1531
1447	1447
1532	1532
1448	1448
1533	1533
1449	1449
1534	1534
1450	1450
1535	1535
1451	1451
1536	1536
1452	1452
1537	1537
Département	Département (France)
1453	1453
1538	1538
1454	1454
1539	1539
1455	1455
1540	1540
Roinn-seòrsa:Reul-eòlas	Catégorie:Astronomie
1541	1541
1456	1456
1457	1457
1542	1542
1458	1458
1543	1543
1459	1459
1544	1544
Jean-Jacques Rousseau	Jean-Jacques Rousseau
1460	1460
1545	1545
1461	1461
1546	1546
Günter Grass	Günter Grass
1462	1462
1547	1547
1463	1463
1548	1548
1464	1464
1549	1549
1465	1465
1550	1550
Belluno	Belluno
1466	1466
1551	1551
1467	1467
1468	1468
1552	1552
1469	1469
1553	1553
1470	1470
1554	1554
Hamstair	Hamster
1471	1471
1555	1555
Carcassonne	Carcassonne
Fàsach Sahara	Sahara
1472	1472
1556	1556
Spekulatius	Spéculoos
Gwened	Vannes
1473	1473
1557	1557
1474	1474
1558	1558
1475	1475
1559	1559
1476	1476
1560	1560
1477	1477
1478	1478
1561	1561
1479	1479
1562	1562
1480	1480
1563	1563
1481	1481
1564	1564
1482	1482
1565	1565
Co-ghnèitheachd	Homosexualité
1483	1483
1566	1566
1484	1484
1567	1567
1485	1485
1486	1486
1568	1568
1487	1487
1569	1569
Croatais	Croate
1570	1570
Cesena	Cesena
1489	1489
1571	1571
1490	1490
1572	1572
1491	1491
1573	1573
1492	1492
1574	1574
1493	1493
1575	1575
Homer	Homère
1494	1494
1495	1495
1496	1496
1576	1576
1497	1497
1577	1577
1498	1498
1578	1578
1499	1499
1579	1579
1580	1580
1581	1581
1582	1582
1600	1600
1601	1601
1583	1583
1602	1602
1584	1584
1603	1603
1585	1585
1604	1604
1586	1586
1605	1605
1587	1587
1606	1606
1607	1607
1588	1588
1608	1608
1589	1589
1609	1609
1590	1590
1610	1610
1591	1591
1611	1611
1592	1592
1612	1612
1593	1593
1613	1613
1594	1594
1614	1614
1595	1595
1615	1615
1596	1596
1616	1616
1597	1597
1617	1617
1598	1598
1618	1618
1599	1599
1619	1619
1620	1620
1621	1621
1700	1700
1701	1701
1622	1622
1623	1623
1702	1702
1624	1624
1703	1703
1704	1704
1625	1625
1705	1705
1626	1626
1627	1627
1706	1706
Wittenberg	Wittemberg
1628	1628
1707	1707
1708	1708
1629	1629
1630	1630
1709	1709
1631	1631
1710	1710
1632	1632
1711	1711
1633	1633
1712	1712
1634	1634
1713	1713
1800	1800
1801	1801
1714	1714
1635	1635
1802	1802
1715	1715
1636	1636
1803	1803
1637	1637
1716	1716
1638	1638
1804	1804
1717	1717
1639	1639
1805	1805
1718	1718
1640	1640
1719	1719
1806	1806
1641	1641
1720	1720
1807	1807
1642	1642
1721	1721
1808	1808
1643	1643
1722	1722
1809	1809
1644	1644
1723	1723
1810	1810
1645	1645
1724	1724
20mh Linn	XXe siècle
1811	1811
1646	1646
1725	1725
1812	1812
1647	1647
1726	1726
1813	1813
21mh Linn	XXIe siècle
1648	1648
1727	1727
1814	1814
1649	1649
1728	1728
1815	1815
1650	1650
1729	1729
1816	1816
19mh Linn	XIXe siècle
1651	1651
1730	1730
1817	1817
1652	1652
1731	1731
1818	1818
1653	1653
1732	1732
1819	1819
1654	1654
1733	1733
1820	1820
1655	1655
1821	1821
1734	1734
1656	1656
1822	1822
1735	1735
1657	1657
1823	1823
1736	1736
1658	1658
1737	1737
1824	1824
1659	1659
1738	1738
1825	1825
1660	1660
1739	1739
1826	1826
1661	1661
1740	1740
1827	1827
18mh Linn	XVIIIe siècle
17mh Linn	XVIIe siècle
16mh Linn	XVIe siècle
15mh Linn	XVe siècle
Lugano	Lugano
Catalanais	Catalan
14mh Linn	XIVe siècle
Girona	Gérone
13mh Linn	XIIIe siècle
12na linn	XIIe siècle
11mh Linn	XIe siècle
Neo-dhiadhaireachd	Athéisme
Stendal	Stendal
Eag-eòlas	Écologie
Gintinneachd	Génétique
Poilitigs	Politique
Deamocrasaidh	Démocratie
Naguib Mahfouz	Naguib Mahfouz
Marie Curie	Marie Curie
Duais Nobel	Prix Nobel
Qin Shi Huang	Qin Shi Huang
Girona (provincia)	Province de Gérone
An Ear Mheadhanach	Moyen-Orient
Ban-rìgh Ealasaid I	Élisabeth Ire (reine d'Angleterre)
Rabindranath Tagore	Rabindranath Tagore
Lev Tolstoj	Léon Tolstoï
Aon-adharcach (each)	Licorne
Alan Turing	Alan Turing
Boireann-dhligheachas	Féminisme
Marxachas	Marxisme
Sòisealachd	Socialisme
Ellen Swallow Richards	Ellen Richards
Pàrtaidh phoileatagach	Parti politique
Kilimanjaro	Kilimandjaro
Antonín Dvořák	Antonín Dvořák
Georg Friedrich Händel	Georg Friedrich Haendel
Giacomo Puccini	Giacomo Puccini
Giuseppe Verdi	Giuseppe Verdi
A' Ghearmailt Nàsach	Troisième Reich
Cristoforo Colombo	Christophe Colomb
James Cook	James Cook
Ûrij Gagarin	Youri Gagarine
Vasco da Gama	Vasco de Gama
An Cuan a Deas	Océan Austral
Cluas	Oreille
Sròn	Nez
Sùil	Œil
Òran	Chanson
Caora	Mouton
Cearban (iasg)	Requin
Càmhal	Camelus
Mamal	Mammifère
Ailbhean	Éléphant
Seillean	Abeille
Bathar-bog	Logiciel
Duitsis	Néerlandais
Margaret Thatcher	Margaret Thatcher
Ada Yonath	Ada Yonath
Richard Stallman	Richard Stallman
Dorothy Crowfoot Hodgkin	Dorothy Crowfoot Hodgkin
Irène Joliot-Curie	Irène Joliot-Curie
Deimos	Déimos (lune)
Màthair	Mère
Sneachd	Neige
Athair	Père
Pàrant	Parent (famille)
Pàiste	Enfant
1828	1828
1829	1829
1741	1741
1662	1662
1742	1742
1830	1830
1663	1663
1831	1831
1743	1743
1664	1664
1665	1665
1744	1744
1832	1832
1666	1666
1745	1745
1833	1833
1667	1667
1746	1746
Giùlan	Transport
1834	1834
1668	1668
1747	1747
1835	1835
1748	1748
1836	1836
1669	1669
1670	1670
1749	1749
1837	1837
Wildebeest	Gnou
1671	1671
1750	1750
1838	1838
1672	1672
1751	1751
1839	1839
1673	1673
1752	1752
1840	1840
1674	1674
1753	1753
1841	1841
1754	1754
1675	1675
1842	1842
1755	1755
1676	1676
1843	1843
1677	1677
1756	1756
1844	1844
1678	1678
1757	1757
1845	1845
1679	1679
1758	1758
1846	1846
1680	1680
1759	1759
1847	1847
1681	1681
1760	1760
1848	1848
1682	1682
1761	1761
1849	1849
1683	1683
1762	1762
1850	1850
1684	1684
1763	1763
1851	1851
1764	1764
1685	1685
1852	1852
1686	1686
1765	1765
1853	1853
1687	1687
1766	1766
1854	1854
1688	1688
1767	1767
1855	1855
1689	1689
1768	1768
1856	1856
1690	1690
1769	1769
1857	1857
1691	1691
1770	1770
1858	1858
1692	1692
1771	1771
1859	1859
1693	1693
1772	1772
1860	1860
1773	1773
1861	1861
1694	1694
1695	1695
1774	1774
1862	1862
1696	1696
1775	1775
1863	1863
1697	1697
1776	1776
1864	1864
1698	1698
Uisge-polo	Water-polo
1865	1865
1777	1777
1699	1699
1866	1866
1778	1778
1779	1779
1867	1867
1780	1780
1868	1868
1781	1781
1869	1869
Grazia Deledda	Grazia Deledda
Ruisis	Russe
Louis XV na Frainge	Louis XV
1782	1782
1870	1870
1783	1783
1871	1871
Vladimir Putin	Vladimir Poutine
Lagh	Droit
1784	1784
1872	1872
Anailis mhatamataigeach	Analyse (mathématiques)
Bun-reachd	Constitution
1785	1785
1873	1873
1786	1786
1874	1874
1787	1787
1875	1875
1788	1788
1876	1876
1789	1789
1877	1877
1790	1790
1878	1878
1879	1879
1791	1791
Sakhalin	Sakhaline
Aran	Pain
1792	1792
1880	1880
1793	1793
1881	1881
1794	1794
1882	1882
1795	1795
1883	1883
1796	1796
1884	1884
1797	1797
1885	1885
1886	1886
1798	1798
1887	1887
1799	1799
1888	1888
1889	1889
1890	1890
1891	1891
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Sìonais	Langues chinoises
1899	1899
Fuil	Sang
Toulouse	Toulouse
Sgamhan	Poumon
Analachadh	Appareil respiratoire
Ròmainis	Roumain
Bulgàiris	Bulgare
Uisge-adhair	Pluie
Maoim-sneachda	Avalanche
Blàthachadh na cruinne	Réchauffement climatique
Crith-thalmhainn	Séisme
Zen	Zen
Lluís Companys i Jover	Lluís Companys
Lluís Llach i Grande	Lluís Llach
