Aphrika	Afrique
Katiguriya:243 kñ	Catégorie:243 av. J.-C.
Katiguriya:245 kñ	Catégorie:245 av. J.-C.
Katiguriya:249 kñ	Catégorie:249 av. J.-C.
Katiguriya:251 kñ	Catégorie:251 av. J.-C.
Katiguriya:252 kñ	Catégorie:252 av. J.-C.
Katiguriya:255 kñ	Catégorie:255 av. J.-C.
Katiguriya:258 kñ	Catégorie:258 av. J.-C.
Katiguriya:259 kñ	Catégorie:259 av. J.-C.
Katiguriya:261 kñ	Catégorie:261 av. J.-C.
Katiguriya:263 kñ	Catégorie:263 av. J.-C.
Katiguriya:265 kñ	Catégorie:265 av. J.-C.
Katiguriya:266 kñ	Catégorie:266 av. J.-C.
Katiguriya:Aranway pukllaq (Brasil)	Catégorie:Acteur brésilien
Katiguriya:267 kñ	Catégorie:267 av. J.-C.
Katiguriya:269 kñ	Catégorie:269 av. J.-C.
Katiguriya:270 kñ	Catégorie:270 av. J.-C.
Katiguriya:272 kñ	Catégorie:272 av. J.-C.
Katiguriya:Aranway pukllaq (Awstralya)	Catégorie:Acteur australien
Katiguriya:274 kñ	Catégorie:274 av. J.-C.
Katiguriya:275 kñ	Catégorie:275 av. J.-C.
Katiguriya:278 kñ	Catégorie:278 av. J.-C.
Katiguriya:280 kñ	Catégorie:280 av. J.-C.
Katiguriya:283 kñ	Catégorie:283 av. J.-C.
Katiguriya:Uma kamayuq (Kambuya)	Catégorie:Premier ministre du Cambodge
Katiguriya:285 kñ	Catégorie:285 av. J.-C.
Katiguriya:Uma kamayuq (Nihun)	Catégorie:Premier ministre du Japon
Katiguriya:Uma kamayuq (Butan)	Catégorie:Premier ministre du Bhoutan
Katiguriya:Uma kamayuq (Suwidsuyu)	Catégorie:Premier ministre de Suède
Katiguriya:Uma kamayuq (Ransiya)	Catégorie:Premier ministre de France
Katiguriya:288 kñ	Catégorie:288 av. J.-C.
Katiguriya:Uma kamayuq (Ihiptu)	Catégorie:Premier ministre d'Égypte
Katiguriya:Uma kamayuq (Awstralya)	Catégorie:Premier ministre d'Australie
Katiguriya:Uma kamayuq (Witnam)	Catégorie:Premier ministre du Viêt Nam
Katiguriya:Uma kamayuq (Rumanya)	Catégorie:Chef du gouvernement de la Roumanie
Katiguriya:Uma kamayuq (Thaysuyu)	Catégorie:Premier ministre de Thaïlande
Katiguriya:Uma kamayuq (Bilhika)	Catégorie:Premier ministre de Belgique
Katiguriya:290 kñ	Catégorie:290 av. J.-C.
Katiguriya:Narnia llaqtamanta wiñay willaykuykuna	Catégorie:Narnia
Katiguriya:292 kñ	Catégorie:292 av. J.-C.
Katiguriya:295 kñ	Catégorie:295 av. J.-C.
Katiguriya:296 kñ	Catégorie:296 av. J.-C.
Katiguriya:298 kñ	Catégorie:298 av. J.-C.
Katiguriya:48 kñ	Catégorie:48 av. J.-C.
Katiguriya:300 kñ	Catégorie:300 av. J.-C.
Katiguriya:46 kñ	Catégorie:46 av. J.-C.
Katiguriya:Nobel suñay	Catégorie:Prix Nobel
Katiguriya:43 kñ	Catégorie:43 av. J.-C.
Katiguriya:34 kñ	Catégorie:34 av. J.-C.
Katiguriya:Wañusqa 1 ñiqin pachakwatapi	Catégorie:Décès au Ier siècle
Katiguriya:Wañusqa 2 ñiqin pachakwatapi	Catégorie:Décès au IIe siècle
Katiguriya:Paqarisqa 2 ñiqin pachakwatapi kñ	Catégorie:Naissance au IIe siècle av. J.-C.
Katiguriya:Wañusqa 3 ñiqin pachakwatapi	Catégorie:Décès au IIIe siècle
Katiguriya:Paqarisqa 3 ñiqin pachakwatapi kñ	Catégorie:Naissance au IIIe siècle av. J.-C.
Katiguriya:Wañusqa 4 ñiqin pachakwatapi	Catégorie:Décès au IVe siècle
Katiguriya:Wañusqa 4 ñiqin pachakwatapi kñ	Catégorie:Décès au IVe siècle av. J.-C.
Katiguriya:5 ñiqin pachakwata kñ	Catégorie:Ve siècle av. J.-C.
Katiguriya:32 kñ	Catégorie:32 av. J.-C.
Katiguriya:Wañusqa 5 ñiqin pachakwatapi kñ	Catégorie:Décès au Ve siècle av. J.-C.
Katiguriya:6 ñiqin pachakwata kñ	Catégorie:VIe siècle av. J.-C.
Katiguriya:Wañusqa 6 ñiqin pachakwatapi kñ	Catégorie:Décès au VIe siècle av. J.-C.
Katiguriya:7 ñiqin pachakwata kñ	Catégorie:VIIe siècle av. J.-C.
Katiguriya:Wañusqa 7 ñiqin pachakwatapi kñ	Catégorie:Décès au VIIe siècle av. J.-C.
Katiguriya:Wañusqa 8 ñiqin pachakwatapi kñ	Catégorie:Décès au VIIIe siècle av. J.-C.
Katiguriya:Wañusqa 9 ñiqin pachakwatapi	Catégorie:Décès au IXe siècle
Katiguriya:Wañusqa 9 ñiqin pachakwatapi kñ	Catégorie:Décès au IXe siècle av. J.-C.
Katiguriya:10 ñiqin pachakwata kñ	Catégorie:Xe siècle av. J.-C.
Katiguriya:12 ñiqin pachakwata kñ	Catégorie:XIIe siècle av. J.-C.
Katiguriya:Wañusqa 12 ñiqin pachakwatapi kñ	Catégorie:Décès au XIIe siècle av. J.-C.
Katiguriya:13 ñiqin pachakwata kñ	Catégorie:XIIIe siècle av. J.-C.
Katiguriya:Wañusqa 13 ñiqin pachakwatapi kñ	Catégorie:Décès au XIIIe siècle av. J.-C.
Katiguriya:Paqarisqa 14 ñiqin pachakwatapi kñ	Catégorie:Naissance au XIVe siècle av. J.-C.
Katiguriya:15 ñiqin pachakwata	Catégorie:XVe siècle
Katiguriya:15 ñiqin pachakwata kñ	Catégorie:XVe siècle av. J.-C.
Katiguriya:Wañusqa 16 ñiqin pachakwatapi	Catégorie:Décès au XVIe siècle
Katiguriya:Wañusqa 17 ñiqin pachakwatapi	Catégorie:Décès au XVIIe siècle
Katiguriya:Wañusqa 18 ñiqin pachakwatapi	Catégorie:Décès au XVIIIe siècle
Katiguriya:Wañusqa 19 ñiqin pachakwatapi	Catégorie:Décès au XIXe siècle
Katiguriya:31 kñ	Catégorie:31 av. J.-C.
Katiguriya:Wañusqa 20 ñiqin pachakwatapi	Catégorie:Décès au XXe siècle
Katiguriya:Wañusqa 21 ñiqin pachakwatapi	Catégorie:Décès au XXIe siècle
Katiguriya:Piluta hayt'ay (Mama llaqta)	Catégorie:Football par pays
Katiguriya:299 kñ	Catégorie:299 av. J.-C.
Katiguriya:Wiñay kawsay (Buliwya)	Catégorie:Histoire de la Bolivie
Katiguriya:297 kñ	Catégorie:297 av. J.-C.
Katiguriya:294 kñ	Catégorie:294 av. J.-C.
Katiguriya:Wiñay kawsay (Kulumbya)	Catégorie:Histoire de la Colombie
Katiguriya:Wiñay kawsay (Parawayi)	Catégorie:Histoire du Paraguay
Katiguriya:291 kñ	Catégorie:291 av. J.-C.
Katiguriya:286 kñ	Catégorie:286 av. J.-C.
Katiguriya:284 kñ	Catégorie:284 av. J.-C.
Katiguriya:282 kñ	Catégorie:282 av. J.-C.
Katiguriya:281 kñ	Catégorie:281 av. J.-C.
Katiguriya:28 kñ	Catégorie:28 av. J.-C.
Katiguriya:Kurku kallpanchay (Gana)	Catégorie:Sport au Ghana
Katiguriya:276 kñ	Catégorie:276 av. J.-C.
Katiguriya:Kurku kallpanchay (Brasil)	Catégorie:Sport au Brésil
Katiguriya:273 kñ	Catégorie:273 av. J.-C.
Katiguriya:271 kñ	Catégorie:271 av. J.-C.
Katiguriya:27 kñ	Catégorie:27 av. J.-C.
Katiguriya:268 kñ	Catégorie:268 av. J.-C.
Katiguriya:264 kñ	Catégorie:264 av. J.-C.
Katiguriya:Piluta hayt'ay (Mishiku)	Catégorie:Football au Mexique
Katiguriya:260 kñ	Catégorie:260 av. J.-C.
Katiguriya:257 kñ	Catégorie:257 av. J.-C.
Katiguriya:Allpamanta yachaykuna (Urasuyu)	Catégorie:Géographie des Pays-Bas
Katiguriya:256 kñ	Catégorie:256 av. J.-C.
Katiguriya:Allpamanta yachaykuna (Mishiku)	Catégorie:Géographie du Mexique
Katiguriya:253 kñ	Catégorie:253 av. J.-C.
Katiguriya:Allpamanta yachaykuna (Bulgarya)	Catégorie:Géographie de la Bulgarie
Katiguriya:250 kñ	Catégorie:250 av. J.-C.
Katiguriya:Allpamanta yachaykuna (Awstiriya)	Catégorie:Géographie de l'Autriche
Katiguriya:247 kñ	Catégorie:247 av. J.-C.
Katiguriya:246 kñ	Catégorie:246 av. J.-C.
Katiguriya:Allpamanta yachaykuna (Ransiya)	Catégorie:Géographie de la France
Katiguriya:244 kñ	Catégorie:244 av. J.-C.
Katiguriya:242 kñ	Catégorie:242 av. J.-C.
Katiguriya:238 kñ	Catégorie:238 av. J.-C.
Katiguriya:236 kñ	Catégorie:236 av. J.-C.
Katiguriya:Mayu (Liechtenstein)	Catégorie:Cours d'eau du Liechtenstein
Katiguriya:235 kñ	Catégorie:235 av. J.-C.
Katiguriya:Mayu (Suwisa)	Catégorie:Cours d'eau de Suisse
Katiguriya:232 kñ	Catégorie:232 av. J.-C.
Katiguriya:Mayu (Awstiriya)	Catégorie:Cours d'eau d'Autriche
Katiguriya:Mayu (Chili)	Catégorie:Cours d'eau du Chili
Katiguriya:Kartulsuyu	Catégorie:Géorgie
Katiguriya:Mayu (Kulumbya)	Catégorie:Cours d'eau de Colombie
Katiguriya:228 kñ	Catégorie:228 av. J.-C.
Katiguriya:224 kñ	Catégorie:224 av. J.-C.
Katiguriya:Kambuya	Catégorie:Cambodge
Katiguriya:222 kñ	Catégorie:222 av. J.-C.
Katiguriya:220 kñ	Catégorie:220 av. J.-C.
Katiguriya:22 kñ	Catégorie:22 av. J.-C.
Katiguriya:218 kñ	Catégorie:218 av. J.-C.
Katiguriya:216 kñ	Catégorie:216 av. J.-C.
Katiguriya:Pulitika rakiy (Hukllachasqa Amirika Suyukuna)	Catégorie:Subdivision des États-Unis
Katiguriya:Pulitika rakiy (Inlatirra)	Catégorie:Subdivision de l'Angleterre
Katiguriya:Pulitika rakiy (Chili)	Catégorie:Subdivision du Chili
Katiguriya:Pulitika rakiy (Unriya)	Catégorie:Subdivision de la Hongrie
Katiguriya:204 kñ	Catégorie:204 av. J.-C.
Katiguriya:Chunwayuq	Catégorie:Personnalité chinoise
Katiguriya:Kustarikaniyuq	Catégorie:Personnalité costaricienne
Katiguriya:Takiq (Hukllachasqa Amirika Suyukuna)	Catégorie:Chanteur américain
Katiguriya:Aranway pukllaq (Arhintina)	Catégorie:Acteur argentin
Katiguriya:198 kñ	Catégorie:198 av. J.-C.
Katiguriya:Kurku kallpanchaq (Gana)	Catégorie:Sportif ghanéen
Katiguriya:Takichaq (Arhintina)	Catégorie:Compositeur argentin
Katiguriya:Pulitiku (Wayana)	Catégorie:Personnalité politique guyanienne
Katiguriya:Pulitiku (Grinada)	Catégorie:Personnalité politique grenadienne
Katiguriya:Pulitiku (Urasuyu)	Catégorie:Personnalité politique néerlandaise
Katiguriya:Pulitiku (Nikarawa)	Catégorie:Personnalité politique nicaraguayenne
Katiguriya:Pulitiku (Libirya)	Catégorie:Personnalité politique libérienne
Katiguriya:Pulitiku (Lituwa)	Catégorie:Personnalité politique lituanienne
Katiguriya:Pulitiku (Makidunya)	Catégorie:Personnalité politique macédonienne
Katiguriya:Pulitiku (Muritanya)	Catégorie:Personnalité politique mauritanienne
Katiguriya:Pulitiku (Witnam)	Catégorie:Personnalité politique vietnamienne
Katiguriya:Pulitiku (Busna-Hirsiquwina)	Catégorie:Personnalité politique bosnienne
Katiguriya:Pulitiku (Buliwya)	Catégorie:Personnalité politique bolivienne
Katiguriya:Pulitiku (Bulgarya)	Catégorie:Personnalité politique bulgare
Katiguriya:Pulitiku (Sudan)	Catégorie:Personnalité politique soudanaise
Katiguriya:Pulitiku (Swasisuyu)	Catégorie:Personnalité politique swazilandaise
Katiguriya:Pulitiku (Isluwakya)	Catégorie:Personnalité politique slovaque
Katiguriya:Pulitiku (Afgansuyu)	Catégorie:Personnalité politique afghane
Katiguriya:Pulitiku (Angola)	Catégorie:Personnalité politique angolaise
Katiguriya:Pulitiku (Uganda)	Catégorie:Personnalité politique ougandaise
Katiguriya:Pulitiku (Ukranya)	Catégorie:Personnalité politique ukrainienne
Katiguriya:Pulitiku (Sambya)	Catégorie:Personnalité politique zambienne
Katiguriya:Pulitiku (Chawpi Aphrika Republika)	Catégorie:Personnalité politique centrafricaine
Katiguriya:Pulitiku (Simbabwi)	Catégorie:Personnalité politique zimbabwéenne
Katiguriya:Pulitiku (Kulumbya)	Catégorie:Personnalité politique colombienne
Katiguriya:191 kñ	Catégorie:191 av. J.-C.
Katiguriya:Pulitiku (Turkiya)	Catégorie:Personnalité politique turque
Katiguriya:Pulitiku (Pakistan)	Catégorie:Personnalité politique pakistanaise
Katiguriya:Piluta hayt'aq (Gana)	Catégorie:Footballeur ghanéen
Katiguriya:1420	Catégorie:1420
Katiguriya:1702	Catégorie:1702
Katiguriya:1727	Catégorie:1727
Katiguriya:1735	Catégorie:1735
Katiguriya:1737	Catégorie:1737
Katiguriya:1744	Catégorie:1744
Katiguriya:1808	Catégorie:1808
Katiguriya:1824	Catégorie:1824
Katiguriya:1826	Catégorie:1826
Katiguriya:1831	Catégorie:1831
Katiguriya:Wañusqa 1835	Catégorie:Décès en 1835
Katiguriya:Wañusqa 1868	Catégorie:Décès en 1868
Katiguriya:Wañusqa 1874	Catégorie:Décès en 1874
Katiguriya:Wañusqa 1888	Catégorie:Décès en 1888
Katiguriya:Wañusqa 1929	Catégorie:Décès en 1929
Katiguriya:Wañusqa 1933	Catégorie:Décès en 1933
Katiguriya:Wañusqa 1961	Catégorie:Décès en 1961
Katiguriya:1968	Catégorie:1968
Katiguriya:Wiñay kawsay (Hukllachasqa Qhapaq Suyu)	Catégorie:Histoire du Royaume-Uni
Katiguriya:Kurku kallpanchay (Inlatirra)	Catégorie:Sport en Angleterre
Katiguriya:Kurku kallpanchay (Kuba)	Catégorie:Sport à Cuba
Katiguriya:Allpamanta yachaykuna (Hukllachasqa Amirika Suyukuna)	Catégorie:Géographie des États-Unis
Katiguriya:Allpamanta yachaykuna (Suwisa)	Catégorie:Géographie de la Suisse
Katiguriya:Allpamanta yachaykuna (Purtugal)	Catégorie:Géographie du Portugal
Katiguriya:Mayu (Bulgarya)	Catégorie:Cours d'eau de Bulgarie
Katiguriya:Umalliq (Sirbya)	Catégorie:Président de Serbie
Katiguriya:Takiq (Turkiya)	Catégorie:Chanteur turc
Katiguriya:Mayu (Ikwadur)	Catégorie:Cours d'eau d'Équateur
Katiguriya:Shamayka	Catégorie:Jamaïque
Katiguriya:Takiq (Mishiku)	Catégorie:Chanteur mexicain
Katiguriya:Qhapaq (Kastilla)	Catégorie:Roi de Castille
Katiguriya:Willay kamayuqkuna	Catégorie:Journaliste
Katiguriya:Umalliq (Kinya)	Catégorie:Président du Kenya
Katiguriya:Qillqaq (Bulgarya)	Catégorie:Écrivain bulgare
Katiguriya:Qillqaq (Arhintina)	Catégorie:Écrivain argentin
Katiguriya:Qillqaq (Kulumbya)	Catégorie:Écrivain colombien
Katiguriya:Takichaq (Ispaña)	Catégorie:Compositeur espagnol
Katiguriya:Pulitiku (Kalalit Nunat)	Catégorie:Personnalité politique du Groenland
Katiguriya:Pulitiku (Madagaskar)	Catégorie:Personnalité politique malgache
Katiguriya:Pulitiku (Brasil)	Catégorie:Personnalité politique brésilienne
Katiguriya:Pulitiku (Sirbya)	Catégorie:Personnalité politique serbe
Katiguriya:Pulitiku (Suwidsuyu)	Catégorie:Personnalité politique suédoise
Katiguriya:Pulitiku (Arhintina)	Catégorie:Personnalité politique argentine
Katiguriya:Pulitiku (Albanya)	Catégorie:Personnalité politique albanaise
Katiguriya:Pulitiku (Istunya)	Catégorie:Personnalité politique estonienne
Katiguriya:Pulitiku (Usbiksuyu)	Catégorie:Personnalité politique ouzbèke
Katiguriya:Pulitiku (Indunisya)	Catégorie:Personnalité politique indonésienne
Katiguriya:Pulitiku (Chunwa Runallaqta Republika)	Catégorie:Personnalité politique de la République populaire de Chine
Katiguriya:Pulitiku (Chiksuyu)	Catégorie:Personnalité politique tchèque
Katiguriya:Pulitiku (Kambuya)	Catégorie:Personnalité politique cambodgienne
Katiguriya:Pulitiku (Kustarika)	Catégorie:Personnalité politique costaricienne
Katiguriya:Piluta hayt'aq (Grisya)	Catégorie:Footballeur grec
Katiguriya:Piluta hayt'aq (Israyil)	Catégorie:Footballeur israélien
Katiguriya:Piluta hayt'aq (Kamirun)	Catégorie:Footballeur camerounais
Katiguriya:1746	Catégorie:1746
Katiguriya:1785	Catégorie:1785
Katiguriya:1817	Catégorie:1817
Katiguriya:1898	Catégorie:1898
Katiguriya:1998	Catégorie:1998
Katiguriya:25 kñ	Catégorie:25 av. J.-C.
Katiguriya:76 kñ	Catégorie:76 av. J.-C.
Katiguriya:110 kñ	Catégorie:110 av. J.-C.
Katiguriya:119 kñ	Catégorie:119 av. J.-C.
Katiguriya:122 kñ	Catégorie:122 av. J.-C.
Katiguriya:124 kñ	Catégorie:124 av. J.-C.
Katiguriya:127 kñ	Catégorie:127 av. J.-C.
Katiguriya:139 kñ	Catégorie:139 av. J.-C.
Katiguriya:145 kñ	Catégorie:145 av. J.-C.
Katiguriya:148 kñ	Catégorie:148 av. J.-C.
Katiguriya:150 kñ	Catégorie:150 av. J.-C.
Katiguriya:151 kñ	Catégorie:151 av. J.-C.
Katiguriya:154 kñ	Catégorie:154 av. J.-C.
Katiguriya:158 kñ	Catégorie:158 av. J.-C.
Katiguriya:160 kñ	Catégorie:160 av. J.-C.
Katiguriya:163 kñ	Catégorie:163 av. J.-C.
Katiguriya:164 kñ	Catégorie:164 av. J.-C.
Katiguriya:165 kñ	Catégorie:165 av. J.-C.
Katiguriya:170 kñ	Catégorie:170 av. J.-C.
Katiguriya:171 kñ	Catégorie:171 av. J.-C.
Katiguriya:174 kñ	Catégorie:174 av. J.-C.
Katiguriya:177 kñ	Catégorie:177 av. J.-C.
Katiguriya:179 kñ	Catégorie:179 av. J.-C.
Katiguriya:181 kñ	Catégorie:181 av. J.-C.
Katiguriya:185 kñ	Catégorie:185 av. J.-C.
Katiguriya:187 kñ	Catégorie:187 av. J.-C.
Katiguriya:201 kñ	Catégorie:201 av. J.-C.
Katiguriya:254 kñ	Catégorie:254 av. J.-C.
Katiguriya:279 kñ	Catégorie:279 av. J.-C.
Katiguriya:Qatar	Catégorie:Qatar
Katiguriya:Kuriya	Catégorie:Corée
Katiguriya:Kuwait	Catégorie:Koweït
Katiguriya:Myanmar	Catégorie:Birmanie
Katiguriya:Nepal	Catégorie:Népal
Katiguriya:Wañusqa 1 ñiqin pachakwatapi kñ	Catégorie:Décès au Ier siècle av. J.-C.
Katiguriya:2 ñiqin pachakwata kñ	Catégorie:IIe siècle av. J.-C.
Katiguriya:3 ñiqin pachakwata kñ	Catégorie:IIIe siècle av. J.-C.
Katiguriya:Paqarisqa 4 ñiqin pachakwatapi kñ	Catégorie:Naissance au IVe siècle av. J.-C.
Katiguriya:Wañusqa 5 ñiqin pachakwatapi	Catégorie:Décès au Ve siècle
Katiguriya:Paqarisqa 5 ñiqin pachakwatapi kñ	Catégorie:Naissance au Ve siècle av. J.-C.
Katiguriya:Paqarisqa 6 ñiqin pachakwatapi kñ	Catégorie:Naissance au VIe siècle av. J.-C.
Katiguriya:Paqarisqa 7 ñiqin pachakwatapi kñ	Catégorie:Naissance au VIIe siècle av. J.-C.
Katiguriya:Kina yura rikch'aq ayllu	Catégorie:Rubiaceae
Katiguriya:9 ñiqin pachakwata kñ	Catégorie:IXe siècle av. J.-C.
Katiguriya:Wañusqa 10 ñiqin pachakwatapi	Catégorie:Décès au Xe siècle
Katiguriya:11 ñiqin pachakwata kñ	Catégorie:XIe siècle av. J.-C.
Katiguriya:Wañusqa 14 ñiqin pachakwatapi kñ	Catégorie:Décès au XIVe siècle av. J.-C.
Katiguriya:Wañusqa 15 ñiqin pachakwatapi	Catégorie:Décès au XVe siècle
Katiguriya:16 ñiqin pachakwata kñ	Catégorie:XVIe siècle av. J.-C.
Katiguriya:17 ñiqin pachakwata kñ	Catégorie:XVIIe siècle av. J.-C.
Katiguriya:19 ñiqin pachakwata kñ	Catégorie:XIXe siècle av. J.-C.
Katiguriya:Sri Lanka	Catégorie:Sri Lanka
Katiguriya:20 ñiqin pachakwata kñ	Catégorie:XXe siècle av. J.-C.
Katiguriya:22 ñiqin pachakwata kñ	Catégorie:XXIIe siècle av. J.-C.
Katiguriya:Allpamanta yachaykuna (Grisya)	Catégorie:Géographie de la Grèce
Katiguriya:Pulitika rakiy (Ispaña)	Catégorie:Subdivision de l'Espagne
Katiguriya:Tayikistan	Catégorie:Tadjikistan
Katiguriya:Taywan	Catégorie:Taïwan
Katiguriya:Intichay Timur	Catégorie:Timor oriental
Katiguriya:Ikwaduryanu	Catégorie:Personnalité équatorienne
Katiguriya:Turkministan	Catégorie:Turkménistan
Katiguriya:Hampikamayuq	Catégorie:Médecin
Katiguriya:Awqaq pusaq (Piruw)	Catégorie:Militaire péruvien
Katiguriya:Pulitiku (Nurwiga)	Catégorie:Personnalité politique norvégienne
Katiguriya:Pulitiku (Yanaurqu)	Catégorie:Personnalité politique monténégrine
Katiguriya:Pulitiku (Bilarus)	Catégorie:Personnalité politique biélorusse
Katiguriya:Pulitiku (Awstiriya)	Catégorie:Personnalité politique autrichienne
Katiguriya:Pulitiku (Kirkisuyu)	Catégorie:Personnalité politique kirghize
Katiguriya:Piluta hayt'aq (Mishiku)	Catégorie:Footballeur mexicain
Katiguriya:Piluta hayt'aq (Istunya)	Catégorie:Footballeur estonien
Katiguriya:Wañusqa 1795	Catégorie:Décès en 1795
Katiguriya:1855	Catégorie:1855
Katiguriya:2003	Catégorie:2003
Katiguriya:107 kñ	Catégorie:107 av. J.-C.
Katiguriya:112 kñ	Catégorie:112 av. J.-C.
Katiguriya:114 kñ	Catégorie:114 av. J.-C.
Katiguriya:143 kñ	Catégorie:143 av. J.-C.
Katiguriya:182 kñ	Catégorie:182 av. J.-C.
Katiguriya:Wañusqa 2 ñiqin pachakwatapi kñ	Catégorie:Décès au IIe siècle av. J.-C.
Katiguriya:Wañusqa 3 ñiqin pachakwatapi kñ	Catégorie:Décès au IIIe siècle av. J.-C.
Katiguriya:Wañusqa 6 ñiqin pachakwatapi	Catégorie:Décès au VIe siècle
Katiguriya:Wañusqa 7 ñiqin pachakwatapi	Catégorie:Décès au VIIe siècle
Katiguriya:8 ñiqin pachakwata kñ	Catégorie:VIIIe siècle av. J.-C.
Katiguriya:9 ñiqin pachakwata	Catégorie:IXe siècle
Katiguriya:Wañusqa 11 ñiqin pachakwatapi kñ	Catégorie:Décès au XIe siècle av. J.-C.
Katiguriya:Wañusqa 14 ñiqin pachakwatapi	Catégorie:Décès au XIVe siècle
Katiguriya:18 ñiqin pachakwata kñ	Catégorie:XVIIIe siècle av. J.-C.
Katiguriya:21 ñiqin pachakwata kñ	Catégorie:XXIe siècle av. J.-C.
Katiguriya:Allpamanta yachaykuna (Arhintina)	Catégorie:Géographie de l'Argentine
Katiguriya:Ispañayuq	Catégorie:Personnalité espagnole
Katiguriya:Pulitiku (Iraq)	Catégorie:Personnalité politique irakienne
Katiguriya:Llimphiq (Ispaña)	Catégorie:Peintre espagnol
Katiguriya:1971	Catégorie:1971
Katiguriya:116 kñ	Catégorie:116 av. J.-C.
Katiguriya:129 kñ	Catégorie:129 av. J.-C.
Katiguriya:134 kñ	Catégorie:134 av. J.-C.
Katiguriya:262 kñ	Catégorie:262 av. J.-C.
Katiguriya:293 kñ	Catégorie:293 av. J.-C.
Katiguriya:Paqarisqa 8 ñiqin pachakwatapi kñ	Catégorie:Naissance au VIIIe siècle av. J.-C.
Katiguriya:Wañusqa 13 ñiqin pachakwatapi	Catégorie:Décès au XIIIe siècle
Katiguriya:Wañusqa 18 ñiqin pachakwatapi kñ	Catégorie:Décès au XVIIIe siècle av. J.-C.
Katiguriya:1 ñiqin pachakwata kñ	Catégorie:Ier siècle av. J.-C.
Katiguriya:Qillqaq (Afgansuyu)	Catégorie:Écrivain afghan
Katiguriya:Qillqaq (Buliwya)	Catégorie:Écrivain bolivien
Katiguriya:Kamri	Catégorie:Pays de Galles
Katiguriya:Isanka rump'u (Hukllachasqa Amirika Suyukuna)	Catégorie:Basket-ball aux États-Unis
Katiguriya:Qucha (Aphrika)	Catégorie:Lac d'Afrique
Katiguriya:Piluta hayt'aq (PSV Eindhoven)	Catégorie:Joueur du PSV Eindhoven
Katiguriya:Piluta hayt'aq (Alianza Lima)	Catégorie:Joueur de l'Alianza Lima
Katiguriya:Piluta hayt'aq (AFC Ajax)	Catégorie:Joueur de l'Ajax Amsterdam
Katiguriya:Piluta hayt'aq (Universitario de Deportes)	Catégorie:Joueur de l'Universitario de Deportes
Katiguriya:Piluta hayt'aq (Borussia Dortmund)	Catégorie:Joueur du Borussia Dortmund
Katiguriya:1010	Catégorie:1010
Katiguriya:Piluta hayt'aq (CA Peñarol)	Catégorie:Joueur du Club Atlético Peñarol
Katiguriya:Piluta hayt'aq (Santos FC)	Catégorie:Joueur du Santos FC
Katiguriya:Piluta hayt'aq (São Paulo FC)	Catégorie:Joueur du São Paulo Futebol Clube
Katiguriya:Piluta hayt'aq (Sporting CP)	Catégorie:Joueur du Sporting Clube de Portugal
Katiguriya:Piluta hayt'aq (CR Vasco da Gama)	Catégorie:Joueur du Club de Regatas Vasco da Gama
Katiguriya:Piluta hayt'aq (Fluminense FC)	Catégorie:Joueur du Fluminense Football Club
Katiguriya:Piluta hayt'aq (Cruzeiro EC)	Catégorie:Joueur du Cruzeiro Esporte Clube
Katiguriya:Umalliq (Gana)	Catégorie:Président de la République du Ghana
Katiguriya:Umalliq (Turkiya)	Catégorie:Président de la Turquie
Katiguriya:Umalliq (Kuba)	Catégorie:Président de Cuba
Katiguriya:Umalliq (Phinsuyu)	Catégorie:Président de la Finlande
Katiguriya:Umalliq (Ransiya)	Catégorie:Président de la République française
Katiguriya:Umalliq (Myanmar)	Catégorie:Président de Birmanie
Katiguriya:Umalliq (Piruw)	Catégorie:Président du Pérou
Katiguriya:Umalliq (Ikwadur)	Catégorie:Président d'Équateur
Katiguriya:Umalliq (Hukllachasqa Amirika Suyukuna)	Catégorie:Président des États-Unis
Katiguriya:Umalliq (Iran)	Catégorie:Président d'Iran
Katiguriya:Wiñay kawsay (Iwrupa)	Catégorie:Histoire de l'Europe
Katiguriya:Wiñay kawsay (Asya)	Catégorie:Histoire de l'Asie
Katiguriya:Kiribati	Catégorie:Kiribati
Katiguriya:San Marino	Catégorie:Saint-Marin
Katiguriya:Kustarika	Catégorie:Costa Rica
Katiguriya:Surinam	Catégorie:Suriname
Katiguriya:Nikarawa	Catégorie:Nicaragua
Katiguriya:Busna-Hirsiquwina	Catégorie:Bosnie-Herzégovine
Katiguriya:Nurwiga	Catégorie:Norvège
Katiguriya:Panama	Catégorie:Panama
Katiguriya:Parawayi	Catégorie:Paraguay
Katiguriya:Papwa Ñukini	Catégorie:Papouasie-Nouvelle-Guinée
Katiguriya:Liechtenstein	Catégorie:Liechtenstein
Katiguriya:Llaqta (Sirya)	Catégorie:Ville de Syrie
Katiguriya:Unduras	Catégorie:Honduras
Katiguriya:Uruwayi	Catégorie:Uruguay
Katiguriya:Sirbya	Catégorie:Serbie
Katiguriya:Bilisi	Catégorie:Belize
Katiguriya:El Salvador	Catégorie:Salvador
Katiguriya:Ayti mama llaqta	Catégorie:Haïti
Katiguriya:Ikwadur	Catégorie:Équateur
Katiguriya:Yaman	Catégorie:Yémen
Katiguriya:Piruw	Catégorie:Pérou
Katiguriya:Buliwya	Catégorie:Bolivie
Katiguriya:Albanya	Catégorie:Albanie
Katiguriya:Mama llaqta (Usiyanya)	Catégorie:Pays d'Océanie
