אפריקע	Afrique
קאַטעגאָריע:20סטער י"ה	Catégorie:XXe siècle
מוסטער:IPA	Modèle:Prononciation API
מוסטער:באן ליניע אפט2	Modèle:BS2
קאַטעגאָריע:פאליטיקער	Catégorie:Personnalité politique
מוסטער:יתום	Modèle:Orphelin
קאַטעגאָריע:פלאנעטן פון דער זון סיסטעם	Catégorie:Planète du système solaire
קאַטעגאָריע:אמעריקע	Catégorie:Amérique
מוסטער:אנדערע באדייטן	Modèle:Voir homonymes
קאַטעגאָריע:געווירצן	Catégorie:Épice
מלאכי	Malachie
קאַטעגאָריע:זיכערהייט	Catégorie:Sécurité
קאַטעגאָריע:פעלקער	Catégorie:Personnalité par nationalité
קאַטעגאָריע:פאלעסטינע	Catégorie:Palestine
קאַטעגאָריע:איבערזעצער	Catégorie:Traducteur
מוסטער:פרעזידענטן פון די פאראייניגטע שטאטן	Modèle:Palette Président des États-Unis
קאַטעגאָריע:באנוצער שפראך מוסטערן	Catégorie:Langue pour les boîtes utilisateurs
קאַטעגאָריע:נביאים	Catégorie:Prophète
קאַטעגאָריע:וואשינגטאן	Catégorie:Washington (État)
מוסטער:Rellink	Modèle:Rellink
מוסטער:הויפטשטעט אין אפריקע	Modèle:Palette Capitales d'Afrique
קאַטעגאָריע:מאס	Catégorie:Unité de mesure
מוסטער:MONTHNAME	Modèle:MONTHNAME
מוסטער:קאטעגאריע אריבערפירן	Modèle:Catégorie redirigée
קאַטעגאָריע:ביאגראפיע שטומף	Catégorie:Wikipédia:ébauche personne
קאַטעגאָריע:תנ"ך	Catégorie:Tanakh
קאַטעגאָריע:יידן	Catégorie:Juifs
קאַטעגאָריע:19טער י"ה	Catégorie:XIXe siècle
קאַטעגאָריע:שרייבער	Catégorie:Écrivain
קאַטעגאָריע:מיליטער	Catégorie:Armée
קאַטעגאָריע:פילאנטראפן	Catégorie:Philanthrope
קאַטעגאָריע:אוניווערסיטעטן	Catégorie:Université
מוסטער:שפראך-cs	Modèle:Lang-cs
מוסטער:דייטשע לענדער	Modèle:Palette Länder d'Allemagne
מוסטער:שפראך-he	Modèle:Lang-he
טעאריע פון משמעותדיקייט	Théorie des probabilités
קאַטעגאָריע:יאנואר	Catégorie:Janvier
מוסטער:שפראך-fa	Modèle:Lang-fa
מוסטער:User pl	Modèle:Utilisateur pl
מוסטער:User nl	Modèle:Utilisateur nl
קאַטעגאָריע:שפיאנאזש אגענטורן	Catégorie:Service de renseignement
מוסטער:בילד קלעבל סוף	Modèle:Image label fin
מוסטער:גאנצע צאל	Modèle:Infobox Nombre
מוסטער:קערפער סיסטעמען	Modèle:Palette Systèmes d'organes
מוסטער:ביאלאגיע פיסל	Modèle:Palette Branches de la biologie
מוסטער:אינפאקעסטל באן סטאנציע	Modèle:Infobox Gare
קאַטעגאָריע:מאלעריי	Catégorie:Peinture
מוסטער:שפראך-de	Modèle:Lang-de
קאַטעגאָריע:פארטן	Catégorie:Port
קאַטעגאָריע:קענסערס	Catégorie:Cancer solide
קאַטעגאָריע:געפילן	Catégorie:Émotion
קאַטעגאָריע:קאסמאלאגיע	Catégorie:Cosmologie
קאַטעגאָריע:פרעזידענטן פון לענדער	Catégorie:Chef d'État par pays
קאַטעגאָריע:וואקאבולאר	Catégorie:Lexique
קאַטעגאָריע:קערפער פון וואסער	Catégorie:Étendue d'eau
װיקיפּעדיע:איבערקוקן	Wikipédia:Atelier de lecture
טורקיז (קאליר)	Turquoise (couleur)
אינדעך	Indigo
קאַטעגאָריע:פירמעס	Catégorie:Entreprise
קאַטעגאָריע:מידות	Catégorie:Éthique
מוסטער:User pl-1	Modèle:Utilisateur pl-1
מוסטער:בילד קלעבל קליין	Modèle:Image label small
קאַטעגאָריע:צלם-בלומיקע	Catégorie:Brassicaceae
מוסטער:User fr-3	Modèle:Utilisateur fr-3
קאַטעגאָריע:אויסדרוקן	Catégorie:Phrase
קאַטעגאָריע:שטעט אין יאפאן	Catégorie:Ville du Japon
קאַטעגאָריע:געצייג	Catégorie:Équipement
וואכטל	Caille
מוסטער:קאנטינענט	Modèle:Infobox Continent
מוסטער:User is-1	Modèle:Utilisateur is-1
מוסטער:User ar-2	Modèle:Utilisateur ar-2
מוסטער:User is	Modèle:Utilisateur is
מוסטער:User de-0	Modèle:Utilisateur de-0
מוסטער:User SUL Box	Modèle:Utilisateur Identifiant unique
מוסטער:טעג פון דער וואך	Modèle:Palette Jours de la semaine
קאַטעגאָריע:בלאגס	Catégorie:Blog
קאַטעגאָריע:כעמישע סובסטאנצן	Catégorie:Produit chimique
קאַטעגאָריע:פילמען לויט שפראך	Catégorie:Film par langue
מוסטער:מידות	Modèle:Palette Émotion
קאַטעגאָריע:שטעט אין די פאראייניגטע שטאטן פון אמעריקע	Catégorie:Ville des États-Unis
מוסטער:PDF	Modèle:Pdf
מוסטער:שפראך-ru	Modèle:Lang-ru
קאַטעגאָריע:אוניווערס וויסנשאפט	Catégorie:Science spatiale
קאַטעגאָריע:מוזיק זשאנערס	Catégorie:Musique par genre
קאַטעגאָריע:אימפעריעס	Catégorie:Empire
קאַטעגאָריע:פארט שטעט	Catégorie:Ville portuaire
קאַטעגאָריע:מקומות הקדושים	Catégorie:Lieu sacré
מוסטער:רוימישע נומערן	Modèle:Nombre en romain
קאַטעגאָריע:שטעט אין שװעדן	Catégorie:Ville de Suède
מוסטער:שטאמבוים/אנהייב	Modèle:Arbre généalogique/début
מוסטער:באדייטן	Modèle:Homonymie
קאַטעגאָריע:פלעצער פון תנ"ך	Catégorie:Lieu de la Bible
קאַטעגאָריע:אינפאבאקס מוסטערן	Catégorie:Modèle infobox
קאַטעגאָריע:מעדיצינישע באהאנדלונגען	Catégorie:Traitement médical
מוסטער:User yi	Modèle:Utilisateur yi
מוסטער:User yi-3	Modèle:Utilisateur yi-3
מוסטער:User yi-1	Modèle:Utilisateur yi-1
קאַטעגאָריע:מוסקל סיסטעם	Catégorie:Appareil locomoteur
קאַטעגאָריע:ישובים אין ישראל	Catégorie:Localité d'Israël
קאַטעגאָריע:מיטל מזרח	Catégorie:Moyen-Orient
מוסטער:User yi-2	Modèle:Utilisateur yi-2
װיקיפּעדיע:מיילשטיינער	Modèle:Statistiques des Wikipédias
מוסטער:ווארענונג	Modèle:Test 0
קאַטעגאָריע:צייטונגען	Catégorie:Presse écrite
קאַטעגאָריע:פאליציי	Catégorie:Police
קאַטעגאָריע:נאציזם	Catégorie:Nazisme
קאַטעגאָריע:לאנדאנער באראס	Catégorie:Borough de Londres
מוסטער:פילאסאפיע	Modèle:Palette Philosophie
קאַטעגאָריע:קעז	Catégorie:Fromage
קאַטעגאָריע:זיסווארג	Catégorie:Confiserie
קאַטעגאָריע:מאלצייטן	Catégorie:Repas
קאַטעגאָריע:שטעט אין לבנון	Catégorie:Ville du Liban
מוסטער:שפראך-uk	Modèle:Lang-uk
קאַטעגאָריע:טעאלאגיע	Catégorie:Théologie
קאַטעגאָריע:מאנאטעיזם	Catégorie:Religion monothéiste
קאַטעגאָריע:חיפה	Catégorie:Haïfa
קאַטעגאָריע:קאמפיוטער נעצווערקן	Catégorie:Réseau informatique
קאַטעגאָריע:ארכיטעקטור	Catégorie:Architecture
מוסטער:סלאווישע שפראכן	Modèle:Palette Langues slaves
קאַטעגאָריע:באן סטאנציעס אין ישראל	Catégorie:Gare en Israël
מוסטער:Harvnb	Modèle:Référence Harvard sans parenthèses
מוסטער:הויפטשטעט פונעם אייראפעישן פארבאנד	Modèle:Palette Capitales des pays de l'Union européenne
מוסטער:לאנד פון דייטשלאנד	Modèle:Infobox État d'Allemagne
קאַטעגאָריע:מאנגאליי	Catégorie:Mongolie
קאַטעגאָריע:באן טראנספארט	Catégorie:Chemin de fer
קאַטעגאָריע:פארדייאונג סיסטעם	Catégorie:Système digestif
מוסטער:וויקיפעדיע	Modèle:Interwiki
קאַטעגאָריע:גאסן	Catégorie:Rue
קאַטעגאָריע:פארניכטונגס לאגערן	Catégorie:Camp d'extermination nazi
קאַטעגאָריע:וויין	Catégorie:Vin
מוסטער:Coord	Modèle:Coord
מוסטער:Citation/make link	Modèle:Citation/make link
קאַטעגאָריע:יידישע שטרעמונגען	Catégorie:Courant du judaïsme
מוסטער:לענדער פון אייראפע	Modèle:Palette Pays d'Europe
קאַטעגאָריע:מוסטער דאקומענטאציע	Catégorie:Documentation de modèle
קאַטעגאָריע:באַניצער eo	Catégorie:Utilisateur eo
קאַטעגאָריע:באַניצער fr	Catégorie:Utilisateur fr
קאַטעגאָריע:באַניצער ja	Catégorie:Utilisateur ja
קאַטעגאָריע:באַניצער la	Catégorie:Utilisateur la
קאַטעגאָריע:באַניצער nn	Catégorie:Utilisateur nn
קאַטעגאָריע:באַניצער pt	Catégorie:Utilisateur pt
קאַטעגאָריע:באַניצער ro	Catégorie:Utilisateur ro
קאַטעגאָריע:באַניצער sv	Catégorie:Utilisateur sv
קאַטעגאָריע:באַניצער cs-3	Catégorie:Utilisateur cs-3
קאַטעגאָריע:באַניצער fr-3	Catégorie:Utilisateur fr-3
קאַטעגאָריע:באַניצער nl-3	Catégorie:Utilisateur nl-3
קאַטעגאָריע:באַניצער nl-1	Catégorie:Utilisateur nl-1
קאַטעגאָריע:באַניצער pl-1	Catégorie:Utilisateur pl-1
קאַטעגאָריע:באַניצער ro-1	Catégorie:Utilisateur ro-1
קאַטעגאָריע:באַניצער ar-1	Catégorie:Utilisateur ar-1
קאַטעגאָריע:באַניצער da-2	Catégorie:Utilisateur da-2
קאַטעגאָריע:באַניצער fr-2	Catégorie:Utilisateur fr-2
קאַטעגאָריע:באַניצער hi-2	Catégorie:Utilisateur hi-2
קאַטעגאָריע:באַניצער nl-2	Catégorie:Utilisateur nl-2
קאַטעגאָריע:באַניצער ar-2	Catégorie:Utilisateur ar-2
קאַטעגאָריע:באַניצער cs-N	Catégorie:Utilisateur cs-M
קאַטעגאָריע:באַניצער fr-M	Catégorie:Utilisateur fr-M
קאַטעגאָריע:באַניצער is-N	Catégorie:Utilisateur is-M
קאַטעגאָריע:באַניצער it-N	Catégorie:Utilisateur it-M
קאַטעגאָריע:באַניצער nl-N	Catégorie:Utilisateur nl-M
קאַטעגאָריע:באַניצער ru-N	Catégorie:Utilisateur ru-M
קאַטעגאָריע:פארוויילונג	Catégorie:Divertissement
קאַטעגאָריע:חסידישע הויפן	Catégorie:Dynastie hassidique
קאַטעגאָריע:פלעצער	Catégorie:Toponyme
קאַטעגאָריע:שריפט	Catégorie:Système d'écriture
מוסטער:חסידישע הויפן	Modèle:Palette Dynastie hassidique
מוסטער:וועב פראגראמען	Modèle:Palette Navigateurs web
מוסטער:אדמו"ר	Modèle:Infobox Rabbi
קאַטעגאָריע:רבנים אין ארץ ישראל	Catégorie:Rabbin en terre d'Israël
קאַטעגאָריע:באַניצער ar	Catégorie:Utilisateur ar
קאַטעגאָריע:ביאלאגיע אינפאבאקס מוסטערן	Catégorie:Modèle infobox biologie
קאַטעגאָריע:יידיש	Catégorie:Langue yiddish
קאַטעגאָריע:ישראל געווער אינדוסטריע	Catégorie:Entreprise israélienne de l'armement
קאַטעגאָריע:באַניצער cs	Catégorie:Utilisateur cs
קאַטעגאָריע:אינדזלען	Catégorie:Île
קאַטעגאָריע:היסטאריקער	Catégorie:Historien
קאַטעגאָריע:באַניצער da	Catégorie:Utilisateur da
קאַטעגאָריע:פאציפישער אקעאן	Catégorie:Océan Pacifique
קאַטעגאָריע:אידישע לידער	Catégorie:Chanson en yiddish
קאַטעגאָריע:באַניצער de	Catégorie:Utilisateur de
קאַטעגאָריע:באַניצער de-2	Catégorie:Utilisateur de-2
קאַטעגאָריע:באַניצער de-3	Catégorie:Utilisateur de-3
קאַטעגאָריע:באַניצער de-N	Catégorie:Utilisateur de-M
קאַטעגאָריע:באַניצער en-3	Catégorie:Utilisateur en-3
קאַטעגאָריע:באַניצער en-N	Catégorie:Utilisateur en-M
קאַטעגאָריע:באַניצער eo-1	Catégorie:Utilisateur eo-1
קאַטעגאָריע:באַניצער eo-2	Catégorie:Utilisateur eo-2
קאַטעגאָריע:באַניצער eo-3	Catégorie:Utilisateur eo-3
קאַטעגאָריע:באַניצער eo-N	Catégorie:Utilisateur eo-M
קאַטעגאָריע:באַניצער es	Catégorie:Utilisateur es
קאַטעגאָריע:באַניצער es-1	Catégorie:Utilisateur es-1
מוסטער:EU מיטגלידער	Modèle:Palette Membres de Union Européenne
קאַטעגאָריע:רבנים	Catégorie:Rabbin
קאַטעגאָריע:באַניצער es-2	Catégorie:Utilisateur es-2
קאַטעגאָריע:באַניצער es-3	Catégorie:Utilisateur es-3
קאַטעגאָריע:באַניצער es-N	Catégorie:Utilisateur es-M
קאַטעגאָריע:באַניצער fi	Catégorie:Utilisateur fi
קאַטעגאָריע:באַניצער fi-N	Catégorie:Utilisateur fi-M
קאַטעגאָריע:1680ער	Catégorie:Années 1680
קאַטעגאָריע:באַניצער he	Catégorie:Utilisateur he
קאַטעגאָריע:באַניצער he-1	Catégorie:Utilisateur he-1
קאַטעגאָריע:באַניצער he-2	Catégorie:Utilisateur he-2
קאַטעגאָריע:באַניצער he-3	Catégorie:Utilisateur he-3
קאַטעגאָריע:באַניצער he-N	Catégorie:Utilisateur he-M
קאַטעגאָריע:באַניצער hu	Catégorie:Utilisateur hu
קאַטעגאָריע:באַניצער is	Catégorie:Utilisateur is
קאַטעגאָריע:באַניצער is-1	Catégorie:Utilisateur is-1
קאַטעגאָריע:באַניצער is-2	Catégorie:Utilisateur is-2
קאַטעגאָריע:באַניצער is-3	Catégorie:Utilisateur is-3
קאַטעגאָריע:חכמים	Catégorie:Chef religieux
קאַטעגאָריע:טיטלען	Catégorie:Titre
קאַטעגאָריע:תשמישי קדושה	Catégorie:Objet religieux
קאַטעגאָריע:יידישע קיך	Catégorie:Cuisine juive
קאַטעגאָריע:שבת	Catégorie:Chabbat
אייגנטום	Propriété
קאַטעגאָריע:אלף בית	Catégorie:Alphabet hébreu
קאַטעגאָריע:העברעיש	Catégorie:Langue hébraïque
קאַטעגאָריע:מלכי ישראל	Catégorie:Roi d'Israël
קאַטעגאָריע:מלכי יהודה	Catégorie:Roi de Juda
קאַטעגאָריע:פרעזידענטן פון ווענעזועלע	Catégorie:Président du Venezuela
קאַטעגאָריע:באַניצער pl-N	Catégorie:Utilisateur pl-M
קאַטעגאָריע:שיאיטן	Catégorie:Chiisme
קאַטעגאָריע:ראטשילד פאמיליע	Catégorie:Famille Rothschild
קאַטעגאָריע:געאמעטריע	Catégorie:Géométrie
מוסטער:שפראך-be	Modèle:Lang-be
קאַטעגאָריע:גארטן	Catégorie:Jardinage
קאַטעגאָריע:שטעט אין ישראל	Catégorie:Ville d'Israël
קאַטעגאָריע:קינסטלערס	Catégorie:Artiste
מוסטער:נומערן	Modèle:Palette Notion de nombre
קאַטעגאָריע:באַניצער it	Catégorie:Utilisateur it
קאַטעגאָריע:באַניצער it-1	Catégorie:Utilisateur it-1
קאַטעגאָריע:וועבזייטלעך	Catégorie:Site web
קאַטעגאָריע:באַניצער ko	Catégorie:Utilisateur ko
קאַטעגאָריע:שטאטן אין די פאראייניגטע שטאטן	Catégorie:État des États-Unis
קאַטעגאָריע:ארגאניזאציעס אין ישראל	Catégorie:Association ou organisme israélien
קאַטעגאָריע:באַניצער la-1	Catégorie:Utilisateur la-1
קאַטעגאָריע:וויקיפעדיע שמועסן	Catégorie:Le Bistro
קאַטעגאָריע:וואולקאנען	Catégorie:Volcan
קאַטעגאָריע:שפיאנאזש	Catégorie:Espionnage
קאַטעגאָריע:שטעט אין טשילע	Catégorie:Commune du Chili
קאַטעגאָריע:קעניגן אין סאודיע	Catégorie:Roi d'Arabie saoudite
מוסטער:גראפנשאפטן אין ענגלאנד	Modèle:Palette Comtés d'Angleterre
מאלצייט	Repas
קאַטעגאָריע:קאמפקונסט	Catégorie:Art martial
קאַטעגאָריע:באן טראנספארט מוסטערן	Catégorie:Modèle ligne de chemin de fer
מוסטער:אינפארמאציע	Modèle:Information
קאַטעגאָריע:שטעט אין פראנקרייך	Catégorie:Ville de France
קאַטעגאָריע:נאוועמבער	Catégorie:Novembre
קאַטעגאָריע:אפמאכן	Catégorie:Traité
קאַטעגאָריע:באַניצער ru-1	Catégorie:Utilisateur ru-1
װיקיפּעדיע:באבעל	Wikipédia:Babel
מוסטער:הילף אינהאלט צוריק	Modèle:Retour au sommaire de l'aide
קאַטעגאָריע:פארברעכן	Catégorie:Criminalité
קאַטעגאָריע:לאקאלע רעגירונג	Catégorie:Administration municipale
מוסטער:·וויקל	Modèle:·wrap
מוסטער:User sv-1	Modèle:Utilisateur sv-1
קאַטעגאָריע:כעמישע פארבינדונגען	Catégorie:Composé chimique
קאַטעגאָריע:פארשטעלונגען	Catégorie:Pièce de théâtre
קאַטעגאָריע:1970ער	Catégorie:Années 1970
קאַטעגאָריע:1890ער	Catégorie:Années 1890
קאַטעגאָריע:דיכטער	Catégorie:Poète
קאַטעגאָריע:אידישע משפחות	Catégorie:Famille juive
קאַטעגאָריע:טעאריעס	Catégorie:Théorie
קאַטעגאָריע:מערץ	Catégorie:Mars
קאַטעגאָריע:פוילישע	Catégorie:Personnalité polonaise
קאַטעגאָריע:ענגלענדער	Catégorie:Personnalité anglaise
קאַטעגאָריע:סעפטעמבער	Catégorie:Septembre
קאַטעגאָריע:איטאליענישע היסטאריע	Catégorie:Histoire de l'Italie
קאַטעגאָריע:דיפלאמאטן	Catégorie:Diplomate
קאַטעגאָריע:השכלה	Catégorie:Lumières
קאַטעגאָריע:אקטאבער	Catégorie:Octobre
קאַטעגאָריע:באַניצער ms-2	Catégorie:Utilisateur ms-2
קאַטעגאָריע:לאטיינישער אלפאבעט	Catégorie:Alphabet latin
קאַטעגאָריע:שטעט און שטעטלעך אין סלאוואקיי	Catégorie:Ville de Slovaquie
קאַטעגאָריע:ימען	Catégorie:Mer
קאַטעגאָריע:שטעט און שטעטלעך אין פוילן	Catégorie:Ville de Pologne
קאַטעגאָריע:דעצעמבער	Catégorie:Décembre
קאַטעגאָריע:אויגוסט	Catégorie:Août
קאַטעגאָריע:מיי	Catégorie:Mai
קאַטעגאָריע:אויטאמאביל פירמעס	Catégorie:Constructeur automobile
מוסטער:User yi-0	Modèle:Utilisateur yi-0
קאַטעגאָריע:דראגס	Catégorie:Consommation de psychotrope
גלוסט	Luxure
קאַטעגאָריע:ענגלאנד	Catégorie:Angleterre
קאַטעגאָריע:מעטאלורגיע	Catégorie:Métallurgie
קאַטעגאָריע:קאנגרעסלייט	Catégorie:Membre de la Chambre des représentants des États-Unis
עקספלאראציע	Exploration
קאַטעגאָריע:מאדעלן	Catégorie:Mannequin
קאַטעגאָריע:אפריל	Catégorie:Avril
קאַטעגאָריע:מחשבה	Catégorie:Pensée
קאַטעגאָריע:קאנפערענצן	Catégorie:Conférence
קאַטעגאָריע:מיטל מזרח קאנפליקט	Catégorie:Conflit israélo-arabe
מוסטער:שפראך-ko	Modèle:Lang-ko
קאַטעגאָריע:קאמפיוטער וויסנשאפט	Catégorie:Informatique
מוסטער:באן ליניע איבערדעק	Modèle:BS-overlap
קאַטעגאָריע:זשאנערס	Catégorie:Genre et forme littéraire
קאַטעגאָריע:בלומען	Catégorie:Fleur
קאַטעגאָריע:זון סיסטעם	Catégorie:Système solaire
מוסטער:רעגירונג מעטאדן	Modèle:Palette Formes de gouvernement
קאַטעגאָריע:גאט	Catégorie:Dieu
קאַטעגאָריע:אינטערנאציאנאלע ארגאניזאציעס	Catégorie:Organisation internationale
קאַטעגאָריע:ענטאמאלאגיע	Catégorie:Entomologie
קאַטעגאָריע:רעגירונג מיניסטארן	Catégorie:Ministre
קאַטעגאָריע:אינדוסטריע	Catégorie:Industrie
קאַטעגאָריע:ערפינדערס	Catégorie:Inventeur
קאַטעגאָריע:טעלעוויזיע סעריעס פאר קינדער	Catégorie:Émission de télévision pour la jeunesse
קאַטעגאָריע:וואסער	Catégorie:Eau
קאַטעגאָריע:קאפ און גענאק	Catégorie:Tête et cou
מוסטער:Sfn	Modèle:Sfn
גיין	Marche à pied
קאַטעגאָריע:פראטעסט	Catégorie:Mouvement protestataire
קאַטעגאָריע:געטראנקען	Catégorie:Boisson
קאַטעגאָריע:זאאלאגיע	Catégorie:Zoologie
קאַטעגאָריע:וויקיפעדיע וואנדאליזם	Catégorie:Lutte contre le vandalisme sur Wikipédia
קאַטעגאָריע:קאגניציע	Catégorie:Cognition
װיקיפּעדיע:מולטי שפראך סטאטיסטיקס	Wikipédia:Coordination multilingue
קאַטעגאָריע:ישראל'דיגע מוסטערן	Catégorie:Modèle Israël
קאַטעגאָריע:קרעדיט	Catégorie:Crédit
קאַטעגאָריע:פרעמיעס	Catégorie:Distinction
קאַטעגאָריע:סימבאלן	Catégorie:Symbole
קאַטעגאָריע:ציוויליזאציעס	Catégorie:Civilisation
קאַטעגאָריע:טעאטערס	Catégorie:Salle de théâtre
קאַטעגאָריע:בעלארוס	Catégorie:Biélorussie
קאַטעגאָריע:ראק זינגערס	Catégorie:Chanteur de rock
קאַטעגאָריע:מאסאטשוסעטס	Catégorie:Massachusetts
קאַטעגאָריע:שטעט אין רומעניע	Catégorie:Municipalité de Roumanie
װיקיפּעדיע:אינטערוויקי לינקען	Aide:Lien interwiki
קאַטעגאָריע:ראיאנען	Catégorie:Région
קאַטעגאָריע:לענדער אין אפריקע	Catégorie:Pays d'Afrique
מוסטער:קאנאדישע פראווינצן	Modèle:Palette Provinces et territoires du Canada
מוסטער:מוסטער רעפערענץ ליסטע	Modèle:Références du modèle
קאַטעגאָריע:1940ער	Catégorie:Années 1940
קאַטעגאָריע:1900ער	Catégorie:Années 1900
קאַטעגאָריע:1910ער	Catégorie:Années 1910
קאַטעגאָריע:1920ער	Catégorie:Années 1920
קאַטעגאָריע:1930ער	Catégorie:Années 1930
קאַטעגאָריע:1950ער	Catégorie:Années 1950
קאַטעגאָריע:1960ער	Catégorie:Années 1960
קאַטעגאָריע:1980ער	Catégorie:Années 1980
קאַטעגאָריע:1990ער	Catégorie:Années 1990
קאַטעגאָריע:2000ער	Catégorie:Années 2000
קאַטעגאָריע:2010ער	Catégorie:Années 2010
מוסטער:באן ליניע אנווייזונגען	Modèle:Infobox Ligne ferroviaire/Schéma
מוסטער:ארגאניזאציע פאר עקאנאמישע קאאפעראציע און אנטוויקלונג	Modèle:Palette Organisation de coopération et de développement économiques
װיקיפּעדיע:געצייג	Aide:Utilitaires
קאַטעגאָריע:לימפאטישע סיסטעם	Catégorie:Système lymphatique
קאַטעגאָריע:איבערגאנג מעטאלן	Catégorie:Métal de transition
מוסטער:User cs	Modèle:Utilisateur cs
מוסטער:User es-3	Modèle:Utilisateur es-3
קאַטעגאָריע:באַניצער ro-2	Catégorie:Utilisateur ro-2
קאַטעגאָריע:באַניצער ro-3	Catégorie:Utilisateur ro-3
קאַטעגאָריע:באַניצער ro-N	Catégorie:Utilisateur ro-M
קאַטעגאָריע:באַניצער ru	Catégorie:Utilisateur ru
קאַטעגאָריע:באַניצער ru-2	Catégorie:Utilisateur ru-2
קאַטעגאָריע:באַניצער ru-3	Catégorie:Utilisateur ru-3
קאַטעגאָריע:באַניצער sv-1	Catégorie:Utilisateur sv-1
קאַטעגאָריע:באַניצער sv-N	Catégorie:Utilisateur sv-M
קאַטעגאָריע:באַניצער uk-4	Catégorie:Utilisateur uk-4
קאַטעגאָריע:באַניצער yi	Catégorie:Utilisateur yi
קאַטעגאָריע:באַניצער yi-1	Catégorie:Utilisateur yi-1
קאַטעגאָריע:באַניצער yi-2	Catégorie:Utilisateur yi-2
קאַטעגאָריע:באַניצער yi-3	Catégorie:Utilisateur yi-3
קאַטעגאָריע:באַניצער yi-4	Catégorie:Utilisateur yi-4
קאַטעגאָריע:באַניצער yi-M	Catégorie:Utilisateur yi-M
מוסטער:לאנדאן	Modèle:Palette Grand Londres
מוסטער:שפייצן	Modèle:Spaces
קאַטעגאָריע:מוזיקער	Catégorie:Musicien
קאַטעגאָריע:מאלערס	Catégorie:Peintre
װיקיפּעדיע:בילדער	Wikipédia:Règles d'utilisation des images
קאַטעגאָריע:צווייטע וועלט מלחמה רעגירער	Catégorie:Personnalité de la Seconde Guerre mondiale
קאַטעגאָריע:לאגערן	Catégorie:Camp de concentration nazi
קאַטעגאָריע:טערמינאלאגיע	Catégorie:Terminologie
קאַטעגאָריע:ביימער	Catégorie:Arbre
קאַטעגאָריע:סאציאלאגיע	Catégorie:Sociologie
קאַטעגאָריע:סיסטעמען	Catégorie:Système
אנטראפאמעטריע	Anthropométrie
קאַטעגאָריע:1560ער	Catégorie:Années 1560
קאַטעגאָריע:1820ער	Catégorie:Années 1820
קאַטעגאָריע:1670ער	Catégorie:Années 1670
קאַטעגאָריע:1770ער	Catégorie:Années 1770
קאַטעגאָריע:1760ער	Catégorie:Années 1760
קאַטעגאָריע:1710ער	Catégorie:Années 1710
קאַטעגאָריע:1650ער	Catégorie:Années 1650
קאַטעגאָריע:1610ער	Catégorie:Années 1610
קאַטעגאָריע:1810ער	Catégorie:Années 1810
קאַטעגאָריע:1640ער	Catégorie:Années 1640
קאַטעגאָריע:1850ער	Catégorie:Années 1850
קאַטעגאָריע:17טער י"ה	Catégorie:XVIIe siècle
קאַטעגאָריע:1880ער	Catégorie:Années 1880
קאַטעגאָריע:1720ער	Catégorie:Années 1720
קאַטעגאָריע:1750ער	Catégorie:Années 1750
קאַטעגאָריע:1870ער	Catégorie:Années 1870
קאַטעגאָריע:1780ער	Catégorie:Années 1780
קאַטעגאָריע:1860ער	Catégorie:Années 1860
קאַטעגאָריע:1790ער	Catégorie:Années 1790
קאַטעגאָריע:1730ער	Catégorie:Années 1730
קאַטעגאָריע:1800ער	Catégorie:Années 1800
קאַטעגאָריע:1700ער	Catégorie:Années 1700
מוסטער:נאוויגאציע אין מאנאטן ארכיוו	Modèle:Archives auto
קאַטעגאָריע:פאבריקאציע	Catégorie:Productique
קאַטעגאָריע:מענטשן	Catégorie:Humain
קאַטעגאָריע:קאטעגאריע קעפל מוסטערן	Catégorie:Modèle de l'espace Catégorie
קאַטעגאָריע:וויקימעדיע פראיעקטן	Catégorie:Projet de la Wikimedia Foundation
קאַטעגאָריע:Windows	Catégorie:Microsoft Windows
מוסטער:באטאניק	Modèle:Palette Botanique
קאַטעגאָריע:2014	Catégorie:2014
מוסטער:בריטישע מאנארכן	Modèle:Palette Monarques britanniques
קרנית פלוג	Karnit Flug
מוסטער:User sv-3	Modèle:Utilisateur sv-3
קאַטעגאָריע:האנדל און פינאנץ	Catégorie:Commerce
קאַטעגאָריע:הויפט טעמעס	Catégorie:Espace encyclopédique
קאַטעגאָריע:פארטאל	Catégorie:Espace Portail
קאַטעגאָריע:ביאכעמיע	Catégorie:Biochimie
קאַטעגאָריע:באן טראנספארט אין פראנקרייך	Catégorie:Transport ferroviaire en France
קאַטעגאָריע:קאמפיוטער פראגראמירן	Catégorie:Programmation informatique
קאַטעגאָריע:וויטאמינען	Catégorie:Vitamine
קאַטעגאָריע:צירונגען	Catégorie:Joaillerie
מוסטער:שפראך-hi	Modèle:Lang-hi
קאַטעגאָריע:ריעל עסטעיט	Catégorie:Immobilier
מוסטער:אנווייז צום הויפט ארטיקל	Modèle:Article détaillé
מוסטער:Coord/dec2dms/dm	Modèle:Coord/dec2dms/dm
קאַטעגאָריע:איידעלע גאזן	Catégorie:Gaz noble
קאַטעגאָריע:ניו יארק	Catégorie:État de New York
קאַטעגאָריע:ניו זשערסי	Catégorie:New Jersey
קאַטעגאָריע:ספרים חיצונים	Catégorie:Apocryphe de l'Ancien Testament
קאַטעגאָריע:אהאיא	Catégorie:Ohio
קאַטעגאָריע:קאליפארניע	Catégorie:Californie
קאַטעגאָריע:קאנעטיקעט	Catégorie:Connecticut
