Africa	Afrique
Tlachicuazti 29	29 juin
Tlachicuazti 28	28 juin
Tlachicuazti 26	26 juin
Tlachicuazti 25	25 juin
Tlachicuazti 22	22 juin
Tlachicuazti 27	27 juin
Tlachicuazti 24	24 juin
Tlachicuazti 20	20 juin
Paul von Hindenburg	Paul von Hindenburg
Tlachicuazti 23	23 juin
Tlachicuazti 19	19 juin
Tlachicuazti 18	18 juin
Tlachicuazti 21	21 juin
Tlachicuazti 17	17 juin
Tlamahtlācōnti 23	23 décembre
Bruce Willis	Bruce Willis
Tlachicōnti 15	15 juillet
13 Tlachicōnti	13 juillet
Tlachicōnti 12	12 juillet
10 Tlachicōnti	10 juillet
Tlachicōnti 9	9 juillet
Tlachicōnti 14	14 juillet
Tlachicōnti 8	8 juillet
Tlachicōnti 7	7 juillet
Tlachicōnti 6	6 juillet
Tlachicōnti 5	5 juillet
Tlachicōnti 2	2 juillet
Tlachicōnti 4	4 juillet
Tlachicōnti 3	3 juillet
1 Tlachicōnti	1er juillet
Tlachicōnti 11	11 juillet
Tlamahtlācōnti 24	24 décembre
Tlachicōnti 31	31 juillet
Tlachicōnti 30	30 juillet
Tlachicōnti 29	29 juillet
Tlachicōnti 28	28 juillet
Tlachicōnti 27	27 juillet
Tlachicōnti 25	25 juillet
Tlachicōnti 24	24 juillet
Tlachicōnti 23	23 juillet
Tlachicōnti 26	26 juillet
Tlachicōnti 22	22 juillet
Tlachicōnti 19	19 juillet
Tlachicōnti 21	21 juillet
Tlachicōnti 20	20 juillet
Tlachicōnti 17	17 juillet
Tlachicōnti 18	18 juillet
Tlachicōnti 16	16 juillet
Neicxitapayōlhuiliztli	Football
Tlamahtlācōnti 25	25 décembre
Augsburg	Augsbourg
1963	1963
Tlamahtlācōnti 26	26 décembre
1962	1962
Tlachicuēiti 14	14 août
Tlachicuēiti 15	15 août
Tlachicuēiti 13	13 août
Tlachicuēiti 12	12 août
Tlachicuēiti 11	11 août
Tlachicuēiti 10	10 août
Tlachicuēiti 8	8 août
Tlachicuēiti 7	7 août
Tlachicuēiti 9	9 août
Tlachicuēiti 5	5 août
Tlachicuēiti 4	4 août
Tlachicuēiti 2	2 août
Tlachicuēiti 3	3 août
Tlachicuēiti 6	6 août
Tlachicuēiti 1	1er août
Tlamahtlācōnti 27	27 décembre
Madrid	Madrid
Tlachicuēiti 16	16 août
Coca-Cola	Coca-Cola
Tlachicuēiti 29	29 août
Tlachicuēiti 28	28 août
Tlachicuēiti 30	30 août
Tlachicuēiti 25	25 août
Tlachicuēiti 26	26 août
23 Tlachicuēiti	23 août
Tlachicuēiti 27	27 août
Tlachicuēiti 21	21 août
Tlachicuēiti 20	20 août
Tlachicuēiti 24	24 août
Tlachicuēiti 18	18 août
Tlachicuēiti 17	17 août
Tlachicuēiti 22	22 août
Tlachicuēiti 19	19 août
Tlachicuēiti 31	31 août
Michael Jackson	Michael Jackson
Tlamahtlācōnti 28	28 décembre
Freiburg im Breisgau	Fribourg-en-Brisgau
Bogotá	Bogota
Brasilia	Brasilia
Tlachiucnāuhti 15	15 septembre
Tlachiucnāuhti 14	14 septembre
Tlachiucnāuhti 13	13 septembre
Tlachiucnāuhti 12	12 septembre
Tlachiucnāuhti 8	8 septembre
Tlachiucnāuhti 11	11 septembre
Tlachiucnāuhti 7	7 septembre
Tlachiucnāuhti 10	10 septembre
Tlachiucnāuhti 5	5 septembre
Tlachiucnāuhti 4	4 septembre
Tlachiucnāuhti 9	9 septembre
Tlachiucnāuhti 2	2 septembre
Tlachiucnāuhti 6	6 septembre
Tlachiucnāuhti 1	1er septembre
Tlachiucnāuhti 3	3 septembre
Tlamahtlācōnti 29	29 décembre
Lima	Lima
Tlachiucnāuhti 30	30 septembre
Tlachiucnāuhti 29	29 septembre
Tlachiucnāuhti 28	28 septembre
27 tlachiucnāuhti	27 septembre
Tlachiucnāuhti 26	26 septembre
Tlachiucnāuhti 25	25 septembre
Santiago de Chile	Santiago
Tlachiucnāuhti 23	23 septembre
Tlachiucnāuhti 22	22 septembre
Tlachiucnāuhti 24	24 septembre
Tlachiucnāuhti 21	21 septembre
Tlachiucnāuhti 20	20 septembre
Tlachiucnāuhti 18	18 septembre
Tlachiucnāuhti 17	17 septembre
Tlachiucnāuhti 19	19 septembre
16 tlachiucnāuhti	16 septembre
Quito	Quito
Tlamahtlācōnti 30	30 décembre
Sucre	Sucre (Bolivie)
Tlamahtlācōnti 31	31 décembre
Tlamahtlācti 1	1er octobre
Tlamahtlācti 15	15 octobre
Tlamahtlācti 12	12 octobre
Tlamahtlācti 10	10 octobre
Tlamahtlācti 14	14 octobre
Tlamahtlācti 9	9 octobre
Tlamahtlācti 8	8 octobre
Tlamahtlācti 13	13 octobre
Tlamahtlācti 7	7 octobre
Tlamahtlācti 11	11 octobre
Tlamahtlācti 6	6 octobre
4 Tlamahtlācti	4 octobre
Tlamahtlācti 5	5 octobre
Tlamahtlācti 3	3 octobre
Tlamahtlācti 2	2 octobre
Asunción	Asuncion
31 Tlamahtlācti	31 octobre
Tlamahtlācti 30	30 octobre
Tlamahtlācti 29	29 octobre
Tlamahtlācti 28	28 octobre
Tlamahtlācti 26	26 octobre
Tlamahtlācti 25	25 octobre
Tlamahtlācti 24	24 octobre
Tlamahtlācti 27	27 octobre
Tlamahtlācti 22	22 octobre
Tlamahtlācti 23	23 octobre
Tlamahtlācti 20	20 octobre
Tlamahtlācti 21	21 octobre
Tlamahtlācti 19	19 octobre
Tlamahtlācti 17	17 octobre
Tlamahtlācti 16	16 octobre
Tlamahtlācti 18	18 octobre
Heidelberg	Heidelberg
Ratisbona	Ratisbonne
Tlamahtlāccēti 15	15 novembre
Tlamahtlāccēti 14	14 novembre
Tlamahtlāccēti 13	13 novembre
Tlamahtlāccēti 12	12 novembre
Tlamahtlāccēti 11	11 novembre
Tlamahtlāccēti 10	10 novembre
Tlamahtlāccēti 7	7 novembre
Tlamahtlāccēti 8	8 novembre
Tlamahtlāccēti 9	9 novembre
Tlamahtlāccēti 6	6 novembre
Tlamahtlāccēti 5	5 novembre
Tlamahtlāccēti 4	4 novembre
Tlamahtlāccēti 3	3 novembre
Tlamahtlāccēti 2	2 novembre
Tlamahtlāccēti 1	1er novembre
Wurzburg	Wurtzbourg
Paramaribo	Paramaribo
Ulm	Ulm
Tlamahtlāccēti 30	30 novembre
Tlamahtlāccēti 29	29 novembre
Tlamahtlāccēti 28	28 novembre
27 Tlamahtlāccēti	27 novembre
Tlamahtlāccēti 26	26 novembre
Tlamahtlāccēti 25	25 novembre
Tlamahtlāccēti 23	23 novembre
Tlamahtlāccēti 24	24 novembre
21 Tlamahtlāccēti	21 novembre
Tlamahtlāccēti 20	20 novembre
Tlamahtlāccēti 22	22 novembre
Tlamahtlāccēti 19	19 novembre
Tlamahtlāccēti 18	18 novembre
Tlamahtlāccēti 17	17 novembre
Tlamahtlāccēti 16	16 novembre
Belmopan	Belmopan
Carolus Magnus	Charlemagne
San José, Costa Rica	San José (Costa Rica)
San Salvador	San Salvador (Salvador)
Camberra	Canberra
Sydney	Sydney
Xoxoctic	Vert
Chīchīltic	Rouge
Tletl	Feu
Tēuctzincalpan	Tegucigalpa
Mānāhuac	Managua
Āltepētl Panama	Panama (ville)
George Orwell	George Orwell
Aosta	Aoste
Trento	Trente (Italie)
Nilo	Nil
Perugia	Pérouse
Bari	Bari
Rabāt	Rabat
Popōcacītlallīn	Comète
Argel	Alger
Antofagasta	Antofagasta
Tehrān	Téhéran
Adis Abeba	Addis-Abeba
Yakarta	Jakarta
Ankara	Ankara
Asmara	Asmara
Yamena	N'Djaména
1961	1961
Bamako	Bamako
Belgrado	Belgrade
Banyul	Banjul
Conacri	Conakry
Bissau	Bissau
Neneuhcāyōtl:Nemachiyōtīlli	Catégorie:Espace Modèle
Praia	Praia
1960	1960
Acra	Accra
Chiguayante	Chiguayante
Damasco	Damas
Yamusukro	Yamoussoukro
Chillán	Chillán
Uagadugu	Ouagadougou
Ātōyātl Amazonas	Amazone (fleuve)
Abuya	Abuja
Porto Novo	Porto-Novo
Ammān	Amman
Yaundé	Yaoundé
Coyhaique	Coyhaique
Malabo	Malabo
Libreville	Libreville
Malucca	Moluques
Buyumbura	Bujumbura
Nicosia	Nicosie
Doha	Doha
Copiapó	Copiapó
Nairobi	Nairobi
Manāmah	Manama
Catanzaro	Catanzaro
Luanda	Luanda
Moroni	Moroni (Comores)
Galicia	Galice
Maseru	Maseru
Huēyitlamachticalli	Université
Gaborone	Gaborone
Pretoria	Pretoria
Bamberg	Bamberg
Aschaffenburg	Aschaffenbourg
Cantabria	Cantabrie
Chāntli	Maison
Liège	Liège
Vasconia	Pays basque (communauté autonome)
Rosenheim	Rosenheim
Navarra	Communauté forale de Navarre
Ātōyātl	Rivière
Osasco	Osasco (Brésil)
Aragón	Aragon (communauté autonome)
-36	36 av. J.-C.
-20	20 av. J.-C.
-40	40 av. J.-C.
-39	39 av. J.-C.
-37	37 av. J.-C.
-22	22 av. J.-C.
-38	38 av. J.-C.
Cabo de Buena Esperanza	Cap de Bonne-Espérance
Glasgow	Glasgow
-28	28 av. J.-C.
-18	18 av. J.-C.
-15	15 av. J.-C.
-33	33 av. J.-C.
Neu Ulm	Neu-Ulm
-30	30 av. J.-C.
-12	12 av. J.-C.
Ehēcalquixohuayān Dong Hoi	Aéroport de Đồng Hới
-45	45 av. J.-C.
-46	46 av. J.-C.
Passau	Passau
-41	41 av. J.-C.
-49	49 av. J.-C.
-42	42 av. J.-C.
Tlīlcuauhtlah	Forêt-Noire
-25	25 av. J.-C.
-47	47 av. J.-C.
-10	10 av. J.-C.
Tlacetilīztli Huitzixachitēcatl Tlācatiyān	Union des nations sud-américaines
Curitiba	Curitiba
Chīchīltechalōtl	Écureuil roux
Cuauhtlah	Forêt
Talca	Talca
Anna Faris	Anna Faris
Neneuhcāyōtl:Ōmicqueh xiuhpan 1481	Catégorie:Décès en 1481
Neneuhcāyōtl:Tuneztlācah	Catégorie:Personnalité tunisienne
Ātōyātl Andalién	Río Andalién
Jonathan Winters	Jonathan Winters
Neneuhcāyōtl:Āltepētl īpan Liechtenstein	Catégorie:Commune du Liechtenstein
Sean Connery	Sean Connery
Rancagua	Rancagua
Marilyn Monroe	Marilyn Monroe
Corbin Bleu	Corbin Bleu
Neneuhcāyōtl:Tlapōhualmatiliztli	Catégorie:Mathématiques
Aimaratlahtōlli	Aymara
Sherlock Holmes	Sherlock Holmes
Le Corbusier	Le Corbusier
Mēxihcatl peso	Peso mexicain
1488	1488
Euro	Euro
Georgia (tlahtohcāyōtl)	Georgia
1004	1004
Berlin pāntli	Mur de Berlin
Ācintli	Riz
Céline Dion	Céline Dion
Cemantoc tlālli	Continent
Tōtōtl	Oiseau
Tēcuacān	Capitale
Monzón	Monzón
Portugallahtōlli	Portugais
Mētztli (cāhuitl)	Mois
1948	1948
1949	1949
Tlaōnti 2008	Février 2008
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Quechhuatlahtōlli	Quechua
1956	1956
1200	1200
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1941	1941
1207	1207
1208	1208
1945	1945
1209	1209
1210	1210
1211	1211
1958	1958
1212	1212
1926	1926
1213	1213
1947	1947
1944	1944
1952	1952
Bill Gates	Bill Gates
Xapontlahtōlli	Japonais
Cēntlamatilizāmoxtli	Encyclopédie
Vīdeocaquizcopīnalōni	DVD
Calīxatl	Wikipédia:Accueil principal
1959	1959
Nemachiyōtīlli:Cualli tlahcuilōlli	Modèle:Bon article
1957	1957
1214	1214
1215	1215
Chiquiuhtapayōlhuiliztli	Basket-ball
1216	1216
1217	1217
1218	1218
UTC-6	UTC−06:00
Mimalacatl	Compétition automobile
1219	1219
Olimpicayoh neāhuiltiliztli	Jeux olympiques
UTC-5	UTC−05:00
1220	1220
1221	1221
1222	1222
1223	1223
1224	1224
1225	1225
1226	1226
1227	1227
1228	1228
1229	1229
1230	1230
1231	1231
1232	1232
1233	1233
1234	1234
1235	1235
1236	1236
1237	1237
1238	1238
1239	1239
1240	1240
1241	1241
1242	1242
1243	1243
1244	1244
1245	1245
1246	1246
Āltepētl In Cabo	Le Cap
Chuvasia	Tchouvachie
Bart Simpson	Bart Simpson
1247	1247
1248	1248
1249	1249
1250	1250
1251	1251
1252	1252
1253	1253
1254	1254
1255	1255
1256	1256
Tepozocuilin	Métro
1257	1257
1258	1258
1259	1259
1260	1260
1261	1261
1262	1262
1263	1263
1264	1264
1265	1265
1266	1266
1267	1267
1268	1268
1269	1269
1270	1270
1271	1271
1272	1272
1273	1273
1274	1274
1275	1275
1276	1276
1277	1277
1278	1278
1279	1279
1280	1280
1281	1281
1282	1282
1283	1283
1284	1284
1285	1285
1286	1286
1287	1287
1288	1288
1289	1289
1290	1290
1291	1291
1292	1292
1293	1293
1294	1294
1295	1295
1296	1296
1297	1297
1298	1298
1299	1299
Salvador Dalí	Salvador Dalí
Albrecht Dürer	Albrecht Dürer
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Pablo Picasso	Pablo Picasso
Frank Lloyd Wright	Frank Lloyd Wright
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
Miguel de Cervantes	Miguel de Cervantes
Charles Dickens	Charles Dickens
Catalania	Catalogne
1306	1306
1307	1307
Cemāxcāyōtl Valencia	Communauté valencienne
1308	1308
1309	1309
La Rioja (Caxtillān)	La Rioja
1310	1310
1311	1311
1312	1312
1313	1313
Castillān īhuān León	Castille-et-León
1314	1314
1315	1315
1316	1316
1317	1317
Castillān-La Mancha	Castille-La Manche
1318	1318
Cemāxcāyōtl Madrid	Communauté de Madrid
Baleares	Îles Baléares
1319	1319
1320	1320
1321	1321
1322	1322
1323	1323
Cemāxcāyōtl Murcia	Région de Murcie
1324	1324
1325	1325
Belen	Bethléem
Extremadura	Estrémadure
1326	1326
Andalucía	Andalousie
1327	1327
1328	1328
Ernesto Guevara	Che Guevara
Canarias	Îles Canaries
Córdoba, Caxtillān	Cordoue
Ceuta	Ceuta
Melilla	Melilla
Toledo	Tolède
Kabul	Kaboul
Cuitlāmatl	Papier toilette
Chichén Itzá	Chichén Itzá
Gabriel García Márquez	Gabriel García Márquez
Tamillahtōlli	Tamoul
Tlazohmatiliztli	Philosophie
1329	1329
Neneuhcāyōtl:Huiquipedia:Borrar (definitivo)	Catégorie:Wikipédia:Suppression immédiate demandée
Pianotli	Piano
1330	1330
1331	1331
1332	1332
1333	1333
1334	1334
1335	1335
1336	1336
1337	1337
1338	1338
1339	1339
1340	1340
1341	1341
1342	1342
1343	1343
1344	1344
1345	1345
1346	1346
1347	1347
1348	1348
1349	1349
1350	1350
Marco Polo	Marco Polo
1351	1351
Hebe Camargo	Hebe Camargo
1400	1400
1401	1401
1352	1352
1402	1402
1353	1353
1403	1403
1354	1354
1404	1404
1355	1355
1405	1405
1500	1500
1406	1406
1356	1356
1501	1501
1407	1407
1357	1357
1502	1502
1408	1408
1358	1358
1503	1503
1359	1359
1409	1409
1504	1504
1360	1360
1410	1410
1505	1505
1506	1506
1411	1411
1361	1361
1507	1507
1412	1412
1362	1362
1413	1413
1508	1508
1363	1363
1509	1509
1414	1414
1510	1510
1415	1415
1364	1364
1511	1511
1416	1416
1365	1365
1512	1512
1417	1417
1366	1366
Quintus Horatius Flaccus	Horace
1513	1513
1418	1418
1367	1367
1514	1514
1419	1419
1368	1368
1515	1515
1420	1420
1369	1369
1516	1516
1421	1421
1370	1370
1371	1371
1372	1372
Pahuia	Pavie
1373	1373
1422	1422
1517	1517
1423	1423
1518	1518
1374	1374
1424	1424
1375	1375
1519	1519
1376	1376
1425	1425
1520	1520
1521	1521
1377	1377
1426	1426
1522	1522
1523	1523
1427	1427
1378	1378
1524	1524
1525	1525
1428	1428
1379	1379
1526	1526
1429	1429
1380	1380
1381	1381
1382	1382
1383	1383
1430	1430
1431	1431
1384	1384
1432	1432
1385	1385
1386	1386
1433	1433
1387	1387
1434	1434
1435	1435
1388	1388
1436	1436
1389	1389
1437	1437
1390	1390
1438	1438
1391	1391
1439	1439
1392	1392
1440	1440
Tlamānelōliztli	Natation
1393	1393
1394	1394
1395	1395
1441	1441
1396	1396
1397	1397
1442	1442
1527	1527
1528	1528
1398	1398
1443	1443
1444	1444
1529	1529
1399	1399
1445	1445
1530	1530
1446	1446
1531	1531
1447	1447
1532	1532
1448	1448
1533	1533
1449	1449
1534	1534
1450	1450
1535	1535
1451	1451
1536	1536
1452	1452
1537	1537
1453	1453
1538	1538
1454	1454
1539	1539
1455	1455
1540	1540
Neneuhcāyōtl:Ilhuicamatiliztli	Catégorie:Astronomie
1541	1541
1456	1456
1457	1457
1542	1542
1458	1458
1543	1543
1459	1459
1544	1544
Bolzano	Bolzano
1460	1460
1545	1545
1461	1461
1546	1546
Günter Grass	Günter Grass
1462	1462
1547	1547
1463	1463
1548	1548
1464	1464
1549	1549
1465	1465
1550	1550
1466	1466
1551	1551
1467	1467
1468	1468
1552	1552
1469	1469
1553	1553
1470	1470
1554	1554
UTC+0	UTC±00:00
1471	1471
1555	1555
1472	1472
1556	1556
1473	1473
1557	1557
1474	1474
1558	1558
Strasbourg	Strasbourg
Mecahuēhuētl	Guitare
1475	1475
1559	1559
1476	1476
1560	1560
1477	1477
1478	1478
1561	1561
1479	1479
1562	1562
1480	1480
1563	1563
1481	1481
1564	1564
1482	1482
1565	1565
Cuīlonyōtl	Homosexualité
1483	1483
1566	1566
1484	1484
1567	1567
1485	1485
1486	1486
1568	1568
Nepatlachhuiliztli	Lesbianisme
1487	1487
1569	1569
Croaciatlahtōlli	Croate
UTC+1	UTC+01:00
1570	1570
Hamburtēcanacatl	Hamburger
1489	1489
1571	1571
1490	1490
1572	1572
Tlācatecolōtl	Diable
1491	1491
1573	1573
1492	1492
1574	1574
Renault	Renault
1493	1493
1575	1575
1494	1494
1495	1495
1496	1496
1576	1576
1497	1497
1577	1577
1498	1498
1578	1578
1499	1499
1579	1579
1580	1580
1581	1581
1582	1582
1600	1600
1601	1601
1583	1583
1602	1602
1584	1584
1603	1603
1585	1585
1604	1604
1586	1586
1605	1605
Peugeot	Peugeot
1587	1587
Citroën	Citroën
1606	1606
1607	1607
1588	1588
1608	1608
1589	1589
1609	1609
1590	1590
1610	1610
1591	1591
1611	1611
1592	1592
1612	1612
1593	1593
1613	1613
1594	1594
1614	1614
1595	1595
1615	1615
1596	1596
1616	1616
1597	1597
1617	1617
1598	1598
1618	1618
1599	1599
1619	1619
1620	1620
1621	1621
1700	1700
1701	1701
1622	1622
1623	1623
1702	1702
1624	1624
1703	1703
1704	1704
1625	1625
1705	1705
1626	1626
1627	1627
1706	1706
1628	1628
1707	1707
1708	1708
1629	1629
1630	1630
1709	1709
1631	1631
1710	1710
1632	1632
1711	1711
1633	1633
1712	1712
1634	1634
1713	1713
1800	1800
1801	1801
1714	1714
1635	1635
1802	1802
1715	1715
1636	1636
1803	1803
1637	1637
1716	1716
1638	1638
1804	1804
1717	1717
1639	1639
1805	1805
1718	1718
1640	1640
1719	1719
1806	1806
1641	1641
1720	1720
1807	1807
1642	1642
1721	1721
1808	1808
1643	1643
1722	1722
1809	1809
1644	1644
1723	1723
1810	1810
1645	1645
1724	1724
Mācuīlpōhualxihuitl XX	XXe siècle
1811	1811
1646	1646
1725	1725
1812	1812
1647	1647
1726	1726
1813	1813
Mācuīlpōhualxihuitl XXI	XXIe siècle
1648	1648
1727	1727
1814	1814
1649	1649
1728	1728
1815	1815
1650	1650
1729	1729
1816	1816
Mācuīlpōhualxihuitl XIX	XIXe siècle
1651	1651
1730	1730
1817	1817
1652	1652
1731	1731
1818	1818
1653	1653
1732	1732
1819	1819
1654	1654
1733	1733
1820	1820
1655	1655
1821	1821
1734	1734
1656	1656
1822	1822
1735	1735
1657	1657
1823	1823
1736	1736
1658	1658
1737	1737
1824	1824
1659	1659
1738	1738
1825	1825
Silbermond	Silbermond
1660	1660
1739	1739
1826	1826
1661	1661
1740	1740
1827	1827
Mācuīlpōhualxihuitl 18	XVIIIe siècle
Mācuīlpōhualxihuitl 17	XVIIe siècle
Mācuīlpōhualxihuitl 16	XVIe siècle
Mācuīlpōhualxihuitl 15	XVe siècle
Catalantlahtōlli	Catalan
Mācuīlpōhualxihuitl 14	XIVe siècle
Neneuhcāyōtl:Cīcītlaltin	Catégorie:Étoile
Girona	Gérone
Amberg	Amberg
Mācuīlpōhualxihuitl 13	XIIIe siècle
Mācuīlpōhualxihuitl 12	XIIe siècle
Mācuīlpōhualxihuitl XI	XIe siècle
Ahteōmatiliztli	Athéisme
Cemitquimatiliztli	Politique
Tlācatēpacholiztli	Démocratie
Marie Curie	Marie Curie
Rosa Luxemburg	Rosa Luxemburg
Centēpacholiztli	Monarchie
Pyotr Ilyich Tchaikovsky	Piotr Ilitch Tchaïkovski
Jacques Cartier	Jacques Cartier
Cristoforo Colombo	Christophe Colomb
Hernán Cortés	Hernán Cortés
Vasco da Gama	Vasco de Gama
Ilhuicaātl Antártico	Océan Austral
Nacaztli	Oreille
Yacatl	Nez
Īxtelolotl	Œil
Cuīcatl	Chanson
Mōyōtl	Culicidae
Ichcatl (yōlcatl)	Mouton
Federico Fellini	Federico Fellini
Alfred Hitchcock	Alfred Hitchcock
Cameyoh	Camelus
Mammalia	Mammifère
Elefante	Éléphant
Āzcatl	Fourmi
Tozquitl	Voix humaine
Tlanitlālpantlahtōlli	Néerlandais
Ingmar Bergman	Ingmar Bergman
Canauhtli	Anatidae
Nantli	Mère
Cepayahuitl	Neige
Tahtli	Père
Conētl	Enfant
1828	1828
1829	1829
1741	1741
1662	1662
1742	1742
1830	1830
1663	1663
1831	1831
1743	1743
1664	1664
1665	1665
1744	1744
1832	1832
1666	1666
1745	1745
1833	1833
1667	1667
1746	1746
Huaznenqui	Transport
1834	1834
1668	1668
1747	1747
1835	1835
1748	1748
1836	1836
1669	1669
1670	1670
1749	1749
1837	1837
1671	1671
1750	1750
1838	1838
1672	1672
1751	1751
1839	1839
1673	1673
1752	1752
1840	1840
1674	1674
1753	1753
1841	1841
1754	1754
1675	1675
1842	1842
1755	1755
1676	1676
1843	1843
1677	1677
1756	1756
1844	1844
1678	1678
1757	1757
1845	1845
1679	1679
1758	1758
1846	1846
1680	1680
1759	1759
1847	1847
1681	1681
1760	1760
1848	1848
1682	1682
1761	1761
1849	1849
1683	1683
1762	1762
1850	1850
1684	1684
1763	1763
1851	1851
1764	1764
1685	1685
1852	1852
1686	1686
1765	1765
1853	1853
1687	1687
1766	1766
1854	1854
1688	1688
1767	1767
1855	1855
1689	1689
1768	1768
1856	1856
1690	1690
1769	1769
1857	1857
1691	1691
1770	1770
1858	1858
1692	1692
1771	1771
1859	1859
1693	1693
1772	1772
1860	1860
1773	1773
1861	1861
1694	1694
1695	1695
1774	1774
1862	1862
1696	1696
1775	1775
1863	1863
1697	1697
1776	1776
1864	1864
1698	1698
1865	1865
1777	1777
1699	1699
1866	1866
1778	1778
1779	1779
1867	1867
1780	1780
1868	1868
1781	1781
1869	1869
Minuto	Minute (temps)
Rusiatlahtōlli	Russe
1782	1782
1870	1870
1783	1783
1871	1871
Vladimir Putin	Vladimir Poutine
1784	1784
1872	1872
1785	1785
1873	1873
1786	1786
1874	1874
1787	1787
1875	1875
1788	1788
1876	1876
1789	1789
1877	1877
1790	1790
1878	1878
Ītlahtōllō Caxtillān	Histoire de l'Espagne
1879	1879
1791	1791
1792	1792
1880	1880
1793	1793
1881	1881
Homer Simpson	Homer Simpson
1794	1794
1882	1882
1795	1795
1883	1883
1796	1796
1884	1884
1797	1797
1885	1885
1886	1886
1798	1798
1887	1887
1799	1799
1888	1888
1889	1889
1890	1890
René Magritte	René Magritte
1891	1891
Suahilitlahtōlli	Swahili
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Chinatlahtōlli	Langues chinoises
1899	1899
Cuitlacalli	Toilettes
Yeliztli	Nature
Achyolli	Cellule (biologie)
Eztli	Sang
Toulouse	Toulouse
Miquiztetl	Squelette
Casablanca	Casablanca
Rumaniatlahtōlli	Roumain
Quiyahuitl	Pluie
Tlālolīniliztli	Séisme
Sergej Ėjzenštejn	Sergueï Eisenstein
Akira Kurosawa	Akira Kurosawa
Nelson Mandela	Nelson Mandela
Mācuīlpōhualxihuitl X	Xe siècle
Tletepētl	Volcan
Mixtli	Nuage
Atēna 1896	Jeux olympiques d'été de 1896
Mācuīlpōhualxihuitl IX	IXe siècle
Mācuīlpōhualxihuitl VIII	VIIIe siècle
Paris 1900	Jeux olympiques d'été de 1900
Mācuīlpōhualxihuitl VII	VIIe siècle
Mācuīlpōhualxihuitl VI	VIe siècle
Ehēcatl	Vent
Mācuīlpōhualxihuitl V	Ve siècle
Telugutlahtōlli	Télougou
Saint Louis 1904	Jeux olympiques d'été de 1904
Mācuīlpōhualxihuitl IV	IVe siècle
Mācuīlpōhualxihuitl III	IIIe siècle
Mācuīlpōhualxihuitl II	IIe siècle
Mācuīlpōhualxihuitl I	Ier siècle
Londin 1908	Jeux olympiques d'été de 1908
Antwerpen 1920	Jeux olympiques d'été de 1920
Paris 1924	Jeux olympiques d'été de 1924
Amsterdam 1928	Jeux olympiques d'été de 1928
Los Ángeles 1932	Jeux olympiques d'été de 1932
Xapon Yen	Yen
Berlin 1936	Jeux olympiques d'été de 1936
Tlahtōlmatiliztli	Linguistique
Cirilo īmachiyōtlahtōltecpantiliz	Alphabet cyrillique
Greciamachiyōtlahtōltecpantiliztli	Alphabet grec
Latinmachiyōtlahtōltecpantiliztli	Alphabet latin
Neneuhcāyōtl:Bulgaria	Catégorie:Bulgarie
Tlahcuilōcāyōtl	Littérature
Neneuhcāyōtl:Francia	Catégorie:France
Neneuhcāyōtl:Cuīcayōtl	Catégorie:Musique
Neneuhcāyōtl:Tlahcuilōcāyōtl	Catégorie:Littérature
Manga	Manga
Tepozquiquiztli	Trompette
Jazz	Jazz
Ehuatlapitzalli	Cornemuse
Violin	Violon
Valladolid	Valladolid
Londin 1948	Jeux olympiques d'été de 1948
Helsinqui 1952	Jeux olympiques d'été de 1952
Melbourne 1956	Jeux olympiques d'été de 1956
Roma 1960	Jeux olympiques d'été de 1960
Tōquiō 1964	Jeux olympiques d'été de 1964
Āltepētl Mēxihco 1968	Jeux olympiques d'été de 1968
Munich 1972	Jeux olympiques d'été de 1972
Hugo Chávez Frías	Hugo Chávez
Oquichtli	Homme
Montreal 1976	Jeux olympiques d'été de 1976
Moscohuia 1980	Jeux olympiques d'été de 1980
Los Ángeles 1984	Jeux olympiques d'été de 1984
Seul 1988	Jeux olympiques d'été de 1988
Barcelona 1992	Jeux olympiques d'été de 1992
Pātzcatl	Jus de fruits
Chīchīhualātl	Lait
Tepētl	Montagne
Huāccāīxtlāhuatl	Désert
Atlanta 1996	Jeux olympiques d'été de 1996
Sydney 2000	Jeux olympiques d'été de 2000
Atēna 2004	Jeux olympiques d'été de 2004
Pequin 2008	Jeux olympiques d'été de 2008
Olimpiayōtl Nemīmīnaliztli Londres 2012	Jeux olympiques d'été de 2012
Simón Bolívar	Simón Bolívar
Hong Kong	Hong Kong
Miami	Miami
Lagos	Lagos (Nigeria)
Rio de Janeiro	Rio de Janeiro
Seul	Séoul
Xanghai	Shanghai
Bilbao	Bilbao
Walt Disney	Walt Disney
Sevilla	Séville
Thomas Alva Edison	Thomas Edison
Vigo	Vigo (Espagne)
Michael Faraday	Michael Faraday
Vascotlahtōlli	Basque
In Coruña	La Corogne
Granada, Caxtillān	Grenade (Espagne)
Valencia	Valence (Espagne)
Palma de Mallorca	Palma de Majorque
Málaga	Malaga
Cītlalōlli	Lion (constellation)
Cītlallachtli	Orion (constellation)
Cītlalcuetzpalli	Pégase (constellation)
